,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,2125,739,0,2864,2805,102.10338680926915,6.052234342513742,2.104753496055367
1,ADOLFO,3500204,3554,191,69,0,260,261,99.61685823754789,5.374226223972988,1.9414743950478333
2,AGUAÍ,3500303,36648,883,256,0,1139,1308,87.07951070336392,2.4094084261078366,0.6985374372407771
3,ÁGUAS DA PRATA,3500402,8221,340,63,0,403,404,99.75247524752476,4.135749908770222,0.7663301301544824
4,ÁGUAS DE LINDÓIA,3500501,18808,683,152,0,835,878,95.10250569476082,3.63143343258188,0.8081667375584858
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,236,51,0,287,300,95.66666666666667,3.863152725486987,0.8348338516942216
6,ÁGUAS DE SÃO PEDRO,3500600,3521,296,70,0,366,374,97.86096256684492,8.406702641295087,1.9880715705765408
7,AGUDOS,3500709,37401,2093,758,0,2851,3840,74.24479166666667,5.59610705596107,2.026683778508596
8,ALAMBARI,3500758,6129,166,34,0,200,224,89.28571428571429,2.70843530755425,0.5547397617882199
9,ALFREDO MARCONDES,3500808,4184,268,56,0,324,326,99.38650306748467,6.405353728489484,1.338432122370937
10,ALTAIR,3500907,4186,177,54,0,231,230,100.43478260869566,4.228380315336837,1.2900143334925944
11,ALTINÓPOLIS,3501004,16203,707,218,0,925,1026,90.15594541910332,4.363389495772388,1.345429858668148
12,ALTO ALEGRE,3501103,4088,155,48,0,203,280,72.5,3.7915851272015653,1.1741682974559686
13,ALUMÍNIO,3501152,18767,395,122,0,517,532,97.18045112781954,2.1047583524271327,0.6500772632812916
14,ÁLVARES FLORENCE,3501202,3647,160,44,0,204,244,83.60655737704919,4.387167534960241,1.2064710721140663
15,ÁLVARES MACHADO,3501301,24998,795,188,0,983,1081,90.93432007400554,3.180254420353628,0.752060164813185
16,ÁLVARO DE CARVALHO,3501400,5274,107,34,0,141,177,79.66101694915254,2.0288206295032234,0.6446719757299962
17,ALVINLÂNDIA,3501509,3237,119,33,0,152,150,101.33333333333334,3.6762434352795794,1.0194624652455977
18,AMERICANA,3501608,242018,9089,2522,0,11611,12965,89.55649826455843,3.7555057888256242,1.0420712508986933
19,AMÉRICO BRASILIENSE,3501707,41032,1605,545,0,2150,2625,81.9047619047619,3.9115812049132384,1.3282316240982648
20,AMÉRICO DE CAMPOS,3501806,5981,250,67,0,317,321,98.75389408099689,4.179903026249791,1.1202140110349441
