,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos
0,Turmalina,3555307,2020-03-11T00:00:00Z,1,0,,
1,Turmalina,3555307,2020-03-12T00:00:00Z,0,0,,
2,Turmalina,3555307,2020-03-13T00:00:00Z,0,0,,
3,Turmalina,3555307,2020-03-14T00:00:00Z,0,0,,
4,Turmalina,3555307,2020-03-15T00:00:00Z,0,0,,
5,Turmalina,3555307,2020-03-16T00:00:00Z,0,0,,
6,Turmalina,3555307,2020-03-17T00:00:00Z,0,0,0.14285714285714285,0.0
7,Turmalina,3555307,2020-03-18T00:00:00Z,0,0,0.0,0.0
8,Turmalina,3555307,2020-03-19T00:00:00Z,0,0,0.0,0.0
9,Turmalina,3555307,2020-03-20T00:00:00Z,0,0,0.0,0.0
10,Turmalina,3555307,2020-03-21T00:00:00Z,0,0,0.0,0.0
11,Turmalina,3555307,2020-03-22T00:00:00Z,0,0,0.0,0.0
12,Turmalina,3555307,2020-03-23T00:00:00Z,0,0,0.0,0.0
13,Turmalina,3555307,2020-03-24T00:00:00Z,0,0,0.0,0.0
14,Turmalina,3555307,2020-03-25T00:00:00Z,0,0,0.0,0.0
15,Turmalina,3555307,2020-03-26T00:00:00Z,0,0,0.0,0.0
16,Turmalina,3555307,2020-03-27T00:00:00Z,0,0,0.0,0.0
17,Turmalina,3555307,2020-03-28T00:00:00Z,0,0,0.0,0.0
18,Turmalina,3555307,2020-03-29T00:00:00Z,0,0,0.0,0.0
19,Turmalina,3555307,2020-03-30T00:00:00Z,0,0,0.0,0.0
20,Turmalina,3555307,2020-03-31T00:00:00Z,0,0,0.0,0.0
21,Turmalina,3555307,2020-04-01T00:00:00Z,0,0,0.0,0.0
22,Turmalina,3555307,2020-04-02T00:00:00Z,0,0,0.0,0.0
23,Turmalina,3555307,2020-04-03T00:00:00Z,0,0,0.0,0.0
24,Turmalina,3555307,2020-04-04T00:00:00Z,0,0,0.0,0.0
25,Turmalina,3555307,2020-04-05T00:00:00Z,0,0,0.0,0.0
26,Turmalina,3555307,2020-04-06T00:00:00Z,0,0,0.0,0.0
27,Turmalina,3555307,2020-04-07T00:00:00Z,0,0,0.0,0.0
28,Turmalina,3555307,2020-04-08T00:00:00Z,0,0,0.0,0.0
29,Turmalina,3555307,2020-04-09T00:00:00Z,0,0,0.0,0.0
30,Turmalina,3555307,2020-04-10T00:00:00Z,0,0,0.0,0.0
31,Turmalina,3555307,2020-04-11T00:00:00Z,0,0,0.0,0.0
32,Turmalina,3555307,2020-04-12T00:00:00Z,0,0,0.0,0.0
33,Turmalina,3555307,2020-04-13T00:00:00Z,0,0,0.0,0.0
34,Turmalina,3555307,2020-04-14T00:00:00Z,0,0,0.0,0.0
35,Turmalina,3555307,2020-04-15T00:00:00Z,0,0,0.0,0.0
36,Turmalina,3555307,2020-04-16T00:00:00Z,0,0,0.0,0.0
37,Turmalina,3555307,2020-04-17T00:00:00Z,0,0,0.0,0.0
38,Turmalina,3555307,2020-04-18T00:00:00Z,0,0,0.0,0.0
39,Turmalina,3555307,2020-04-19T00:00:00Z,0,0,0.0,0.0
40,Turmalina,3555307,2020-04-20T00:00:00Z,0,0,0.0,0.0
41,Turmalina,3555307,2020-04-21T00:00:00Z,0,0,0.0,0.0
42,Turmalina,3555307,2020-04-22T00:00:00Z,0,0,0.0,0.0
43,Turmalina,3555307,2020-04-23T00:00:00Z,0,0,0.0,0.0
44,Turmalina,3555307,2020-04-24T00:00:00Z,0,0,0.0,0.0
45,Turmalina,3555307,2020-04-25T00:00:00Z,0,0,0.0,0.0
46,Turmalina,3555307,2020-04-26T00:00:00Z,0,0,0.0,0.0
47,Turmalina,3555307,2020-04-27T00:00:00Z,0,0,0.0,0.0
48,Turmalina,3555307,2020-04-28T00:00:00Z,0,0,0.0,0.0
49,Turmalina,3555307,2020-04-29T00:00:00Z,0,0,0.0,0.0
50,Turmalina,3555307,2020-04-30T00:00:00Z,0,0,0.0,0.0
51,Turmalina,3555307,2020-05-01T00:00:00Z,0,0,0.0,0.0
52,Turmalina,3555307,2020-05-02T00:00:00Z,0,0,0.0,0.0
53,Turmalina,3555307,2020-05-03T00:00:00Z,0,0,0.0,0.0
54,Turmalina,3555307,2020-05-04T00:00:00Z,0,0,0.0,0.0
55,Turmalina,3555307,2020-05-05T00:00:00Z,0,0,0.0,0.0
56,Turmalina,3555307,2020-05-06T00:00:00Z,0,0,0.0,0.0
57,Turmalina,3555307,2020-05-07T00:00:00Z,0,0,0.0,0.0
