,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos
0,Cajuru,3509403,2020-03-18T00:00:00Z,1,0,,
1,Cajuru,3509403,2020-03-19T00:00:00Z,0,0,,
2,Cajuru,3509403,2020-03-20T00:00:00Z,0,0,,
3,Cajuru,3509403,2020-03-21T00:00:00Z,0,0,,
4,Cajuru,3509403,2020-03-22T00:00:00Z,0,0,,
5,Cajuru,3509403,2020-03-23T00:00:00Z,1,0,,
6,Cajuru,3509403,2020-03-24T00:00:00Z,0,0,0.2857142857142857,0.0
7,Cajuru,3509403,2020-03-25T00:00:00Z,0,0,0.14285714285714285,0.0
8,Cajuru,3509403,2020-03-26T00:00:00Z,0,0,0.14285714285714285,0.0
9,Cajuru,3509403,2020-03-27T00:00:00Z,0,0,0.14285714285714285,0.0
10,Cajuru,3509403,2020-03-28T00:00:00Z,0,0,0.14285714285714285,0.0
11,Cajuru,3509403,2020-03-29T00:00:00Z,0,0,0.14285714285714285,0.0
12,Cajuru,3509403,2020-03-30T00:00:00Z,0,0,0.0,0.0
13,Cajuru,3509403,2020-03-31T00:00:00Z,0,0,0.0,0.0
14,Cajuru,3509403,2020-04-01T00:00:00Z,0,0,0.0,0.0
15,Cajuru,3509403,2020-04-02T00:00:00Z,0,0,0.0,0.0
16,Cajuru,3509403,2020-04-03T00:00:00Z,0,0,0.0,0.0
17,Cajuru,3509403,2020-04-04T00:00:00Z,0,0,0.0,0.0
18,Cajuru,3509403,2020-04-05T00:00:00Z,0,0,0.0,0.0
19,Cajuru,3509403,2020-04-06T00:00:00Z,0,0,0.0,0.0
20,Cajuru,3509403,2020-04-07T00:00:00Z,0,0,0.0,0.0
21,Cajuru,3509403,2020-04-08T00:00:00Z,0,0,0.0,0.0
22,Cajuru,3509403,2020-04-09T00:00:00Z,0,0,0.0,0.0
23,Cajuru,3509403,2020-04-10T00:00:00Z,0,0,0.0,0.0
24,Cajuru,3509403,2020-04-11T00:00:00Z,0,0,0.0,0.0
25,Cajuru,3509403,2020-04-12T00:00:00Z,0,0,0.0,0.0
26,Cajuru,3509403,2020-04-13T00:00:00Z,0,0,0.0,0.0
27,Cajuru,3509403,2020-04-14T00:00:00Z,0,0,0.0,0.0
28,Cajuru,3509403,2020-04-15T00:00:00Z,0,0,0.0,0.0
29,Cajuru,3509403,2020-04-16T00:00:00Z,0,0,0.0,0.0
30,Cajuru,3509403,2020-04-17T00:00:00Z,0,0,0.0,0.0
31,Cajuru,3509403,2020-04-18T00:00:00Z,0,0,0.0,0.0
32,Cajuru,3509403,2020-04-19T00:00:00Z,0,0,0.0,0.0
33,Cajuru,3509403,2020-04-20T00:00:00Z,0,0,0.0,0.0
34,Cajuru,3509403,2020-04-21T00:00:00Z,0,0,0.0,0.0
35,Cajuru,3509403,2020-04-22T00:00:00Z,0,0,0.0,0.0
36,Cajuru,3509403,2020-04-23T00:00:00Z,0,0,0.0,0.0
37,Cajuru,3509403,2020-04-24T00:00:00Z,0,0,0.0,0.0
38,Cajuru,3509403,2020-04-25T00:00:00Z,1,1,0.14285714285714285,0.14285714285714285
39,Cajuru,3509403,2020-04-26T00:00:00Z,0,0,0.14285714285714285,0.14285714285714285
40,Cajuru,3509403,2020-04-27T00:00:00Z,0,0,0.14285714285714285,0.14285714285714285
41,Cajuru,3509403,2020-04-28T00:00:00Z,1,0,0.2857142857142857,0.14285714285714285
42,Cajuru,3509403,2020-04-29T00:00:00Z,0,0,0.2857142857142857,0.14285714285714285
43,Cajuru,3509403,2020-04-30T00:00:00Z,0,0,0.2857142857142857,0.14285714285714285
44,Cajuru,3509403,2020-05-01T00:00:00Z,0,0,0.2857142857142857,0.14285714285714285
45,Cajuru,3509403,2020-05-02T00:00:00Z,0,0,0.14285714285714285,0.0
46,Cajuru,3509403,2020-05-03T00:00:00Z,0,0,0.14285714285714285,0.0
47,Cajuru,3509403,2020-05-04T00:00:00Z,0,0,0.14285714285714285,0.0
48,Cajuru,3509403,2020-05-05T00:00:00Z,0,0,0.0,0.0
49,Cajuru,3509403,2020-05-06T00:00:00Z,0,0,0.0,0.0
50,Cajuru,3509403,2020-05-07T00:00:00Z,0,0,0.0,0.0
51,Cajuru,3509403,2020-05-08T00:00:00Z,0,0,0.0,0.0
52,Cajuru,3509403,2020-05-09T00:00:00Z,0,0,0.0,0.0
53,Cajuru,3509403,2020-05-10T00:00:00Z,0,0,0.0,0.0
54,Cajuru,3509403,2020-05-11T00:00:00Z,0,0,0.0,0.0
55,Cajuru,3509403,2020-05-12T00:00:00Z,0,0,0.0,0.0
56,Cajuru,3509403,2020-05-13T00:00:00Z,0,0,0.0,0.0
57,Cajuru,3509403,2020-05-14T00:00:00Z,0,0,0.0,0.0
58,Cajuru,3509403,2020-05-15T00:00:00Z,0,0,0.0,0.0
59,Cajuru,3509403,2020-05-16T00:00:00Z,0,0,0.0,0.0
60,Cajuru,3509403,2020-05-17T00:00:00Z,0,0,0.0,0.0
61,Cajuru,3509403,2020-05-18T00:00:00Z,0,0,0.0,0.0
62,Cajuru,3509403,2020-05-19T00:00:00Z,0,0,0.0,0.0
63,Cajuru,3509403,2020-05-20T00:00:00Z,0,0,0.0,0.0
64,Cajuru,3509403,2020-05-21T00:00:00Z,0,0,0.0,0.0
65,Cajuru,3509403,2020-05-22T00:00:00Z,0,0,0.0,0.0
66,Cajuru,3509403,2020-05-23T00:00:00Z,0,0,0.0,0.0
67,Cajuru,3509403,2020-05-24T00:00:00Z,0,0,0.0,0.0
