,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
22277,22277,DRS 01 Grande São Paulo,"domingo, 13/09",48%,TABOÃO DA SERRA,3552809
15766,15766,DRS 01 Grande São Paulo,"domingo, 13/12",43.484848484848484,TABOÃO DA SERRA,3552809
15727,15727,DRS 01 Grande São Paulo,"domingo, 13/12",43%,TABOÃO DA SERRA,3552809
11191,11191,DRS 01 Grande São Paulo,"domingo, 14/02",46%,TABOÃO DA SERRA,3552809
11230,11230,DRS 01 Grande São Paulo,"domingo, 14/02",46.696969696969695,TABOÃO DA SERRA,3552809
9214,9214,DRS 01 Grande São Paulo,"domingo, 14/03",48.333333333333336,TABOÃO DA SERRA,3552809
9175,9175,DRS 01 Grande São Paulo,"domingo, 14/03",46%,TABOÃO DA SERRA,3552809
28828,28828,DRS 01 Grande São Paulo,"domingo, 14/06",50%,TABOÃO DA SERRA,3552809
28867,28867,DRS 01 Grande São Paulo,"domingo, 14/06",50.878787878787875,TABOÃO DA SERRA,3552809
17780,17780,DRS 01 Grande São Paulo,"domingo, 15/11",43.90909090909091,TABOÃO DA SERRA,3552809
17741,17741,DRS 01 Grande São Paulo,"domingo, 15/11",43%,TABOÃO DA SERRA,3552809
4639,4639,DRS 01 Grande São Paulo,"domingo, 16/05",45%,TABOÃO DA SERRA,3552809
4678,4678,DRS 01 Grande São Paulo,"domingo, 16/05",46.333333333333336,TABOÃO DA SERRA,3552809
24332,24332,DRS 01 Grande São Paulo,"domingo, 16/08",49.72727272727273,TABOÃO DA SERRA,3552809
24293,24293,DRS 01 Grande São Paulo,"domingo, 16/08",52%,TABOÃO DA SERRA,3552809
13207,13207,DRS 01 Grande São Paulo,"domingo, 17/01",40%,TABOÃO DA SERRA,3552809
13246,13246,DRS 01 Grande São Paulo,"domingo, 17/01",44.93939393939394,TABOÃO DA SERRA,3552809
30883,30883,DRS 01 Grande São Paulo,"domingo, 17/05",52.90909090909091,TABOÃO DA SERRA,3552809
30844,30844,DRS 01 Grande São Paulo,"domingo, 17/05",50%,TABOÃO DA SERRA,3552809
6694,6694,DRS 01 Grande São Paulo,"domingo, 18/04",48.121212121212125,TABOÃO DA SERRA,3552809
6655,6655,DRS 01 Grande São Paulo,"domingo, 18/04",44%,TABOÃO DA SERRA,3552809
103,103,DRS 01 Grande São Paulo,"domingo, 18/07",42%,TABOÃO DA SERRA,3552809
142,142,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,TABOÃO DA SERRA,3552809
19757,19757,DRS 01 Grande São Paulo,"domingo, 18/10",46%,TABOÃO DA SERRA,3552809
19796,19796,DRS 01 Grande São Paulo,"domingo, 18/10",45.666666666666664,TABOÃO DA SERRA,3552809
32899,32899,DRS 01 Grande São Paulo,"domingo, 19/04",62.42424242424242,TABOÃO DA SERRA,3552809
32860,32860,DRS 01 Grande São Paulo,"domingo, 19/04",59%,TABOÃO DA SERRA,3552809
26308,26308,DRS 01 Grande São Paulo,"domingo, 19/07",47%,TABOÃO DA SERRA,3552809
26347,26347,DRS 01 Grande São Paulo,"domingo, 19/07",48.42424242424242,TABOÃO DA SERRA,3552809
2158,2158,DRS 01 Grande São Paulo,"domingo, 20/06",45.45454545454545,TABOÃO DA SERRA,3552809
2119,2119,DRS 01 Grande São Paulo,"domingo, 20/06",45%,TABOÃO DA SERRA,3552809
21773,21773,DRS 01 Grande São Paulo,"domingo, 20/09",49%,TABOÃO DA SERRA,3552809
21812,21812,DRS 01 Grande São Paulo,"domingo, 20/09",46.121212121212125,TABOÃO DA SERRA,3552809
15223,15223,DRS 01 Grande São Paulo,"domingo, 20/12",43%,TABOÃO DA SERRA,3552809
15262,15262,DRS 01 Grande São Paulo,"domingo, 20/12",42.72727272727273,TABOÃO DA SERRA,3552809
10687,10687,DRS 01 Grande São Paulo,"domingo, 21/02",43%,TABOÃO DA SERRA,3552809
10726,10726,DRS 01 Grande São Paulo,"domingo, 21/02",45.06060606060606,TABOÃO DA SERRA,3552809
8710,8710,DRS 01 Grande São Paulo,"domingo, 21/03",49.515151515151516,TABOÃO DA SERRA,3552809
8671,8671,DRS 01 Grande São Paulo,"domingo, 21/03",48%,TABOÃO DA SERRA,3552809
28324,28324,DRS 01 Grande São Paulo,"domingo, 21/06",49%,TABOÃO DA SERRA,3552809
28363,28363,DRS 01 Grande São Paulo,"domingo, 21/06",49.96969696969697,TABOÃO DA SERRA,3552809
34915,34915,DRS 01 Grande São Paulo,"domingo, 22/03",56.90909090909091,TABOÃO DA SERRA,3552809
34876,34876,DRS 01 Grande São Paulo,"domingo, 22/03",56%,TABOÃO DA SERRA,3552809
17276,17276,DRS 01 Grande São Paulo,"domingo, 22/11",44.515151515151516,TABOÃO DA SERRA,3552809
17237,17237,DRS 01 Grande São Paulo,"domingo, 22/11",44%,TABOÃO DA SERRA,3552809
4174,4174,DRS 01 Grande São Paulo,"domingo, 23/05",46.63636363636363,TABOÃO DA SERRA,3552809
4135,4135,DRS 01 Grande São Paulo,"domingo, 23/05",45%,TABOÃO DA SERRA,3552809
23828,23828,DRS 01 Grande São Paulo,"domingo, 23/08",48.36363636363637,TABOÃO DA SERRA,3552809
23789,23789,DRS 01 Grande São Paulo,"domingo, 23/08",51%,TABOÃO DA SERRA,3552809
12742,12742,DRS 01 Grande São Paulo,"domingo, 24/01",45.484848484848484,TABOÃO DA SERRA,3552809
12703,12703,DRS 01 Grande São Paulo,"domingo, 24/01",43%,TABOÃO DA SERRA,3552809
30340,30340,DRS 01 Grande São Paulo,"domingo, 24/05",52%,TABOÃO DA SERRA,3552809
30379,30379,DRS 01 Grande São Paulo,"domingo, 24/05",53.57575757575758,TABOÃO DA SERRA,3552809
6151,6151,DRS 01 Grande São Paulo,"domingo, 25/04",46%,TABOÃO DA SERRA,3552809
6190,6190,DRS 01 Grande São Paulo,"domingo, 25/04",47.666666666666664,TABOÃO DA SERRA,3552809
19253,19253,DRS 01 Grande São Paulo,"domingo, 25/10",47%,TABOÃO DA SERRA,3552809
19292,19292,DRS 01 Grande São Paulo,"domingo, 25/10",45.696969696969695,TABOÃO DA SERRA,3552809
32356,32356,DRS 01 Grande São Paulo,"domingo, 26/04",59%,TABOÃO DA SERRA,3552809
32395,32395,DRS 01 Grande São Paulo,"domingo, 26/04",61.63636363636363,TABOÃO DA SERRA,3552809
25804,25804,DRS 01 Grande São Paulo,"domingo, 26/07",47%,TABOÃO DA SERRA,3552809
25843,25843,DRS 01 Grande São Paulo,"domingo, 26/07",48.42424242424242,TABOÃO DA SERRA,3552809
1654,1654,DRS 01 Grande São Paulo,"domingo, 27/06",43.78787878787879,TABOÃO DA SERRA,3552809
1615,1615,DRS 01 Grande São Paulo,"domingo, 27/06",44%,TABOÃO DA SERRA,3552809
21269,21269,DRS 01 Grande São Paulo,"domingo, 27/09",45%,TABOÃO DA SERRA,3552809
21308,21308,DRS 01 Grande São Paulo,"domingo, 27/09",44.60606060606061,TABOÃO DA SERRA,3552809
14758,14758,DRS 01 Grande São Paulo,"domingo, 27/12",47.666666666666664,TABOÃO DA SERRA,3552809
14719,14719,DRS 01 Grande São Paulo,"domingo, 27/12",48%,TABOÃO DA SERRA,3552809
10183,10183,DRS 01 Grande São Paulo,"domingo, 28/02",43%,TABOÃO DA SERRA,3552809
10222,10222,DRS 01 Grande São Paulo,"domingo, 28/02",46.303030303030305,TABOÃO DA SERRA,3552809
