,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
53212,53212,DRS 15 São José do Rio Preto,"domingo, 01/03",37.0,APARECIDA D'OESTE,3502606
27568,27568,DRS 15 São José do Rio Preto,"domingo, 01/11",44.0,APARECIDA D'OESTE,3502606
8276,8276,DRS 15 São José do Rio Preto,"domingo, 02/05",47.8,APARECIDA D'OESTE,3502606
37213,37213,DRS 15 São José do Rio Preto,"domingo, 02/08",48.2,APARECIDA D'OESTE,3502606
20890,20890,DRS 15 São José do Rio Preto,"domingo, 03/01",49.0,APARECIDA D'OESTE,3502606
46859,46859,DRS 15 São José do Rio Preto,"domingo, 03/05",53.4,APARECIDA D'OESTE,3502606
11244,11244,DRS 15 São José do Rio Preto,"domingo, 04/04",50.0,APARECIDA D'OESTE,3502606
1598,1598,DRS 15 São José do Rio Preto,"domingo, 04/07",48.2,APARECIDA D'OESTE,3502606
30536,30536,DRS 15 São José do Rio Preto,"domingo, 04/10",45.4,APARECIDA D'OESTE,3502606
49827,49827,DRS 15 São José do Rio Preto,"domingo, 05/04",53.4,APARECIDA D'OESTE,3502606
40181,40181,DRS 15 São José do Rio Preto,"domingo, 05/07",48.0,APARECIDA D'OESTE,3502606
4566,4566,DRS 15 São José do Rio Preto,"domingo, 06/06",46.4,APARECIDA D'OESTE,3502606
33504,33504,DRS 15 São José do Rio Preto,"domingo, 06/09",43.4,APARECIDA D'OESTE,3502606
23858,23858,DRS 15 São José do Rio Preto,"domingo, 06/12",42.8,APARECIDA D'OESTE,3502606
17180,17180,DRS 15 São José do Rio Preto,"domingo, 07/02",44.0,APARECIDA D'OESTE,3502606
14212,14212,DRS 15 São José do Rio Preto,"domingo, 07/03",52.2,APARECIDA D'OESTE,3502606
43149,43149,DRS 15 São José do Rio Preto,"domingo, 07/06",50.2,APARECIDA D'OESTE,3502606
52474,52474,DRS 15 São José do Rio Preto,"domingo, 08/03",36.0,APARECIDA D'OESTE,3502606
26826,26826,DRS 15 São José do Rio Preto,"domingo, 08/11",45.6,APARECIDA D'OESTE,3502606
7534,7534,DRS 15 São José do Rio Preto,"domingo, 09/05",45.0,APARECIDA D'OESTE,3502606
36471,36471,DRS 15 São José do Rio Preto,"domingo, 09/08",43.4,APARECIDA D'OESTE,3502606
20148,20148,DRS 15 São José do Rio Preto,"domingo, 10/01",44.4,APARECIDA D'OESTE,3502606
46117,46117,DRS 15 São José do Rio Preto,"domingo, 10/05",48.4,APARECIDA D'OESTE,3502606
10502,10502,DRS 15 São José do Rio Preto,"domingo, 11/04",49.4,APARECIDA D'OESTE,3502606
856,856,DRS 15 São José do Rio Preto,"domingo, 11/07",45.8,APARECIDA D'OESTE,3502606
29794,29794,DRS 15 São José do Rio Preto,"domingo, 11/10",44.8,APARECIDA D'OESTE,3502606
49085,49085,DRS 15 São José do Rio Preto,"domingo, 12/04",52.8,APARECIDA D'OESTE,3502606
39439,39439,DRS 15 São José do Rio Preto,"domingo, 12/07",47.6,APARECIDA D'OESTE,3502606
3824,3824,DRS 15 São José do Rio Preto,"domingo, 13/06",46.0,APARECIDA D'OESTE,3502606
32762,32762,DRS 15 São José do Rio Preto,"domingo, 13/09",47.4,APARECIDA D'OESTE,3502606
23116,23116,DRS 15 São José do Rio Preto,"domingo, 13/12",43.6,APARECIDA D'OESTE,3502606
16438,16438,DRS 15 São José do Rio Preto,"domingo, 14/02",46.0,APARECIDA D'OESTE,3502606
13470,13470,DRS 15 São José do Rio Preto,"domingo, 14/03",50.8,APARECIDA D'OESTE,3502606
42407,42407,DRS 15 São José do Rio Preto,"domingo, 14/06",48.0,APARECIDA D'OESTE,3502606
26084,26084,DRS 15 São José do Rio Preto,"domingo, 15/11",43.8,APARECIDA D'OESTE,3502606
6792,6792,DRS 15 São José do Rio Preto,"domingo, 16/05",46.6,APARECIDA D'OESTE,3502606
35729,35729,DRS 15 São José do Rio Preto,"domingo, 16/08",49.6,APARECIDA D'OESTE,3502606
19406,19406,DRS 15 São José do Rio Preto,"domingo, 17/01",46.2,APARECIDA D'OESTE,3502606
45375,45375,DRS 15 São José do Rio Preto,"domingo, 17/05",47.4,APARECIDA D'OESTE,3502606
9760,9760,DRS 15 São José do Rio Preto,"domingo, 18/04",49.4,APARECIDA D'OESTE,3502606
114,114,DRS 15 São José do Rio Preto,"domingo, 18/07",47.4,APARECIDA D'OESTE,3502606
29052,29052,DRS 15 São José do Rio Preto,"domingo, 18/10",45.2,APARECIDA D'OESTE,3502606
