,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
53278,53278,DRS 15 São José do Rio Preto,"domingo, 01/03",37.0,POLONI,3539905
27634,27634,DRS 15 São José do Rio Preto,"domingo, 01/11",44.0,POLONI,3539905
8342,8342,DRS 15 São José do Rio Preto,"domingo, 02/05",47.8,POLONI,3539905
37279,37279,DRS 15 São José do Rio Preto,"domingo, 02/08",48.2,POLONI,3539905
20956,20956,DRS 15 São José do Rio Preto,"domingo, 03/01",49.0,POLONI,3539905
46925,46925,DRS 15 São José do Rio Preto,"domingo, 03/05",53.4,POLONI,3539905
11310,11310,DRS 15 São José do Rio Preto,"domingo, 04/04",50.0,POLONI,3539905
1664,1664,DRS 15 São José do Rio Preto,"domingo, 04/07",48.2,POLONI,3539905
30602,30602,DRS 15 São José do Rio Preto,"domingo, 04/10",45.4,POLONI,3539905
49893,49893,DRS 15 São José do Rio Preto,"domingo, 05/04",53.4,POLONI,3539905
40247,40247,DRS 15 São José do Rio Preto,"domingo, 05/07",48.0,POLONI,3539905
4632,4632,DRS 15 São José do Rio Preto,"domingo, 06/06",46.4,POLONI,3539905
33570,33570,DRS 15 São José do Rio Preto,"domingo, 06/09",43.4,POLONI,3539905
23924,23924,DRS 15 São José do Rio Preto,"domingo, 06/12",42.8,POLONI,3539905
17246,17246,DRS 15 São José do Rio Preto,"domingo, 07/02",44.0,POLONI,3539905
14278,14278,DRS 15 São José do Rio Preto,"domingo, 07/03",52.2,POLONI,3539905
43215,43215,DRS 15 São José do Rio Preto,"domingo, 07/06",50.2,POLONI,3539905
52540,52540,DRS 15 São José do Rio Preto,"domingo, 08/03",36.0,POLONI,3539905
26892,26892,DRS 15 São José do Rio Preto,"domingo, 08/11",45.6,POLONI,3539905
7600,7600,DRS 15 São José do Rio Preto,"domingo, 09/05",45.0,POLONI,3539905
36537,36537,DRS 15 São José do Rio Preto,"domingo, 09/08",43.4,POLONI,3539905
20214,20214,DRS 15 São José do Rio Preto,"domingo, 10/01",44.4,POLONI,3539905
46183,46183,DRS 15 São José do Rio Preto,"domingo, 10/05",48.4,POLONI,3539905
10568,10568,DRS 15 São José do Rio Preto,"domingo, 11/04",49.4,POLONI,3539905
922,922,DRS 15 São José do Rio Preto,"domingo, 11/07",45.8,POLONI,3539905
29860,29860,DRS 15 São José do Rio Preto,"domingo, 11/10",44.8,POLONI,3539905
49151,49151,DRS 15 São José do Rio Preto,"domingo, 12/04",52.8,POLONI,3539905
39505,39505,DRS 15 São José do Rio Preto,"domingo, 12/07",47.6,POLONI,3539905
3890,3890,DRS 15 São José do Rio Preto,"domingo, 13/06",46.0,POLONI,3539905
32828,32828,DRS 15 São José do Rio Preto,"domingo, 13/09",47.4,POLONI,3539905
23182,23182,DRS 15 São José do Rio Preto,"domingo, 13/12",43.6,POLONI,3539905
16504,16504,DRS 15 São José do Rio Preto,"domingo, 14/02",46.0,POLONI,3539905
13536,13536,DRS 15 São José do Rio Preto,"domingo, 14/03",50.8,POLONI,3539905
42473,42473,DRS 15 São José do Rio Preto,"domingo, 14/06",48.0,POLONI,3539905
26150,26150,DRS 15 São José do Rio Preto,"domingo, 15/11",43.8,POLONI,3539905
6858,6858,DRS 15 São José do Rio Preto,"domingo, 16/05",46.6,POLONI,3539905
35795,35795,DRS 15 São José do Rio Preto,"domingo, 16/08",49.6,POLONI,3539905
19472,19472,DRS 15 São José do Rio Preto,"domingo, 17/01",46.2,POLONI,3539905
45441,45441,DRS 15 São José do Rio Preto,"domingo, 17/05",47.4,POLONI,3539905
9826,9826,DRS 15 São José do Rio Preto,"domingo, 18/04",49.4,POLONI,3539905
180,180,DRS 15 São José do Rio Preto,"domingo, 18/07",47.4,POLONI,3539905
29118,29118,DRS 15 São José do Rio Preto,"domingo, 18/10",45.2,POLONI,3539905
48409,48409,DRS 15 São José do Rio Preto,"domingo, 19/04",55.6,POLONI,3539905
38763,38763,DRS 15 São José do Rio Preto,"domingo, 19/07",46.2,POLONI,3539905
3148,3148,DRS 15 São José do Rio Preto,"domingo, 20/06",50.0,POLONI,3539905
32086,32086,DRS 15 São José do Rio Preto,"domingo, 20/09",46.0,POLONI,3539905
22440,22440,DRS 15 São José do Rio Preto,"domingo, 20/12",44.2,POLONI,3539905
15762,15762,DRS 15 São José do Rio Preto,"domingo, 21/02",46.6,POLONI,3539905
12794,12794,DRS 15 São José do Rio Preto,"domingo, 21/03",54.2,POLONI,3539905
41731,41731,DRS 15 São José do Rio Preto,"domingo, 21/06",47.2,POLONI,3539905
51377,51377,DRS 15 São José do Rio Preto,"domingo, 22/03",51.6,POLONI,3539905
25408,25408,DRS 15 São José do Rio Preto,"domingo, 22/11",44.8,POLONI,3539905
6116,6116,DRS 15 São José do Rio Preto,"domingo, 23/05",48.4,POLONI,3539905
35053,35053,DRS 15 São José do Rio Preto,"domingo, 23/08",48.4,POLONI,3539905
18730,18730,DRS 15 São José do Rio Preto,"domingo, 24/01",45.6,POLONI,3539905
44699,44699,DRS 15 São José do Rio Preto,"domingo, 24/05",49.2,POLONI,3539905
9084,9084,DRS 15 São José do Rio Preto,"domingo, 25/04",48.6,POLONI,3539905
28376,28376,DRS 15 São José do Rio Preto,"domingo, 25/10",44.2,POLONI,3539905
47667,47667,DRS 15 São José do Rio Preto,"domingo, 26/04",55.2,POLONI,3539905
