,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
23126,23126,DRS 11 Presidente Prudente,"domingo, 01/03",31.0,TARABAI,3553906
12003,12003,DRS 11 Presidente Prudente,"domingo, 01/11",39.0,TARABAI,3553906
3631,3631,DRS 11 Presidente Prudente,"domingo, 02/05",44.0,TARABAI,3553906
16189,16189,DRS 11 Presidente Prudente,"domingo, 02/08",42.0,TARABAI,3553906
9105,9105,DRS 11 Presidente Prudente,"domingo, 03/01",43.0,TARABAI,3553906
20375,20375,DRS 11 Presidente Prudente,"domingo, 03/05",53.0,TARABAI,3553906
4919,4919,DRS 11 Presidente Prudente,"domingo, 04/04",45.0,TARABAI,3553906
733,733,DRS 11 Presidente Prudente,"domingo, 04/07",43.0,TARABAI,3553906
13291,13291,DRS 11 Presidente Prudente,"domingo, 04/10",40.0,TARABAI,3553906
21663,21663,DRS 11 Presidente Prudente,"domingo, 05/04",51.0,TARABAI,3553906
17477,17477,DRS 11 Presidente Prudente,"domingo, 05/07",44.0,TARABAI,3553906
2021,2021,DRS 11 Presidente Prudente,"domingo, 06/06",43.0,TARABAI,3553906
14579,14579,DRS 11 Presidente Prudente,"domingo, 06/09",39.0,TARABAI,3553906
10393,10393,DRS 11 Presidente Prudente,"domingo, 06/12",38.0,TARABAI,3553906
7495,7495,DRS 11 Presidente Prudente,"domingo, 07/02",41.0,TARABAI,3553906
6207,6207,DRS 11 Presidente Prudente,"domingo, 07/03",47.0,TARABAI,3553906
18765,18765,DRS 11 Presidente Prudente,"domingo, 07/06",47.0,TARABAI,3553906
22810,22810,DRS 11 Presidente Prudente,"domingo, 08/03",30.0,TARABAI,3553906
11681,11681,DRS 11 Presidente Prudente,"domingo, 08/11",39.0,TARABAI,3553906
3309,3309,DRS 11 Presidente Prudente,"domingo, 09/05",41.0,TARABAI,3553906
15867,15867,DRS 11 Presidente Prudente,"domingo, 09/08",39.0,TARABAI,3553906
8783,8783,DRS 11 Presidente Prudente,"domingo, 10/01",42.0,TARABAI,3553906
20053,20053,DRS 11 Presidente Prudente,"domingo, 10/05",47.0,TARABAI,3553906
4597,4597,DRS 11 Presidente Prudente,"domingo, 11/04",45.0,TARABAI,3553906
411,411,DRS 11 Presidente Prudente,"domingo, 11/07",42.0,TARABAI,3553906
12969,12969,DRS 11 Presidente Prudente,"domingo, 11/10",39.0,TARABAI,3553906
21341,21341,DRS 11 Presidente Prudente,"domingo, 12/04",52.0,TARABAI,3553906
17155,17155,DRS 11 Presidente Prudente,"domingo, 12/07",43.0,TARABAI,3553906
1699,1699,DRS 11 Presidente Prudente,"domingo, 13/06",43.0,TARABAI,3553906
14257,14257,DRS 11 Presidente Prudente,"domingo, 13/09",40.0,TARABAI,3553906
10071,10071,DRS 11 Presidente Prudente,"domingo, 13/12",39.0,TARABAI,3553906
