,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
36105,36105,DRS 01 Grande São Paulo,"domingo, 01/03",36.72727272727273,SÃO LOURENÇO DA SERRA,3549953
18785,18785,DRS 01 Grande São Paulo,"domingo, 01/11",45.696969696969695,SÃO LOURENÇO DA SERRA,3549953
5683,5683,DRS 01 Grande São Paulo,"domingo, 02/05",46.72727272727273,SÃO LOURENÇO DA SERRA,3549953
25337,25337,DRS 01 Grande São Paulo,"domingo, 02/08",48.09090909090909,SÃO LOURENÇO DA SERRA,3549953
14251,14251,DRS 01 Grande São Paulo,"domingo, 03/01",49.54545454545455,SÃO LOURENÇO DA SERRA,3549953
31888,31888,DRS 01 Grande São Paulo,"domingo, 03/05",62.15151515151515,SÃO LOURENÇO DA SERRA,3549953
7699,7699,DRS 01 Grande São Paulo,"domingo, 04/04",49.54545454545455,SÃO LOURENÇO DA SERRA,3549953
1147,1147,DRS 01 Grande São Paulo,"domingo, 04/07",45.303030303030305,SÃO LOURENÇO DA SERRA,3549953
20801,20801,DRS 01 Grande São Paulo,"domingo, 04/10",45.45454545454545,SÃO LOURENÇO DA SERRA,3549953
33904,33904,DRS 01 Grande São Paulo,"domingo, 05/04",60.36363636363637,SÃO LOURENÇO DA SERRA,3549953
27352,27352,DRS 01 Grande São Paulo,"domingo, 05/07",49.09090909090909,SÃO LOURENÇO DA SERRA,3549953
3163,3163,DRS 01 Grande São Paulo,"domingo, 06/06",45.515151515151516,SÃO LOURENÇO DA SERRA,3549953
22817,22817,DRS 01 Grande São Paulo,"domingo, 06/09",44.42424242424242,SÃO LOURENÇO DA SERRA,3549953
16265,16265,DRS 01 Grande São Paulo,"domingo, 06/12",43.90909090909091,SÃO LOURENÇO DA SERRA,3549953
11731,11731,DRS 01 Grande São Paulo,"domingo, 07/02",45.36363636363637,SÃO LOURENÇO DA SERRA,3549953
9715,9715,DRS 01 Grande São Paulo,"domingo, 07/03",49.121212121212125,SÃO LOURENÇO DA SERRA,3549953
29368,29368,DRS 01 Grande São Paulo,"domingo, 07/06",50.333333333333336,SÃO LOURENÇO DA SERRA,3549953
35665,35665,DRS 01 Grande São Paulo,"domingo, 08/03",36.303030303030305,SÃO LOURENÇO DA SERRA,3549953
18281,18281,DRS 01 Grande São Paulo,"domingo, 08/11",44.72727272727273,SÃO LOURENÇO DA SERRA,3549953
5179,5179,DRS 01 Grande São Paulo,"domingo, 09/05",45.0,SÃO LOURENÇO DA SERRA,3549953
24833,24833,DRS 01 Grande São Paulo,"domingo, 09/08",44.84848484848485,SÃO LOURENÇO DA SERRA,3549953
13747,13747,DRS 01 Grande São Paulo,"domingo, 10/01",45.696969696969695,SÃO LOURENÇO DA SERRA,3549953
31384,31384,DRS 01 Grande São Paulo,"domingo, 10/05",57.21212121212121,SÃO LOURENÇO DA SERRA,3549953
7195,7195,DRS 01 Grande São Paulo,"domingo, 11/04",48.696969696969695,SÃO LOURENÇO DA SERRA,3549953
643,643,DRS 01 Grande São Paulo,"domingo, 11/07",44.303030303030305,SÃO LOURENÇO DA SERRA,3549953
20297,20297,DRS 01 Grande São Paulo,"domingo, 11/10",44.42424242424242,SÃO LOURENÇO DA SERRA,3549953
33400,33400,DRS 01 Grande São Paulo,"domingo, 12/04",61.90909090909091,SÃO LOURENÇO DA SERRA,3549953
26848,26848,DRS 01 Grande São Paulo,"domingo, 12/07",48.75757575757576,SÃO LOURENÇO DA SERRA,3549953
2659,2659,DRS 01 Grande São Paulo,"domingo, 13/06",45.09090909090909,SÃO LOURENÇO DA SERRA,3549953
22313,22313,DRS 01 Grande São Paulo,"domingo, 13/09",45.39393939393939,SÃO LOURENÇO DA SERRA,3549953
15763,15763,DRS 01 Grande São Paulo,"domingo, 13/12",43.484848484848484,SÃO LOURENÇO DA SERRA,3549953
11227,11227,DRS 01 Grande São Paulo,"domingo, 14/02",46.696969696969695,SÃO LOURENÇO DA SERRA,3549953
9211,9211,DRS 01 Grande São Paulo,"domingo, 14/03",48.333333333333336,SÃO LOURENÇO DA SERRA,3549953
28864,28864,DRS 01 Grande São Paulo,"domingo, 14/06",50.878787878787875,SÃO LOURENÇO DA SERRA,3549953
17777,17777,DRS 01 Grande São Paulo,"domingo, 15/11",43.90909090909091,SÃO LOURENÇO DA SERRA,3549953
4675,4675,DRS 01 Grande São Paulo,"domingo, 16/05",46.333333333333336,SÃO LOURENÇO DA SERRA,3549953
24329,24329,DRS 01 Grande São Paulo,"domingo, 16/08",49.72727272727273,SÃO LOURENÇO DA SERRA,3549953
13243,13243,DRS 01 Grande São Paulo,"domingo, 17/01",44.93939393939394,SÃO LOURENÇO DA SERRA,3549953
30880,30880,DRS 01 Grande São Paulo,"domingo, 17/05",52.90909090909091,SÃO LOURENÇO DA SERRA,3549953
6691,6691,DRS 01 Grande São Paulo,"domingo, 18/04",48.121212121212125,SÃO LOURENÇO DA SERRA,3549953
139,139,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,SÃO LOURENÇO DA SERRA,3549953
19793,19793,DRS 01 Grande São Paulo,"domingo, 18/10",45.666666666666664,SÃO LOURENÇO DA SERRA,3549953
32896,32896,DRS 01 Grande São Paulo,"domingo, 19/04",62.42424242424242,SÃO LOURENÇO DA SERRA,3549953
26344,26344,DRS 01 Grande São Paulo,"domingo, 19/07",48.42424242424242,SÃO LOURENÇO DA SERRA,3549953
2155,2155,DRS 01 Grande São Paulo,"domingo, 20/06",45.45454545454545,SÃO LOURENÇO DA SERRA,3549953
21809,21809,DRS 01 Grande São Paulo,"domingo, 20/09",46.121212121212125,SÃO LOURENÇO DA SERRA,3549953
15259,15259,DRS 01 Grande São Paulo,"domingo, 20/12",42.72727272727273,SÃO LOURENÇO DA SERRA,3549953
10723,10723,DRS 01 Grande São Paulo,"domingo, 21/02",45.06060606060606,SÃO LOURENÇO DA SERRA,3549953
8707,8707,DRS 01 Grande São Paulo,"domingo, 21/03",49.515151515151516,SÃO LOURENÇO DA SERRA,3549953
28360,28360,DRS 01 Grande São Paulo,"domingo, 21/06",49.96969696969697,SÃO LOURENÇO DA SERRA,3549953
34912,34912,DRS 01 Grande São Paulo,"domingo, 22/03",56.90909090909091,SÃO LOURENÇO DA SERRA,3549953
17273,17273,DRS 01 Grande São Paulo,"domingo, 22/11",44.515151515151516,SÃO LOURENÇO DA SERRA,3549953
4171,4171,DRS 01 Grande São Paulo,"domingo, 23/05",46.63636363636363,SÃO LOURENÇO DA SERRA,3549953
23825,23825,DRS 01 Grande São Paulo,"domingo, 23/08",48.36363636363637,SÃO LOURENÇO DA SERRA,3549953
12739,12739,DRS 01 Grande São Paulo,"domingo, 24/01",45.484848484848484,SÃO LOURENÇO DA SERRA,3549953
30376,30376,DRS 01 Grande São Paulo,"domingo, 24/05",53.57575757575758,SÃO LOURENÇO DA SERRA,3549953
6187,6187,DRS 01 Grande São Paulo,"domingo, 25/04",47.666666666666664,SÃO LOURENÇO DA SERRA,3549953
19289,19289,DRS 01 Grande São Paulo,"domingo, 25/10",45.696969696969695,SÃO LOURENÇO DA SERRA,3549953
32392,32392,DRS 01 Grande São Paulo,"domingo, 26/04",61.63636363636363,SÃO LOURENÇO DA SERRA,3549953
25840,25840,DRS 01 Grande São Paulo,"domingo, 26/07",48.42424242424242,SÃO LOURENÇO DA SERRA,3549953
1651,1651,DRS 01 Grande São Paulo,"domingo, 27/06",43.78787878787879,SÃO LOURENÇO DA SERRA,3549953
21305,21305,DRS 01 Grande São Paulo,"domingo, 27/09",44.60606060606061,SÃO LOURENÇO DA SERRA,3549953
14755,14755,DRS 01 Grande São Paulo,"domingo, 27/12",47.666666666666664,SÃO LOURENÇO DA SERRA,3549953
10219,10219,DRS 01 Grande São Paulo,"domingo, 28/02",46.303030303030305,SÃO LOURENÇO DA SERRA,3549953
