,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,11819,6751,0,18570,21459,86.53711729344332,33.66181538549173,19.227592492381305
1,ADOLFO,3500204,3554,1376,676,0,2052,2222,92.34923492349235,38.71693866066404,19.020821609454135
2,AGUAÍ,3500303,36648,8279,3947,0,12226,14294,85.5323912130964,22.590591573892162,10.770028378083389
3,ÁGUAS DA PRATA,3500402,8221,2722,1350,0,4072,4777,85.24178354615867,33.11032721080161,16.421359931881767
4,ÁGUAS DE LINDÓIA,3500501,18808,5540,2875,0,8415,10319,81.54859967051071,29.455550829434284,15.286048490004253
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,1482,862,0,2344,3309,70.83711090964037,24.2592895727615,14.110329022753316
6,ÁGUAS DE SÃO PEDRO,3500600,3521,1772,930,0,2702,2688,100.52083333333333,50.32661175802329,26.41295086623118
7,AGUDOS,3500709,37401,9619,5669,0,15288,18613,82.13614140654381,25.718563674768053,15.15734873399107
8,ALAMBARI,3500758,6129,1508,742,0,2250,2535,88.75739644970415,24.604340022842226,12.106379507260565
9,ALFREDO MARCONDES,3500808,4184,1453,954,0,2407,2657,90.59089198343997,34.72753346080306,22.801147227533463
10,ALTAIR,3500907,4186,1001,525,0,1526,1665,91.65165165165166,23.91304347826087,12.54180602006689
11,ALTINÓPOLIS,3501004,16203,4630,2506,0,7136,8453,84.41973263929967,28.57495525519965,15.466271678084306
12,ALTO ALEGRE,3501103,4088,1284,820,0,2104,2474,85.04446240905416,31.409001956947165,20.058708414872797
13,ALUMÍNIO,3501152,18767,3441,1747,0,5188,6366,81.49544454916744,18.33537592582725,9.308893270101775
14,ÁLVARES FLORENCE,3501202,3647,1312,759,0,2071,2758,75.09064539521393,35.97477378667398,20.811625993967645
15,ÁLVARES MACHADO,3501301,24998,6527,3374,0,9901,11567,85.59695686003285,26.11008880710457,13.49707976638131
16,ÁLVARO DE CARVALHO,3501400,5274,888,518,0,1406,1881,74.74747474747475,16.83731513083049,9.821767159651118
17,ALVINLÂNDIA,3501509,3237,788,441,0,1229,1483,82.87255563047876,24.34352795798579,13.623725671918443
18,AMERICANA,3501608,242018,62625,31417,0,94042,114604,82.05821786325085,25.8761744994174,12.981265856258625
19,AMÉRICO BRASILIENSE,3501707,41032,8678,4187,0,12865,15311,84.02455750767423,21.149346851238057,10.204230844219147
20,AMÉRICO DE CAMPOS,3501806,5981,1898,1008,0,2906,3317,87.60928549894483,31.73382377528841,16.85336900183916
21,AMPARO,3501905,72677,21004,10705,0,31709,36515,86.83828563603998,28.900477455040797,14.729556806142247
22,ANALÂNDIA,3502002,5056,1326,631,0,1957,2188,89.44241316270566,26.22626582278481,12.480221518987342
23,ANDRADINA,3502101,57202,16203,9695,0,25898,29934,86.51700407563307,28.325932659697212,16.94870808712982
24,ANGATUBA,3502200,25479,5733,2931,0,8664,10942,79.18113690367392,22.50088308018368,11.503591192746967
25,ANHEMBI,3502309,6819,1674,794,0,2468,2903,85.01550120564933,24.54905411350638,11.643936061006013
26,ANHUMAS,3502408,4144,1103,606,0,1709,1925,88.77922077922078,26.616795366795365,14.623552123552125
27,APARECIDA,3502507,36185,10376,4616,0,14992,16547,90.60252613766846,28.67486527566671,12.756667127262677
28,APARECIDA D'OESTE,3502606,4158,1892,861,0,2753,2626,104.83625285605484,45.5026455026455,20.707070707070706
29,APIAÍ,3502705,24226,6039,3000,0,9039,10471,86.32413332059976,24.927763559811773,12.38338974655329
30,ARAÇARIGUAMA,3502754,22860,3378,1670,0,5048,7074,71.35990952784846,14.776902887139107,7.305336832895888
31,ARAÇATUBA,3502804,198129,61295,31247,0,92542,105500,87.7175355450237,30.93691483831241,15.771038061061226
32,ARAÇOIABA DA SERRA,3502903,34776,6668,3446,0,10114,14624,69.16028446389497,19.174143087186565,9.909132735219691
33,ARAMINA,3503000,5655,1468,769,0,2237,2550,87.72549019607843,25.959328028293545,13.598585322723252
34,ARANDU,3503109,6365,1598,839,0,2437,2891,84.29609131788308,25.106048703849176,13.181461115475255
35,ARAPEÍ,3503158,2460,680,384,0,1064,1185,89.78902953586498,27.64227642276423,15.609756097560975
36,ARARAQUARA,3503208,238339,67946,37673,0,105619,120573,87.59755500816932,28.50813337305267,15.80647732851107
37,ARARAS,3503307,135506,34163,18969,0,53132,61140,86.90219169120053,25.211429752188096,13.998642126547903
38,ARCO-ÍRIS,3503356,1773,773,543,0,1316,1406,93.59886201991465,43.59842075578116,30.62605752961083
39,AREALVA,3503406,8613,2479,1515,0,3994,4725,84.52910052910053,28.782073609659815,17.589690003483106
40,AREIAS,3503505,3896,905,486,0,1391,1773,78.45459672870841,23.22895277207392,12.474332648870638
41,AREIÓPOLIS,3503604,11158,2102,889,0,2991,3810,78.50393700787401,18.83850152357053,7.9673776662484315
42,ARIRANHA,3503703,9761,2347,1276,0,3623,4362,83.05823016964695,24.044667554553836,13.072431103370558
43,ARTUR NOGUEIRA,3503802,55340,11064,5719,0,16783,20120,83.4145129224652,19.99277195518612,10.33429707264185
44,ARUJÁ,3503901,91157,19511,7812,0,27323,33204,82.28827852066016,21.403732022773898,8.569830073389866
45,ASPÁSIA,3503950,1818,668,343,0,1011,1065,94.92957746478872,36.743674367436746,18.866886688668867
46,ASSIS,3504008,105087,30444,15508,0,45952,54204,84.77603128920374,28.9702817665363,14.757296335417323
47,ATIBAIA,3504107,144088,36631,19605,0,56236,70010,80.32566776174832,25.422658375437234,13.606268391538503
48,AURIFLAMA,3504206,15253,4125,2308,0,6433,7803,82.44265026271947,27.043860224218186,15.13144955090802
49,AVAÍ,3504305,5436,1486,1129,0,2615,3087,84.71007450599288,27.33627667402502,20.768947755702722
50,AVANHANDAVA,3504404,13859,2642,1192,0,3834,4459,85.98340435075129,19.063424489501408,8.600909156504798
51,AVARÉ,3504503,91232,23847,12976,0,36823,43858,83.95959688084272,26.138854787793758,14.22307962118555
52,BADY BASSITT,3504602,17761,5011,2300,0,7311,8753,83.52564834913744,28.213501492033107,12.94972129947638
53,BALBINOS,3504701,5934,571,311,0,882,1686,52.313167259786475,9.622514324233231,5.240984159083249
54,BÁLSAMO,3504800,9139,2829,1501,0,4330,4640,93.31896551724138,30.955246744720426,16.424116424116423
55,BANANAL,3504909,10993,2876,1770,0,4646,5673,81.89670368411775,26.162103156554174,16.10115528063313
56,BARÃO DE ANTONINA,3505005,3498,1070,596,0,1666,1843,90.39609332609875,30.588907947398514,17.03830760434534
57,BARBOSA,3505104,7468,1623,871,0,2494,3128,79.7314578005115,21.732726298875203,11.663095875736476
58,BARIRI,3505203,35558,9984,5164,0,15148,16509,91.75601187231207,28.078069632712747,14.522751560830194
59,BARRA BONITA,3505302,36126,10251,5773,0,16024,18116,88.45219695296976,28.3756851021425,15.980180479433095
60,BARRA DO CHAPÉU,3505351,5760,1259,556,0,1815,2321,78.19905213270142,21.85763888888889,9.652777777777779
61,BARRA DO TURVO,3505401,7632,2298,1470,0,3768,4769,79.01027469071083,30.110062893081764,19.261006289308177
62,BARRETOS,3505500,122833,35167,19366,0,54533,68599,79.49532792023207,28.62992843942589,15.766121482012164
63,BARRINHA,3505609,33180,6099,2490,0,8589,10333,83.12203619471596,18.38155515370705,7.504520795660036
64,BARUERI,3505708,276982,62663,27669,0,90332,109210,82.71403717608278,22.623491779249193,9.98945779870172
65,BASTOS,3505807,20953,6423,2855,0,9278,9777,94.89618492380075,30.654321576862504,13.625733785138166
66,BATATAIS,3505906,62980,17631,8450,0,26081,30911,84.37449451651516,27.994601460781197,13.416957764369641
67,BAURU,3506003,379297,104433,58384,0,162817,203284,80.09336691525158,27.53330503536806,15.392686997260721
68,BEBEDOURO,3506102,77555,21886,11349,0,33235,41709,79.68304202929824,28.21997292244214,14.633485913222874
69,BENTO DE ABREU,3506201,3005,643,353,0,996,1209,82.38213399503722,21.397670549084857,11.747088186356073
70,BERNARDINO DE CAMPOS,3506300,11158,3797,1952,0,5749,5891,97.58954337124428,34.02939594909482,17.494174583258648
71,BERTIOGA,3506359,64723,12728,5607,0,18335,23061,79.50652616972378,19.665343077422246,8.66307186008065
72,BILAC,3506409,8117,2475,1428,0,3903,4432,88.06407942238266,30.49156092152273,17.592706665024025
73,BIRIGUI,3506508,124883,28407,14988,0,43395,55377,78.36285822633945,22.7468910900603,12.00163352898313
74,BIRITIBA MIRIM,3506607,32936,7022,3149,0,10171,11957,85.06314292882831,21.32013602137479,9.56096672334224
75,BOA ESPERANÇA DO SUL,3506706,15018,3077,1649,0,4726,5716,82.68019594121763,20.48874683712878,10.980157144759623
76,BOCAINA,3506805,12452,3427,1466,0,4893,4933,99.18913440097303,27.521683263732733,11.773209123032444
77,BOFETE,3506904,11921,2831,1369,0,4200,5171,81.22220073486753,23.748007717473367,11.483935911416827
78,BOITUVA,3507001,62170,11898,5900,0,17798,22489,79.14091333540843,19.137847836577127,9.490107769020428
79,BOM JESUS DOS PERDÕES,3507100,25985,5002,2364,0,7366,9223,79.86555350753551,19.24956705791803,9.097556282470656
80,BOM SUCESSO DE ITARARÉ,3507159,3984,754,324,0,1078,1269,84.94877856579984,18.925702811244978,8.132530120481928
81,BORÁ,3507209,838,286,151,0,437,535,81.6822429906542,34.12887828162291,18.01909307875895
82,BORACÉIA,3507308,4868,1150,712,0,1862,2196,84.79052823315118,23.623664749383728,14.626129827444537
83,BORBOREMA,3507407,16164,4600,2221,0,6821,7989,85.37989735886843,28.45830240039594,13.74041078940856
84,BOREBI,3507456,2683,628,287,0,915,1133,80.75904677846425,23.40663436451733,10.696980991427507
85,BOTUCATU,3507506,148130,114107,23545,0,137652,71449,192.65769989782922,77.03166137851886,15.894822115709175
86,BRAGANÇA PAULISTA,3507605,170533,48272,24022,0,72294,81392,88.82199724788677,28.306544774325204,14.086423155635567
87,BRAÚNA,3507704,5741,1454,867,0,2321,2904,79.92424242424242,25.326598153631775,15.101898623933113
88,BREJO ALEGRE,3507753,2889,753,466,0,1219,1429,85.30440867739678,26.064382139148496,16.130148840429214
89,BRODOWSKI,3507803,25277,5405,2988,0,8393,11096,75.63987022350396,21.383075523202912,11.821023064445939
90,BROTAS,3507902,24636,5661,3056,0,8717,10427,83.60026853361465,22.978567949342427,12.40461113817178
91,BURI,3508009,19965,3815,1958,0,5773,7292,79.16895227646737,19.108439769596792,9.80716253443526
92,BURITAMA,3508108,17281,4981,2322,0,7303,8290,88.0940892641737,28.823563451189166,13.436722411897458
93,BURITIZAL,3508207,4514,1405,708,0,2113,2384,88.63255033557047,31.125387682764732,15.684536996012405
94,CABRÁLIA PAULISTA,3508306,4243,1070,610,0,1680,2010,83.5820895522388,25.218006127739805,14.376620315814282
95,CABREÚVA,3508405,50429,7758,4207,0,11965,16740,71.47550776583034,15.384005235082988,8.342422019076325
96,CAÇAPAVA,3508504,95018,22927,11852,0,34779,41826,83.15162817386314,24.129112378707195,12.473426087688647
97,CACHOEIRA PAULISTA,3508603,33581,8036,4371,0,12407,16619,74.65551477224864,23.93019862422203,13.016288972931122
98,CACONDE,3508702,19009,5023,2563,0,7586,9188,82.5642141924249,26.424325319585463,13.483086958808984
99,CAFELÂNDIA,3508801,17843,4265,2552,0,6817,8690,78.44649021864211,23.902931121448187,14.302527601860673
100,CAIABU,3508900,4193,1227,628,0,1855,2180,85.09174311926606,29.26305747674696,14.977343191032674
101,CAIEIRAS,3509007,102775,21048,9465,0,30513,37453,81.4701092035351,20.47968864023352,9.209438092921431
102,CAIUÁ,3509106,5946,1560,830,0,2390,2928,81.62568306010928,26.236125126135217,13.958964009418096
103,CAJAMAR,3509205,77934,14166,6224,0,20390,25516,79.91064430161468,18.176918931403495,7.98624477121667
104,CAJATI,3509254,28494,5711,2728,0,8439,11705,72.09739427595045,20.042816031445216,9.573945392012353
105,CAJOBI,3509304,10596,2936,1521,0,4457,5105,87.30656219392752,27.70856927142318,14.354473386183466
106,CAJURU,3509403,26393,6778,3474,0,10252,12015,85.32667498959634,25.681051794036296,13.162580987383018
107,CAMPINA DO MONTE ALEGRE,3509452,6057,1725,803,0,2528,2783,90.83722601509163,28.47944526993561,13.25738814594684
108,CAMPINAS,3509502,1213792,357558,168075,0,525633,589029,89.2372022430135,29.457930189027444,13.847100656455142
109,CAMPO LIMPO PAULISTA,3509601,85541,16726,8382,0,25108,32895,76.32770937832497,19.553196712687484,9.798809927403234
110,CAMPOS DO JORDÃO,3509700,52405,10995,5659,0,16654,20874,79.78346268084698,20.98082244060681,10.798587920999905
111,CAMPOS NOVOS PAULISTA,3509809,4997,1322,640,0,1962,2204,89.01996370235935,26.45587352411447,12.80768461076646
112,CANANÉIA,3509908,12541,3427,1596,0,5023,6138,81.83447376995764,27.326369508013716,12.726257874172713
113,CANAS,3509957,5204,910,467,0,1377,1745,78.91117478510029,17.486548808608763,8.973866256725596
114,CÂNDIDO MOTA,3510005,31346,10086,4015,0,14101,14876,94.79026620059156,32.176354239775414,12.808651821604034
115,CÂNDIDO RODRIGUES,3510104,2799,1045,605,0,1650,1783,92.54066180594504,37.33476241514826,21.614862450875314
116,CANITAR,3510153,5292,1170,462,0,1632,1829,89.22908693275014,22.108843537414966,8.73015873015873
117,CAPÃO BONITO,3510203,47118,11093,4994,0,16087,18987,84.72639174171802,23.54301965278662,10.598921855766374
118,CAPELA DO ALTO,3510302,20985,3597,1920,0,5517,7624,72.3635886673662,17.14081486776269,9.1493924231594
119,CAPIVARI,3510401,56379,11601,5791,0,17392,21729,80.04049887247457,20.57681051455329,10.271555011617801
120,CARAGUATATUBA,3510500,123389,31167,13287,0,44454,58173,76.41689443556288,25.2591397936607,10.768382919060857
121,CARAPICUÍBA,3510609,403183,79041,33921,0,112962,140576,80.35653312087412,19.604249187093703,8.413301156050727
122,CARDOSO,3510708,12349,3919,2060,0,5979,6732,88.81461675579322,31.735363187302617,16.68151267309094
123,CASA BRANCA,3510807,30520,7531,4055,0,11586,15507,74.7146449990327,24.67562254259502,13.286369593709043
124,CÁSSIA DOS COQUEIROS,3510906,2505,871,439,0,1310,1463,89.54203691045797,34.77045908183632,17.5249500998004
125,CASTILHO,3511003,21267,5211,3205,0,8416,10510,80.07611798287346,24.502750740584002,15.07029670381342
126,CATANDUVA,3511102,122497,39114,21256,0,60370,69648,86.67872731449575,31.93057789170347,17.35226168804134
127,CATIGUÁ,3511201,7855,1944,953,0,2897,3285,88.18873668188736,24.748567791215788,12.132399745385106
128,CEDRAL,3511300,9346,3162,1667,0,4829,5602,86.20135665833631,33.832655681575005,17.83650759683287
129,CERQUEIRA CÉSAR,3511409,20191,4831,2549,0,7380,8695,84.87636572742956,23.926501906790154,12.624436630181766
130,CERQUILHO,3511508,49802,11641,5178,0,16819,19770,85.07334344967123,23.37456327055138,10.397172804305049
131,CESÁRIO LANGE,3511607,18375,3961,1875,0,5836,6965,83.79038047379755,21.556462585034016,10.204081632653061
132,CHARQUEADA,3511706,17367,3850,1941,0,5791,6717,86.2140836683043,22.168480451430874,11.176368975643463
133,CLEMENTINA,3511904,8757,1687,865,0,2552,2980,85.63758389261746,19.26458832933653,9.877812036085418
134,COLINA,3512001,18535,4787,2603,0,7390,8659,85.34472802864073,25.82681413541948,14.043701106015646
135,COLÔMBIA,3512100,6216,1631,885,0,2516,2878,87.42182070882556,26.238738738738736,14.237451737451737
136,CONCHAL,3512209,28273,5576,2777,0,8353,10488,79.64340198321892,19.721996250840025,9.82209174831111
137,CONCHAS,3512308,18019,5029,2540,0,7569,8299,91.20375948909508,27.909428936122982,14.096231755369331
