,cod_ibge,data,ocupacao_leitos
28465,3522703,2020-10-08,"39,84"
28345,3522703,2020-10-09,"37,40"
28201,3522703,2020-10-10,"35,77"
28033,3522703,2020-10-11,"39,68"
27865,3522703,2020-10-12,"35,48"
28777,3522703,2020-10-13,"33,33"
28849,3522703,2020-10-14,"29,27"
26521,3522703,2020-10-15,"28,46"
26713,3522703,2020-10-16,"27,87"
26833,3522703,2020-10-17,"27,87"
26089,3522703,2020-10-18,"26,23"
26281,3522703,2020-10-19,"30,33"
27385,3522703,2020-10-20,"27,05"
27529,3522703,2020-10-21,"30,33"
26041,3522703,2020-10-22,"28,69"
26977,3522703,2020-10-23,"25,41"
27121,3522703,2020-10-24,"26,23"
26785,3522703,2020-10-25,"29,75"
27145,3522703,2020-10-26,"26,23"
27697,3522703,2020-10-27,"30,25"
27505,3522703,2020-10-28,"29,41"
27745,3522703,2020-10-29,"30,00"
26209,3522703,2020-10-30,"30,43"
26761,3522703,2020-10-31,"26,96"
26881,3522703,2020-11-01,"29,06"
28633,3522703,2020-11-02,"31,93"
27937,3522703,2020-11-03,"35,34"
28177,3522703,2020-11-04,"36,21"
28417,3522703,2020-11-05,"40,17"
28273,3522703,2020-11-06,"39,32"
28753,3522703,2020-11-07,"33,33"
26737,3522703,2020-11-08,"35,54"
26857,3522703,2020-11-09,"34,15"
27049,3522703,2020-11-10,"35,20"
27289,3522703,2020-11-11,"33,87"
27721,3522703,2020-11-12,"30,40"
26305,3522703,2020-11-13,"28,80"
26449,3522703,2020-11-14,"29,84"
26569,3522703,2020-11-15,"31,45"
28537,3522703,2020-11-16,"32,79"
28513,3522703,2020-11-17,"34,15"
22105,3522703,2020-11-18,"33,33"
22729,3522703,2020-11-19,"33,61"
22465,3522703,2020-11-20,"31,40"
22249,3522703,2020-11-21,"33,06"
22441,3522703,2020-11-22,"32,50"
22321,3522703,2020-11-23,"34,15"
22417,3522703,2020-11-24,"34,71"
22921,3522703,2020-11-25,"30,58"
22801,3522703,2020-11-26,"29,27"
22585,3522703,2020-11-27,"28,33"
22273,3522703,2020-11-28,"29,66"
25177,3522703,2020-11-29,"33,33"
25057,3522703,2020-11-30,"34,45"
24961,3522703,2020-12-01,"35,83"
24889,3522703,2020-12-02,"35,83"
24745,3522703,2020-12-03,"35,54"
24673,3522703,2020-12-04,"36,07"
24601,3522703,2020-12-05,"34,71"
25273,3522703,2020-12-06,"35,83"
25921,3522703,2020-12-07,"35,29"
25849,3522703,2020-12-08,"34,43"
22969,3522703,2020-12-09,"34,43"
25681,3522703,2020-12-10,"34,43"
25561,3522703,2020-12-11,"30,33"
25465,3522703,2020-12-12,"30,58"
25393,3522703,2020-12-13,"32,50"
24481,3522703,2020-12-14,"33,33"
23641,3522703,2020-12-15,"36,67"
23545,3522703,2020-12-16,"37,82"
25993,3522703,2020-12-17,"34,71"
23353,3522703,2020-12-18,"34,17"
23305,3522703,2020-12-19,"35,83"
23185,3522703,2020-12-20,"31,40"
23089,3522703,2020-12-21,"32,50"
23689,3522703,2020-12-22,"35,83"
24313,3522703,2020-12-23,"38,33"
24265,3522703,2020-12-24,"37,82"
24193,3522703,2020-12-25,"32,79"
24097,3522703,2020-12-26,"37,90"
24001,3522703,2020-12-27,"40,98"
23929,3522703,2020-12-28,"42,62"
23785,3522703,2020-12-29,"43,55"
23833,3522703,2020-12-30,"43,65"
24433,3522703,2020-12-31,"44,88"
24385,3522703,2021-01-01,"42,52"
23017,3522703,2021-01-02,"42,28"
23377,3522703,2021-01-03,"43,09"
23593,3522703,2021-01-04,"42,40"
24505,3522703,2021-01-05,"46,46"
25513,3522703,2021-01-06,"46,88"
25777,3522703,2021-01-07,"46,88"
25609,3522703,2021-01-08,"48,82"
24697,3522703,2021-01-09,"49,61"
24985,3522703,2021-01-10,"43,41"
25129,3522703,2021-01-11,"40,94"
22897,3522703,2021-01-12,"48,03"
22297,3522703,2021-01-13,"48,44"
22369,3522703,2021-01-14,"51,18"
22657,3522703,2021-01-15,"53,97"
22873,3522703,2021-01-16,"51,59"
25225,3522703,2021-01-17,"56,69"
24841,3522703,2021-01-18,"61,42"
25297,3522703,2021-01-19,"57,81"
23113,3522703,2021-01-20,"57,69"
23881,3522703,2021-01-21,"61,24"
23953,3522703,2021-01-22,"67,18"
24169,3522703,2021-01-23,"64,12"
23713,3522703,2021-01-24,"59,44"
23281,3522703,2021-01-25,"60,00"
23521,3522703,2021-01-26,"62,04"
25369,3522703,2021-01-27,"64,08"
25969,3522703,2021-01-28,"65,94"
25825,3522703,2021-01-29,"69,23"
24577,3522703,2021-01-30,"71,43"
25201,3522703,2021-01-31,"78,79"
25153,3522703,2021-02-01,"86,92"
22537,3522703,2021-02-02,"86,72"
22393,3522703,2021-02-03,"88,37"
22777,3522703,2021-02-04,"93,85"
22225,3522703,2021-02-05,"94,66"
28609,3522703,2021-02-06,"95,49"
26905,3522703,2021-02-07,"93,48"
28561,3522703,2021-02-08,"90,85"
26497,3522703,2021-02-09,"90,26"
28249,3522703,2021-02-10,"91,61"
28585,3522703,2021-02-11,"93,55"
26137,3522703,2021-02-12,"89,61"
27097,3522703,2021-02-13,"83,13"
27193,3522703,2021-02-14,"80,75"
27601,3522703,2021-02-15,"86,88"
26185,3522703,2021-02-16,"83,54"
26689,3522703,2021-02-17,"79,41"
28705,3522703,2021-02-18,"90,24"
28129,3522703,2021-02-19,"92,07"
28441,3522703,2021-02-20,"91,36"
27961,3522703,2021-02-21,"84,97"
28873,3522703,2021-02-22,"89,09"
26809,3522703,2021-02-23,"91,62"
26329,3522703,2021-02-24,"91,67"
27313,3522703,2021-02-25,"91,86"
27241,3522703,2021-02-26,"91,38"
27553,3522703,2021-02-27,"93,30"
26473,3522703,2021-02-28,"91,11"
28801,3522703,2021-03-01,"90,27"
28057,3522703,2021-03-02,"96,09"
28105,3522703,2021-03-03,"92,82"
27625,3522703,2021-03-04,"93,30"
27361,3522703,2021-03-05,"96,17"
26617,3522703,2021-03-06,"95,05"
28489,3522703,2021-03-07,"94,12"
22753,3522703,2021-03-08,"94,54"
22081,3522703,2021-03-09,"95,70"
22057,3522703,2021-03-10,"96,22"
25081,3522703,2021-03-11,"94,54"
24793,3522703,2021-03-12,"92,93"
25249,3522703,2021-03-13,"97,86"
25753,3522703,2021-03-14,"97,89"
25633,3522703,2021-03-15,"94,50"
25321,3522703,2021-03-16,"91,67"
23449,3522703,2021-03-17,"89,27"
23209,3522703,2021-03-18,"90,00"
23065,3522703,2021-03-19,"95,52"
24241,3522703,2021-03-20,"94,81"
24025,3522703,2021-03-21,"91,94"
23809,3522703,2021-03-22,"95,28"
24337,3522703,2021-03-23,"94,98"
23473,3522703,2021-03-24,"92,63"
25705,3522703,2021-03-25,"95,02"
24913,3522703,2021-03-26,"90,83"
22177,3522703,2021-03-27,"89,82"
22705,3522703,2021-03-28,"94,44"
22681,3522703,2021-03-29,"91,48"
22825,3522703,2021-03-30,"95,48"
22033,3522703,2021-03-31,"96,70"
22945,3522703,2021-04-01,"96,74"
25009,3522703,2021-04-02,"96,67"
24769,3522703,2021-04-03,"96,28"
24553,3522703,2021-04-04,"96,82"
25873,3522703,2021-04-05,"95,73"
25585,3522703,2021-04-06,"89,25"
25417,3522703,2021-04-07,"95,61"
23617,3522703,2021-04-08,"93,43"
23401,3522703,2021-04-09,"94,71"
23137,3522703,2021-04-10,"94,20"
24409,3522703,2021-04-11,"94,23"
24121,3522703,2021-04-12,"93,63"
23905,3522703,2021-04-13,"94,39"
23761,3522703,2021-04-14,"95,28"
23857,3522703,2021-04-15,"94,42"
23977,3522703,2021-04-16,"93,87"
24049,3522703,2021-04-17,"92,17"
24145,3522703,2021-04-18,"92,09"
24217,3522703,2021-04-19,"93,98"
24289,3522703,2021-04-20,"90,65"
23737,3522703,2021-04-21,"93,36"
23041,3522703,2021-04-22,"95,73"
23161,3522703,2021-04-23,"93,49"
23233,3522703,2021-04-24,"92,99"
23329,3522703,2021-04-25,"94,39"
23425,3522703,2021-04-26,"98,56"
23497,3522703,2021-04-27,"97,64"
23569,3522703,2021-04-28,"95,81"
24457,3522703,2021-04-29,"95,37"
25345,3522703,2021-04-30,"92,66"
25441,3522703,2021-05-01,"93,30"
25537,3522703,2021-05-02,"95,79"
25657,3522703,2021-05-03,"92,17"
25729,3522703,2021-05-04,"95,05"
25801,3522703,2021-05-05,"94,57"
25897,3522703,2021-05-06,"93,95"
25945,3522703,2021-05-07,"95,12"
24529,3522703,2021-05-08,"93,36"
24649,3522703,2021-05-09,"93,81"
24721,3522703,2021-05-10,"78,95"
24865,3522703,2021-05-11,"92,27"
24937,3522703,2021-05-12,"93,10"
25033,3522703,2021-05-13,"93,60"
25105,3522703,2021-05-14,"92,27"
22993,3522703,2021-05-15,"91,47"
22849,3522703,2021-05-16,"93,02"
26017,3522703,2021-05-17,"94,93"
22201,3522703,2021-05-18,"94,81"
22609,3522703,2021-05-19,"95,39"
22153,3522703,2021-05-20,"93,18"
22513,3522703,2021-05-21,"92,66"
22345,3522703,2021-05-22,"94,52"
22633,3522703,2021-05-23,"95,02"
22561,3522703,2021-05-24,"94,50"
22129,3522703,2021-05-25,"94,17"
28321,3522703,2021-05-26,"92,83"
27817,3522703,2021-05-27,"76,05"
28657,3522703,2021-05-28,"77,11"
26641,3522703,2021-05-29,"92,71"
26113,3522703,2021-05-30,"92,00"
27433,3522703,2021-05-31,"93,98"
27337,3522703,2021-06-01,"90,69"
27217,3522703,2021-06-02,"90,08"
27025,3522703,2021-06-03,"83,94"
26353,3522703,2021-06-04,"88,35"
26593,3522703,2021-06-05,"87,35"
28825,3522703,2021-06-06,"87,50"
28393,3522703,2021-06-07,"89,19"
28297,3522703,2021-06-08,"88,80"
28009,3522703,2021-06-09,"87,88"
27841,3522703,2021-06-10,"87,73"
28681,3522703,2021-06-11,"88,68"
26545,3522703,2021-06-12,"87,87"
26425,3522703,2021-06-13,"87,78"
26233,3522703,2021-06-14,"85,19"
27409,3522703,2021-06-15,"86,72"
27577,3522703,2021-06-16,"86,25"
27001,3522703,2021-06-17,"90,08"
27169,3522703,2021-06-18,"87,17"
27265,3522703,2021-06-19,"90,11"
27073,3522703,2021-06-20,"87,97"
26953,3522703,2021-06-21,"89,18"
27649,3522703,2021-06-22,"86,76"
27481,3522703,2021-06-23,"84,81"
26929,3522703,2021-06-24,"86,94"
26401,3522703,2021-06-25,"85,28"
26065,3522703,2021-06-26,"82,90"
27793,3522703,2021-06-27,"84,91"
26665,3522703,2021-06-28,"88,06"
27769,3522703,2021-06-29,"87,18"
28729,3522703,2021-06-30,"82,96"
28153,3522703,2021-07-01,"82,53"
27913,3522703,2021-07-02,"80,83"
28081,3522703,2021-07-03,"82,46"
28225,3522703,2021-07-04,"84,70"
28369,3522703,2021-07-05,"86,19"
27889,3522703,2021-07-06,"82,37"
26161,3522703,2021-07-07,"78,73"
27985,3522703,2021-07-08,"80,68"
24625,3522703,2021-07-09,"79,32"
24361,3522703,2021-07-10,"78,11"
24817,3522703,2021-07-11,"76,63"
25489,3522703,2021-07-12,"75,38"
27457,3522703,2021-07-13,"78,08"
26257,3522703,2021-07-14,"71,26"
23257,3522703,2021-07-15,"66,41"
23665,3522703,2021-07-16,"66,93"
24073,3522703,2021-07-17,"68,83"
22489,3522703,2021-07-18,"67,87"
26377,3522703,2021-07-19,"68,90"
27673,3522703,2021-07-20,"69,41"
