,cod_ibge,data,ocupacao_leitos
90372,3535309,2020-10-08,"39,38"
84372,3535309,2020-10-09,"38,75"
83232,3535309,2020-10-10,"41,94"
87792,3535309,2020-10-11,"38,51"
86532,3535309,2020-10-12,"35,76"
87432,3535309,2020-10-13,"41,21"
85212,3535309,2020-10-14,"44,72"
88812,3535309,2020-10-15,"44,23"
91092,3535309,2020-10-16,"42,24"
90852,3535309,2020-10-17,"46,58"
91212,3535309,2020-10-18,"44,38"
83412,3535309,2020-10-19,"46,30"
87012,3535309,2020-10-20,"39,13"
86772,3535309,2020-10-21,"35,40"
87372,3535309,2020-10-22,"38,51"
84132,3535309,2020-10-23,"38,51"
89952,3535309,2020-10-24,"36,42"
90192,3535309,2020-10-25,"44,30"
84792,3535309,2020-10-26,"41,98"
87552,3535309,2020-10-27,"42,59"
85812,3535309,2020-10-28,"42,59"
82752,3535309,2020-10-29,"41,36"
89832,3535309,2020-10-30,"41,36"
90072,3535309,2020-10-31,"35,80"
85272,3535309,2020-11-01,"30,25"
85692,3535309,2020-11-02,"29,63"
88032,3535309,2020-11-03,"32,72"
83952,3535309,2020-11-04,"31,68"
88992,3535309,2020-11-05,"32,92"
90612,3535309,2020-11-06,"34,78"
89472,3535309,2020-11-07,"37,89"
89532,3535309,2020-11-08,"37,27"
90912,3535309,2020-11-09,"38,06"
84552,3535309,2020-11-10,"41,29"
85032,3535309,2020-11-11,"38,06"
82812,3535309,2020-11-12,"40,00"
83892,3535309,2020-11-13,"41,29"
87072,3535309,2020-11-14,"40,00"
88092,3535309,2020-11-15,"40,76"
85872,3535309,2020-11-16,"41,29"
86472,3535309,2020-11-17,"37,42"
86292,3535309,2020-11-18,"41,94"
85632,3535309,2020-11-19,"39,35"
87252,3535309,2020-11-20,"38,71"
83652,3535309,2020-11-21,"37,91"
83112,3535309,2020-11-22,"41,94"
85152,3535309,2020-11-23,"42,14"
84252,3535309,2020-11-24,"49,34"
91032,3535309,2020-11-25,"41,83"
89292,3535309,2020-11-26,"40,65"
89112,3535309,2020-11-27,"43,87"
84732,3535309,2020-11-28,"45,81"
88512,3535309,2020-11-29,"45,16"
90432,3535309,2020-11-30,"48,72"
88932,3535309,2020-12-01,"48,39"
88452,3535309,2020-12-02,"51,33"
85392,3535309,2020-12-03,"44,00"
82992,3535309,2020-12-04,"46,45"
83772,3535309,2020-12-05,"48,00"
87132,3535309,2020-12-06,"49,33"
87972,3535309,2020-12-07,"49,33"
86832,3535309,2020-12-08,"50,00"
86592,3535309,2020-12-09,"52,67"
86232,3535309,2020-12-10,"50,63"
88152,3535309,2020-12-11,"53,33"
87312,3535309,2020-12-12,"54,84"
83592,3535309,2020-12-13,"54,84"
82872,3535309,2020-12-14,"54,19"
84912,3535309,2020-12-15,"58,71"
85452,3535309,2020-12-16,"63,87"
88872,3535309,2020-12-17,"61,78"
88632,3535309,2020-12-18,"59,87"
89712,3535309,2020-12-19,"61,15"
90732,3535309,2020-12-20,"59,87"
88752,3535309,2020-12-21,"66,24"
90972,3535309,2020-12-22,"66,24"
89052,3535309,2020-12-23,"66,67"
89412,3535309,2020-12-24,"67,52"
90492,3535309,2020-12-25,"69,23"
84492,3535309,2020-12-26,"65,19"
85092,3535309,2020-12-27,"72,33"
82692,3535309,2020-12-28,"71,25"
83052,3535309,2020-12-29,"71,79"
83712,3535309,2020-12-30,"68,35"
85572,3535309,2020-12-31,"71,34"
87672,3535309,2021-01-01,"70,06"
86952,3535309,2021-01-02,"75,16"
86052,3535309,2021-01-03,"75,32"
86352,3535309,2021-01-04,"75,95"
88392,3535309,2021-01-05,"76,10"
85992,3535309,2021-01-06,"76,88"
88212,3535309,2021-01-07,"81,01"
88272,3535309,2021-01-08,"79,75"
86892,3535309,2021-01-09,"81,01"
83532,3535309,2021-01-10,"83,23"
83352,3535309,2021-01-11,"82,61"
83292,3535309,2021-01-12,"83,75"
84672,3535309,2021-01-13,"85,71"
84192,3535309,2021-01-14,"85,88"
90252,3535309,2021-01-15,"89,47"
89652,3535309,2021-01-16,"91,81"
90552,3535309,2021-01-17,"90,06"
88572,3535309,2021-01-18,"85,88"
90792,3535309,2021-01-19,"85,80"
90672,3535309,2021-01-20,"84,62"
89892,3535309,2021-01-21,"87,91"
89592,3535309,2021-01-22,"85,56"
90132,3535309,2021-01-23,"85,41"
90012,3535309,2021-01-24,"83,33"
88332,3535309,2021-01-25,"81,87"
84612,3535309,2021-01-26,"84,46"
85332,3535309,2021-01-27,"81,96"
82932,3535309,2021-01-28,"81,12"
83472,3535309,2021-01-29,"75,38"
85512,3535309,2021-01-30,"79,90"
87492,3535309,2021-01-31,"76,73"
87912,3535309,2021-02-01,"76,68"
85752,3535309,2021-02-02,"78,24"
86112,3535309,2021-02-03,"74,75"
86652,3535309,2021-02-04,"70,44"
86412,3535309,2021-02-05,"71,72"
85932,3535309,2021-02-06,"72,50"
87612,3535309,2021-02-07,"73,63"
87732,3535309,2021-02-08,"69,80"
87192,3535309,2021-02-09,"74,37"
83832,3535309,2021-02-10,"72,36"
83172,3535309,2021-02-11,"75,63"
84072,3535309,2021-02-12,"72,00"
84852,3535309,2021-02-13,"72,00"
84432,3535309,2021-02-14,"75,76"
90312,3535309,2021-02-15,"74,87"
89352,3535309,2021-02-16,"74,50"
88692,3535309,2021-02-17,"75,88"
91152,3535309,2021-02-18,"75,50"
89172,3535309,2021-02-19,"78,50"
82632,3535309,2021-02-20,"78,43"
75912,3535309,2021-02-21,"79,81"
74952,3535309,2021-02-22,"80,29"
75852,3535309,2021-02-23,"80,77"
76692,3535309,2021-02-24,"79,81"
76872,3535309,2021-02-25,"77,03"
80472,3535309,2021-02-26,"77,88"
79932,3535309,2021-02-27,"80,77"
81192,3535309,2021-02-28,"81,34"
81972,3535309,2021-03-01,"82,30"
81492,3535309,2021-03-02,"85,17"
78072,3535309,2021-03-03,"86,60"
77592,3535309,2021-03-04,"85,78"
77052,3535309,2021-03-05,"88,04"
79392,3535309,2021-03-06,"90,05"
78972,3535309,2021-03-07,"79,45"
78432,3535309,2021-03-08,"91,93"
78672,3535309,2021-03-09,"93,78"
79152,3535309,2021-03-10,"95,15"
78912,3535309,2021-03-11,"95,20"
77232,3535309,2021-03-12,"91,74"
77712,3535309,2021-03-13,"93,22"
78012,3535309,2021-03-14,"91,60"
81432,3535309,2021-03-15,"96,96"
81912,3535309,2021-03-16,"96,07"
82332,3535309,2021-03-17,"96,96"
80352,3535309,2021-03-18,"94,83"
80232,3535309,2021-03-19,"95,71"
80592,3535309,2021-03-20,"92,70"
75132,3535309,2021-03-21,"95,76"
74172,3535309,2021-03-22,"95,73"
76032,3535309,2021-03-23,"96,65"
75252,3535309,2021-03-24,"96,23"
75432,3535309,2021-03-25,"96,67"
76332,3535309,2021-03-26,"96,23"
74112,3535309,2021-03-27,"93,88"
74352,3535309,2021-03-28,"96,68"
74232,3535309,2021-03-29,"92,53"
76452,3535309,2021-03-30,"95,06"
76092,3535309,2021-03-31,"95,44"
