,cod_ibge,data,ocupacao_leitos
125893,3523800,2021-03-16,"84,56"
124693,3523800,2021-03-17,"86,39"
123513,3523800,2021-03-18,"88,67"
123753,3523800,2021-03-19,"93,55"
123693,3523800,2021-03-20,"92,21"
124633,3523800,2021-03-21,"85,14"
124313,3523800,2021-03-22,"88,39"
124413,3523800,2021-03-23,"91,56"
124573,3523800,2021-03-24,"91,08"
123853,3523800,2021-03-25,"91,50"
123993,3523800,2021-03-26,"92,95"
124073,3523800,2021-03-27,"91,03"
128553,3523800,2021-03-28,"93,17"
128173,3523800,2021-03-29,"94,30"
128093,3523800,2021-03-30,"96,18"
128833,3523800,2021-03-31,"97,42"
127213,3523800,2021-04-01,"96,77"
126953,3523800,2021-04-02,"94,23"
126633,3523800,2021-04-03,"94,34"
127753,3523800,2021-04-04,"90,80"
127493,3523800,2021-04-05,"93,83"
128633,3523800,2021-04-06,"86,86"
127653,3523800,2021-04-07,"94,12"
126933,3523800,2021-04-08,"94,23"
128773,3523800,2021-04-09,"94,16"
128213,3523800,2021-04-10,"89,51"
128453,3523800,2021-04-11,"89,22"
128053,3523800,2021-04-12,"87,73"
127133,3523800,2021-04-13,"92,90"
126713,3523800,2021-04-14,"95,60"
127353,3523800,2021-04-15,"90,24"
127633,3523800,2021-04-16,"92,50"
127833,3523800,2021-04-17,"90,68"
126793,3523800,2021-04-18,"88,34"
127193,3523800,2021-04-19,"79,75"
128653,3523800,2021-04-20,"89,10"
128073,3523800,2021-04-21,"90,97"
128413,3523800,2021-04-22,"91,39"
128393,3523800,2021-04-23,"86,84"
128613,3523800,2021-04-24,"87,66"
127173,3523800,2021-04-25,"83,97"
126753,3523800,2021-04-26,"87,58"
127713,3523800,2021-04-27,"84,56"
127373,3523800,2021-04-28,"87,50"
126813,3523800,2021-04-29,"85,43"
128013,3523800,2021-04-30,"89,19"
128533,3523800,2021-05-01,"90,20"
128893,3523800,2021-05-02,"87,74"
126893,3523800,2021-05-03,"90,20"
127613,3523800,2021-05-04,"84,31"
127473,3523800,2021-05-05,"87,50"
127873,3523800,2021-05-06,"86,39"
126853,3523800,2021-05-07,"88,36"
127153,3523800,2021-05-08,"89,86"
128733,3523800,2021-05-09,"85,33"
128193,3523800,2021-05-10,"87,35"
128573,3523800,2021-05-11,"87,76"
124173,3523800,2021-05-12,"87,16"
124213,3523800,2021-05-13,"91,39"
124533,3523800,2021-05-14,"91,16"
124333,3523800,2021-05-15,"89,26"
123553,3523800,2021-05-16,"87,41"
123613,3523800,2021-05-17,"91,16"
123453,3523800,2021-05-18,"88,44"
126013,3523800,2021-05-19,"88,20"
125773,3523800,2021-05-20,"76,71"
126493,3523800,2021-05-21,"86,30"
126353,3523800,2021-05-22,"88,28"
125653,3523800,2021-05-23,"82,69"
125033,3523800,2021-05-24,"89,54"
124773,3523800,2021-05-25,"89,54"
125533,3523800,2021-05-26,"92,11"
125353,3523800,2021-05-27,"95,54"
125193,3523800,2021-05-28,"90,91"
125373,3523800,2021-05-29,"93,92"
125113,3523800,2021-05-30,"90,60"
126253,3523800,2021-05-31,"88,73"
125693,3523800,2021-06-01,"92,47"
125953,3523800,2021-06-02,"87,18"
123393,3523800,2021-06-03,"93,04"
123773,3523800,2021-06-04,"95,57"
123873,3523800,2021-06-05,"94,38"
123953,3523800,2021-06-06,"81,61"
125713,3523800,2021-06-07,"88,82"
124793,3523800,2021-06-08,"92,55"
125513,3523800,2021-06-09,"94,44"
126313,3523800,2021-06-10,"92,68"
123433,3523800,2021-06-11,"93,33"
124493,3523800,2021-06-12,"93,33"
126573,3523800,2021-06-13,"90,48"
127033,3523800,2021-06-14,"90,59"
127273,3523800,2021-06-15,"93,60"
128913,3523800,2021-06-16,"95,76"
126693,3523800,2021-06-17,"93,41"
128293,3523800,2021-06-18,"94,01"
128793,3523800,2021-06-19,"94,55"
127733,3523800,2021-06-20,"91,72"
128973,3523800,2021-06-21,"90,59"
127953,3523800,2021-06-22,"95,24"
127413,3523800,2021-06-23,"95,83"
127053,3523800,2021-06-24,"96,47"
128353,3523800,2021-06-25,"94,15"
123973,3523800,2021-06-26,"91,23"
123353,3523800,2021-06-27,"92,17"
124653,3523800,2021-06-28,"91,07"
125853,3523800,2021-06-29,"85,03"
126093,3523800,2021-06-30,"85,89"
125173,3523800,2021-07-01,"85,37"
125433,3523800,2021-07-02,"87,50"
126213,3523800,2021-07-03,"85,63"
123333,3523800,2021-07-04,"81,56"
123893,3523800,2021-07-05,"79,89"
127393,3523800,2021-07-06,"83,33"
126053,3523800,2021-07-07,"88,12"
124273,3523800,2021-07-08,"86,16"
127913,3523800,2021-07-09,"85,44"
128133,3523800,2021-07-10,"85,19"
124373,3523800,2021-07-11,"86,25"
125233,3523800,2021-07-12,"82,32"
125933,3523800,2021-07-13,"83,33"
125833,3523800,2021-07-14,"80,75"
126773,3523800,2021-07-15,"78,85"
128273,3523800,2021-07-16,"79,62"
128953,3523800,2021-07-17,"76,58"
125593,3523800,2021-07-18,"76,28"
128853,3523800,2021-07-19,"75,95"
123373,3523800,2021-07-20,"74,68"
