,cod_ibge,data,ocupacao_leitos
29868,3513504,2020-10-08,"26,70"
29922,3513504,2020-10-09,"24,42"
29985,3513504,2020-10-10,"27,18"
30030,3513504,2020-10-11,"26,62"
29850,3513504,2020-10-12,"25,81"
29625,3513504,2020-10-13,"25,81"
29670,3513504,2020-10-14,"29,93"
29751,3513504,2020-10-15,"29,63"
29832,3513504,2020-10-16,"28,82"
30417,3513504,2020-10-17,"28,46"
30498,3513504,2020-10-18,"30,38"
30552,3513504,2020-10-19,"30,75"
30624,3513504,2020-10-20,"31,91"
30138,3513504,2020-10-21,"34,11"
30201,3513504,2020-10-22,"33,16"
30273,3513504,2020-10-23,"34,54"
30336,3513504,2020-10-24,"35,82"
30111,3513504,2020-10-25,"36,86"
29067,3513504,2020-10-26,"35,82"
28959,3513504,2020-10-27,"34,45"
29409,3513504,2020-10-28,"35,51"
29535,3513504,2020-10-29,"37,50"
29337,3513504,2020-10-30,"36,81"
29400,3513504,2020-10-31,"36,98"
29553,3513504,2020-11-01,"36,34"
29472,3513504,2020-11-02,"37,93"
29382,3513504,2020-11-03,"36,90"
28968,3513504,2020-11-04,"36,44"
29040,3513504,2020-11-05,"36,34"
31290,3513504,2020-11-06,"37,26"
30885,3513504,2020-11-07,"39,68"
30723,3513504,2020-11-08,"39,42"
31173,3513504,2020-11-09,"38,99"
30777,3513504,2020-11-10,"42,71"
31056,3513504,2020-11-11,"42,11"
31137,3513504,2020-11-12,"43,26"
31254,3513504,2020-11-13,"45,76"
30750,3513504,2020-11-14,"44,99"
30867,3513504,2020-11-15,"45,36"
30966,3513504,2020-11-16,"47,67"
31425,3513504,2020-11-17,"46,56"
31452,3513504,2020-11-18,"50,26"
31362,3513504,2020-11-19,"48,45"
31371,3513504,2020-11-20,"49,23"
30930,3513504,2020-11-21,"54,08"
30858,3513504,2020-11-22,"57,61"
30804,3513504,2020-11-23,"60,81"
30705,3513504,2020-11-24,"58,15"
30984,3513504,2020-11-25,"54,91"
31200,3513504,2020-11-26,"51,92"
31110,3513504,2020-11-27,"52,79"
31047,3513504,2020-11-28,"53,94"
31281,3513504,2020-11-29,"52,97"
31074,3513504,2020-11-30,"52,96"
31191,3513504,2020-12-01,"55,26"
30714,3513504,2020-12-02,"53,43"
30849,3513504,2020-12-03,"54,99"
31263,3513504,2020-12-04,"54,79"
31299,3513504,2020-12-05,"54,77"
30192,3513504,2020-12-06,"55,26"
29148,3513504,2020-12-07,"56,49"
29391,3513504,2020-12-08,"55,45"
29517,3513504,2020-12-09,"54,03"
29292,3513504,2020-12-10,"54,61"
29049,3513504,2020-12-11,"53,90"
29508,3513504,2020-12-12,"54,99"
29112,3513504,2020-12-13,"57,87"
29265,3513504,2020-12-14,"56,45"
29319,3513504,2020-12-15,"55,45"
29211,3513504,2020-12-16,"54,61"
29454,3513504,2020-12-17,"54,15"
29202,3513504,2020-12-18,"58,05"
29013,3513504,2020-12-19,"55,85"
29175,3513504,2020-12-20,"58,59"
28914,3513504,2020-12-21,"52,39"
30372,3513504,2020-12-22,"55,01"
30309,3513504,2020-12-23,"54,16"
30282,3513504,2020-12-24,"52,63"
30237,3513504,2020-12-25,"50,75"
30183,3513504,2020-12-26,"49,63"
30381,3513504,2020-12-27,"50,62"
30642,3513504,2020-12-28,"51,34"
30606,3513504,2020-12-29,"45,43"
30570,3513504,2020-12-30,"44,36"
30516,3513504,2020-12-31,"44,79"
30471,3513504,2021-01-01,"43,90"
30435,3513504,2021-01-02,"42,45"
29814,3513504,2021-01-03,"45,65"
29778,3513504,2021-01-04,"44,98"
29742,3513504,2021-01-05,"44,28"
29688,3513504,2021-01-06,"43,48"
29643,3513504,2021-01-07,"42,55"
29589,3513504,2021-01-08,"45,65"
30102,3513504,2021-01-09,"44,25"
30075,3513504,2021-01-10,"43,03"
30021,3513504,2021-01-11,"43,84"
29976,3513504,2021-01-12,"42,63"
29940,3513504,2021-01-13,"41,14"
29895,3513504,2021-01-14,"40,96"
29859,3513504,2021-01-15,"41,19"
29913,3513504,2021-01-16,"46,00"
30012,3513504,2021-01-17,"46,25"
29580,3513504,2021-01-18,"47,46"
29733,3513504,2021-01-19,"48,19"
30426,3513504,2021-01-20,"45,87"
30561,3513504,2021-01-21,"45,37"
30651,3513504,2021-01-22,"44,91"
30228,3513504,2021-01-23,"44,25"
30363,3513504,2021-01-24,"45,41"
29022,3513504,2021-01-25,"48,51"
29274,3513504,2021-01-26,"48,28"
28905,3513504,2021-01-27,"47,27"
29310,3513504,2021-01-28,"47,61"
28950,3513504,2021-01-29,"44,33"
31308,3513504,2021-01-30,"42,17"
30957,3513504,2021-01-31,"44,56"
30993,3513504,2021-02-01,"44,42"
31164,3513504,2021-02-02,"43,72"
30732,3513504,2021-02-03,"47,09"
30912,3513504,2021-02-04,"44,04"
31326,3513504,2021-02-05,"44,67"
30939,3513504,2021-02-06,"45,00"
31236,3513504,2021-02-07,"45,96"
31002,3513504,2021-02-08,"43,69"
30813,3513504,2021-02-09,"42,04"
28932,3513504,2021-02-10,"41,75"
29004,3513504,2021-02-11,"40,10"
29283,3513504,2021-02-12,"39,35"
29031,3513504,2021-02-13,"38,85"
30345,3513504,2021-02-14,"39,03"
30156,3513504,2021-02-15,"37,41"
30525,3513504,2021-02-16,"39,85"
29796,3513504,2021-02-17,"37,75"
29607,3513504,2021-02-18,"38,75"
29967,3513504,2021-02-19,"38,25"
29877,3513504,2021-02-20,"37,91"
30057,3513504,2021-02-21,"42,11"
29697,3513504,2021-02-22,"44,96"
30390,3513504,2021-02-23,"47,72"
30579,3513504,2021-02-24,"46,21"
30210,3513504,2021-02-25,"45,25"
28941,3513504,2021-02-26,"48,88"
29418,3513504,2021-02-27,"51,00"
29373,3513504,2021-02-28,"49,13"
29247,3513504,2021-03-01,"49,01"
28887,3513504,2021-03-02,"52,33"
31416,3513504,2021-03-03,"49,65"
31065,3513504,2021-03-04,"58,55"
30687,3513504,2021-03-05,"63,10"
30831,3513504,2021-03-06,"61,05"
29562,3513504,2021-03-07,"60,29"
30948,3513504,2021-03-08,"62,68"
30786,3513504,2021-03-09,"64,24"
31092,3513504,2021-03-10,"63,83"
31101,3513504,2021-03-11,"65,94"
