,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
56994,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 01/03",38%
56753,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 01/11",50%
56571,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 02/05",51%
56844,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 02/08",49%
56690,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 03/01",53%
56935,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 03/05",59%
56599,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 04/04",53%
56508,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 04/07",49%
56781,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 04/10",50%
56963,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 05/04",59%
56872,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 05/07",50%
56536,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 06/06",50%
56809,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 06/09",48%
56718,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 06/12",47%
56655,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 07/02",49%
56627,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 07/03",53%
56900,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 07/06",50%
56988,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 08/03",37%
56746,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 08/11",47%
56564,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 09/05",48%
56837,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 09/08",46%
56683,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 10/01",49%
56928,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 10/05",54%
56592,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 11/04",52%
56501,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 11/07",48%
56774,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 11/10",48%
56956,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 12/04",60%
56865,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 12/07",49%
56529,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 13/06",49%
56802,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 13/09",49%
56711,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 13/12",47%
56648,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 14/02",49%
56620,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 14/03",53%
56893,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 14/06",51%
56739,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 15/11",46%
56557,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 16/05",50%
56830,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 16/08",53%
56676,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 17/01",48%
56921,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 17/05",53%
56585,SÃO BERNARDO DO CAMPO,3548708,844483,SP,"domingo, 18/04",52%
