,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
31755,JABOTICABAL,3524303,77652,SP,"domingo, 01/03",36%
31513,JABOTICABAL,3524303,77652,SP,"domingo, 01/11",44%
31331,JABOTICABAL,3524303,77652,SP,"domingo, 02/05",48%
31604,JABOTICABAL,3524303,77652,SP,"domingo, 02/08",50%
31450,JABOTICABAL,3524303,77652,SP,"domingo, 03/01",47%
31695,JABOTICABAL,3524303,77652,SP,"domingo, 03/05",59%
31359,JABOTICABAL,3524303,77652,SP,"domingo, 04/04",51%
31268,JABOTICABAL,3524303,77652,SP,"domingo, 04/07",45%
31541,JABOTICABAL,3524303,77652,SP,"domingo, 04/10",45%
31723,JABOTICABAL,3524303,77652,SP,"domingo, 05/04",57%
31632,JABOTICABAL,3524303,77652,SP,"domingo, 05/07",49%
31296,JABOTICABAL,3524303,77652,SP,"domingo, 06/06",47%
31569,JABOTICABAL,3524303,77652,SP,"domingo, 06/09",43%
31478,JABOTICABAL,3524303,77652,SP,"domingo, 06/12",42%
31415,JABOTICABAL,3524303,77652,SP,"domingo, 07/02",46%
31387,JABOTICABAL,3524303,77652,SP,"domingo, 07/03",51%
31660,JABOTICABAL,3524303,77652,SP,"domingo, 07/06",50%
31748,JABOTICABAL,3524303,77652,SP,"domingo, 08/03",36%
31506,JABOTICABAL,3524303,77652,SP,"domingo, 08/11",44%
31324,JABOTICABAL,3524303,77652,SP,"domingo, 09/05",47%
31597,JABOTICABAL,3524303,77652,SP,"domingo, 09/08",47%
31443,JABOTICABAL,3524303,77652,SP,"domingo, 10/01",45%
31688,JABOTICABAL,3524303,77652,SP,"domingo, 10/05",51%
31352,JABOTICABAL,3524303,77652,SP,"domingo, 11/04",49%
31261,JABOTICABAL,3524303,77652,SP,"domingo, 11/07",45%
31534,JABOTICABAL,3524303,77652,SP,"domingo, 11/10",43%
31716,JABOTICABAL,3524303,77652,SP,"domingo, 12/04",55%
31625,JABOTICABAL,3524303,77652,SP,"domingo, 12/07",49%
31289,JABOTICABAL,3524303,77652,SP,"domingo, 13/06",46%
31562,JABOTICABAL,3524303,77652,SP,"domingo, 13/09",46%
31471,JABOTICABAL,3524303,77652,SP,"domingo, 13/12",43%
31408,JABOTICABAL,3524303,77652,SP,"domingo, 14/02",47%
31380,JABOTICABAL,3524303,77652,SP,"domingo, 14/03",48%
31653,JABOTICABAL,3524303,77652,SP,"domingo, 14/06",49%
31499,JABOTICABAL,3524303,77652,SP,"domingo, 15/11",43%
31317,JABOTICABAL,3524303,77652,SP,"domingo, 16/05",47%
31590,JABOTICABAL,3524303,77652,SP,"domingo, 16/08",52%
31436,JABOTICABAL,3524303,77652,SP,"domingo, 17/01",46%
31681,JABOTICABAL,3524303,77652,SP,"domingo, 17/05",52%
31345,JABOTICABAL,3524303,77652,SP,"domingo, 18/04",50%
31254,JABOTICABAL,3524303,77652,SP,"domingo, 18/07",47%
31527,JABOTICABAL,3524303,77652,SP,"domingo, 18/10",44%
31709,JABOTICABAL,3524303,77652,SP,"domingo, 19/04",57%
31618,JABOTICABAL,3524303,77652,SP,"domingo, 19/07",49%
31282,JABOTICABAL,3524303,77652,SP,"domingo, 20/06",45%
