,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
49913,PORTO FERREIRA,3540705,56504,SP,"domingo, 01/03",44%
49671,PORTO FERREIRA,3540705,56504,SP,"domingo, 01/11",55%
49489,PORTO FERREIRA,3540705,56504,SP,"domingo, 02/05",57%
49762,PORTO FERREIRA,3540705,56504,SP,"domingo, 02/08",60%
49608,PORTO FERREIRA,3540705,56504,SP,"domingo, 03/01",55%
49853,PORTO FERREIRA,3540705,56504,SP,"domingo, 03/05",58%
49517,PORTO FERREIRA,3540705,56504,SP,"domingo, 04/04",58%
49426,PORTO FERREIRA,3540705,56504,SP,"domingo, 04/07",55%
49699,PORTO FERREIRA,3540705,56504,SP,"domingo, 04/10",55%
49881,PORTO FERREIRA,3540705,56504,SP,"domingo, 05/04",56%
49790,PORTO FERREIRA,3540705,56504,SP,"domingo, 05/07",55%
49454,PORTO FERREIRA,3540705,56504,SP,"domingo, 06/06",57%
49727,PORTO FERREIRA,3540705,56504,SP,"domingo, 06/09",53%
49636,PORTO FERREIRA,3540705,56504,SP,"domingo, 06/12",50%
49573,PORTO FERREIRA,3540705,56504,SP,"domingo, 07/02",56%
49545,PORTO FERREIRA,3540705,56504,SP,"domingo, 07/03",59%
49818,PORTO FERREIRA,3540705,56504,SP,"domingo, 07/06",55%
49906,PORTO FERREIRA,3540705,56504,SP,"domingo, 08/03",44%
49664,PORTO FERREIRA,3540705,56504,SP,"domingo, 08/11",53%
49482,PORTO FERREIRA,3540705,56504,SP,"domingo, 09/05",57%
49755,PORTO FERREIRA,3540705,56504,SP,"domingo, 09/08",56%
49601,PORTO FERREIRA,3540705,56504,SP,"domingo, 10/01",53%
49846,PORTO FERREIRA,3540705,56504,SP,"domingo, 10/05",56%
49510,PORTO FERREIRA,3540705,56504,SP,"domingo, 11/04",56%
49419,PORTO FERREIRA,3540705,56504,SP,"domingo, 11/07",55%
49692,PORTO FERREIRA,3540705,56504,SP,"domingo, 11/10",55%
49874,PORTO FERREIRA,3540705,56504,SP,"domingo, 12/04",55%
49783,PORTO FERREIRA,3540705,56504,SP,"domingo, 12/07",55%
49447,PORTO FERREIRA,3540705,56504,SP,"domingo, 13/06",56%
49720,PORTO FERREIRA,3540705,56504,SP,"domingo, 13/09",55%
49629,PORTO FERREIRA,3540705,56504,SP,"domingo, 13/12",51%
49566,PORTO FERREIRA,3540705,56504,SP,"domingo, 14/02",58%
49538,PORTO FERREIRA,3540705,56504,SP,"domingo, 14/03",58%
