,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data
443,PLATINA,3539707,3578,98,209,0,307,2.738960313024036,5.841252096143097,2021-02-21
443,PLATINA,3539707,3578,98,65,0,163,2.738960313024036,1.8166573504751256,2021-02-22
443,PLATINA,3539707,3578,99,65,0,164,2.76690888764673,1.8166573504751256,2021-02-23
443,PLATINA,3539707,3578,99,779,0,878,2.76690888764673,21.771939631078816,2021-02-24
443,PLATINA,3539707,3578,99,831,0,930,2.76690888764673,23.225265511458915,2021-02-25
443,PLATINA,3539707,3578,99,1177,0,1276,2.76690888764673,32.895472330911126,2021-02-26
443,PLATINA,3539707,3578,99,1177,0,1276,2.76690888764673,32.895472330911126,2021-02-27
443,PLATINA,3539707,3578,99,1177,0,1276,2.76690888764673,32.895472330911126,2021-02-28
443,PLATINA,3539707,3578,99,1371,0,1470,2.76690888764673,38.31749580771381,2021-03-01
443,PLATINA,3539707,3578,108,35,0,143,3.018446059250978,0.9782001117942986,2021-03-02
443,PLATINA,3539707,3578,142,43,0,185,3.968697596422582,1.2017887087758523,2021-03-03
443,PLATINA,3539707,3578,146,43,0,189,4.08049189491336,1.2017887087758523,2021-03-04
443,PLATINA,3539707,3578,149,51,0,200,4.164337618781442,1.4253773057574064,2021-03-05
443,PLATINA,3539707,3578,150,59,0,209,4.192286193404136,1.6489659027389605,2021-03-06
443,PLATINA,3539707,3578,150,59,0,209,4.192286193404136,1.6489659027389605,2021-03-07
443,PLATINA,3539707,3578,157,59,0,216,4.387926215762996,1.6489659027389605,2021-03-08
443,PLATINA,3539707,3578,160,59,0,219,4.471771939631078,1.6489659027389605,2021-03-09
443,PLATINA,3539707,3578,167,60,0,227,4.667411961989938,1.6769144773616549,2021-03-10
443,PLATINA,3539707,3578,177,61,0,238,4.9468977082168815,1.7048630519843486,2021-03-11
443,PLATINA,3539707,3578,177,61,0,238,4.9468977082168815,1.7048630519843486,2021-03-12
443,PLATINA,3539707,3578,177,61,0,238,4.9468977082168815,1.7048630519843486,2021-03-13
443,PLATINA,3539707,3578,177,61,0,238,4.9468977082168815,1.7048630519843486,2021-03-14
443,PLATINA,3539707,3578,177,61,0,238,4.9468977082168815,1.7048630519843486,2021-03-15
443,PLATINA,3539707,3578,207,62,0,269,5.785354946897709,1.732811626607043,2021-03-16
443,PLATINA,3539707,3578,207,62,0,269,5.785354946897709,1.732811626607043,2021-03-17
443,PLATINA,3539707,3578,236,62,0,298,6.595863610955842,1.732811626607043,2021-03-18
443,PLATINA,3539707,3578,256,63,0,319,7.154835103409726,1.7607602012297372,2021-03-19
443,PLATINA,3539707,3578,256,63,0,319,7.154835103409726,1.7607602012297372,2021-03-20
443,PLATINA,3539707,3578,256,0,0,256,7.154835103409726,0.0,2021-03-21
443,PLATINA,3539707,3578,256,0,0,256,7.154835103409726,0.0,2021-03-22
443,PLATINA,3539707,3578,265,64,0,329,7.406372275013974,1.7887087758524316,2021-03-23
443,PLATINA,3539707,3578,277,71,0,348,7.7417551704863055,1.984348798211291,2021-03-24
443,PLATINA,3539707,3578,277,71,0,348,7.7417551704863055,1.984348798211291,2021-03-25
443,PLATINA,3539707,3578,318,77,0,395,8.887646730016769,2.152040245947457,2021-03-26
443,PLATINA,3539707,3578,318,77,0,395,8.887646730016769,2.152040245947457,2021-03-27
443,PLATINA,3539707,3578,318,77,0,395,8.887646730016769,2.152040245947457,2021-03-28
443,PLATINA,3539707,3578,325,87,0,412,9.083286752375628,2.4315259921743992,2021-03-29
443,PLATINA,3539707,3578,329,95,0,424,9.195081050866406,2.655114589155953,2021-03-30
443,PLATINA,3539707,3578,329,95,0,424,9.195081050866406,2.655114589155953,2021-03-31
443,PLATINA,3539707,3578,329,105,0,434,9.195081050866406,2.9346003353828958,2021-04-01
443,PLATINA,3539707,3578,329,105,0,434,9.195081050866406,2.9346003353828958,2021-04-02
443,PLATINA,3539707,3578,329,105,0,434,9.195081050866406,2.9346003353828958,2021-04-03
443,PLATINA,3539707,3578,329,105,0,434,9.195081050866406,2.9346003353828958,2021-04-04
443,PLATINA,3539707,3578,346,123,0,469,9.670206819452208,3.437674678591392,2021-04-05
443,PLATINA,3539707,3578,348,123,0,471,9.726103968697595,3.437674678591392,2021-04-06
443,PLATINA,3539707,3578,389,132,0,521,10.87199552822806,3.68921185019564,2021-04-07
443,PLATINA,3539707,3578,389,134,0,523,10.87199552822806,3.745108999441028,2021-04-08
443,PLATINA,3539707,3578,401,181,0,582,11.20737842370039,5.058692006707658,2021-04-09
443,PLATINA,3539707,3578,401,181,0,582,11.20737842370039,5.058692006707658,2021-04-10
443,PLATINA,3539707,3578,401,181,0,582,11.20737842370039,5.058692006707658,2021-04-11
443,PLATINA,3539707,3578,409,181,0,590,11.430967020681946,5.058692006707658,2021-04-12
443,PLATINA,3539707,3578,446,181,0,627,12.465064281721633,5.058692006707658,2021-04-13
443,PLATINA,3539707,3578,464,191,0,655,12.968138624930129,5.3381777529346,2021-04-14
443,PLATINA,3539707,3578,471,235,0,706,13.163778647288988,6.567915036333146,2021-04-15
443,PLATINA,3539707,3578,471,243,0,714,13.163778647288988,6.791503633314701,2021-04-16
443,PLATINA,3539707,3578,471,248,0,719,13.163778647288988,6.931246506428172,2021-04-17
443,PLATINA,3539707,3578,471,253,0,724,13.163778647288988,7.070989379541643,2021-04-18
443,PLATINA,3539707,3578,474,262,0,736,13.247624371157071,7.3225265511458915,2021-04-19
443,PLATINA,3539707,3578,508,266,0,774,14.197875908328674,7.434320849636669,2021-04-20
443,PLATINA,3539707,3578,530,266,0,796,14.812744550027949,7.434320849636669,2021-04-21
443,PLATINA,3539707,3578,530,271,0,801,14.812744550027949,7.5740637227501395,2021-04-22
443,PLATINA,3539707,3578,565,279,0,844,15.790944661822248,7.797652319731693,2021-04-23
443,PLATINA,3539707,3578,569,285,0,854,15.902738960313023,7.96534376746786,2021-04-24
443,PLATINA,3539707,3578,569,285,0,854,15.902738960313023,7.96534376746786,2021-04-25
443,PLATINA,3539707,3578,569,290,0,859,15.902738960313023,8.10508664058133,2021-04-26
443,PLATINA,3539707,3578,573,334,0,907,16.0145332588038,9.334823923979876,2021-04-27
443,PLATINA,3539707,3578,573,334,0,907,16.0145332588038,9.334823923979876,2021-04-28
443,PLATINA,3539707,3578,605,364,0,969,16.908887646730015,10.173281162660704,2021-04-29
443,PLATINA,3539707,3578,605,364,0,969,16.908887646730015,10.173281162660704,2021-04-30
443,PLATINA,3539707,3578,605,364,0,969,16.908887646730015,10.173281162660704,2021-05-01
443,PLATINA,3539707,3578,605,364,0,969,16.908887646730015,10.173281162660704,2021-05-02
443,PLATINA,3539707,3578,605,364,0,969,16.908887646730015,10.173281162660704,2021-05-03
443,PLATINA,3539707,3578,629,364,0,993,17.57965343767468,10.173281162660704,2021-05-04
