,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
16571,16571,DRS 10 Piracicaba,"domingo, 01/03",37.42857142857143,IRACEMÁPOLIS,3521408
8598,8598,DRS 10 Piracicaba,"domingo, 01/11",45.42857142857143,IRACEMÁPOLIS,3521408
2592,2592,DRS 10 Piracicaba,"domingo, 02/05",47.285714285714285,IRACEMÁPOLIS,3521408
11601,11601,DRS 10 Piracicaba,"domingo, 02/08",50.857142857142854,IRACEMÁPOLIS,3521408
6519,6519,DRS 10 Piracicaba,"domingo, 03/01",48.0,IRACEMÁPOLIS,3521408
14604,14604,DRS 10 Piracicaba,"domingo, 03/05",57.285714285714285,IRACEMÁPOLIS,3521408
3516,3516,DRS 10 Piracicaba,"domingo, 04/04",51.0,IRACEMÁPOLIS,3521408
513,513,DRS 10 Piracicaba,"domingo, 04/07",46.42857142857143,IRACEMÁPOLIS,3521408
9522,9522,DRS 10 Piracicaba,"domingo, 04/10",44.42857142857143,IRACEMÁPOLIS,3521408
15528,15528,DRS 10 Piracicaba,"domingo, 05/04",57.142857142857146,IRACEMÁPOLIS,3521408
12525,12525,DRS 10 Piracicaba,"domingo, 05/07",49.57142857142857,IRACEMÁPOLIS,3521408
1437,1437,DRS 10 Piracicaba,"domingo, 06/06",47.142857142857146,IRACEMÁPOLIS,3521408
10446,10446,DRS 10 Piracicaba,"domingo, 06/09",43.0,IRACEMÁPOLIS,3521408
7443,7443,DRS 10 Piracicaba,"domingo, 06/12",43.142857142857146,IRACEMÁPOLIS,3521408
5364,5364,DRS 10 Piracicaba,"domingo, 07/02",45.42857142857143,IRACEMÁPOLIS,3521408
4440,4440,DRS 10 Piracicaba,"domingo, 07/03",50.57142857142857,IRACEMÁPOLIS,3521408
13449,13449,DRS 10 Piracicaba,"domingo, 07/06",49.57142857142857,IRACEMÁPOLIS,3521408
16349,16349,DRS 10 Piracicaba,"domingo, 08/03",36.714285714285715,IRACEMÁPOLIS,3521408
8367,8367,DRS 10 Piracicaba,"domingo, 08/11",44.857142857142854,IRACEMÁPOLIS,3521408
2361,2361,DRS 10 Piracicaba,"domingo, 09/05",45.42857142857143,IRACEMÁPOLIS,3521408
11370,11370,DRS 10 Piracicaba,"domingo, 09/08",46.42857142857143,IRACEMÁPOLIS,3521408
6288,6288,DRS 10 Piracicaba,"domingo, 10/01",43.857142857142854,IRACEMÁPOLIS,3521408
14373,14373,DRS 10 Piracicaba,"domingo, 10/05",52.714285714285715,IRACEMÁPOLIS,3521408
3285,3285,DRS 10 Piracicaba,"domingo, 11/04",45.142857142857146,IRACEMÁPOLIS,3521408
282,282,DRS 10 Piracicaba,"domingo, 11/07",45.285714285714285,IRACEMÁPOLIS,3521408
9291,9291,DRS 10 Piracicaba,"domingo, 11/10",43.142857142857146,IRACEMÁPOLIS,3521408
15297,15297,DRS 10 Piracicaba,"domingo, 12/04",57.285714285714285,IRACEMÁPOLIS,3521408
12294,12294,DRS 10 Piracicaba,"domingo, 12/07",49.57142857142857,IRACEMÁPOLIS,3521408
1206,1206,DRS 10 Piracicaba,"domingo, 13/06",46.857142857142854,IRACEMÁPOLIS,3521408
10215,10215,DRS 10 Piracicaba,"domingo, 13/09",45.285714285714285,IRACEMÁPOLIS,3521408
7212,7212,DRS 10 Piracicaba,"domingo, 13/12",41.57142857142857,IRACEMÁPOLIS,3521408
5133,5133,DRS 10 Piracicaba,"domingo, 14/02",46.142857142857146,IRACEMÁPOLIS,3521408
4209,4209,DRS 10 Piracicaba,"domingo, 14/03",49.285714285714285,IRACEMÁPOLIS,3521408
13218,13218,DRS 10 Piracicaba,"domingo, 14/06",49.57142857142857,IRACEMÁPOLIS,3521408
8136,8136,DRS 10 Piracicaba,"domingo, 15/11",43.857142857142854,IRACEMÁPOLIS,3521408
2130,2130,DRS 10 Piracicaba,"domingo, 16/05",47.142857142857146,IRACEMÁPOLIS,3521408
11139,11139,DRS 10 Piracicaba,"domingo, 16/08",49.42857142857143,IRACEMÁPOLIS,3521408
6057,6057,DRS 10 Piracicaba,"domingo, 17/01",45.714285714285715,IRACEMÁPOLIS,3521408
14142,14142,DRS 10 Piracicaba,"domingo, 17/05",51.0,IRACEMÁPOLIS,3521408
3054,3054,DRS 10 Piracicaba,"domingo, 18/04",48.142857142857146,IRACEMÁPOLIS,3521408
51,51,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,IRACEMÁPOLIS,3521408
9060,9060,DRS 10 Piracicaba,"domingo, 18/10",44.0,IRACEMÁPOLIS,3521408
15066,15066,DRS 10 Piracicaba,"domingo, 19/04",58.857142857142854,IRACEMÁPOLIS,3521408
12063,12063,DRS 10 Piracicaba,"domingo, 19/07",49.0,IRACEMÁPOLIS,3521408
975,975,DRS 10 Piracicaba,"domingo, 20/06",46.714285714285715,IRACEMÁPOLIS,3521408
9984,9984,DRS 10 Piracicaba,"domingo, 20/09",45.42857142857143,IRACEMÁPOLIS,3521408
6981,6981,DRS 10 Piracicaba,"domingo, 20/12",43.42857142857143,IRACEMÁPOLIS,3521408
4902,4902,DRS 10 Piracicaba,"domingo, 21/02",46.142857142857146,IRACEMÁPOLIS,3521408
