,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
15586,15586,DRS 13 Ribeirão Preto,"domingo, 01/03",39.2,SANTA ROSA DE VITERBO,3547601
8085,8085,DRS 13 Ribeirão Preto,"domingo, 01/11",49.8,SANTA ROSA DE VITERBO,3547601
2443,2443,DRS 13 Ribeirão Preto,"domingo, 02/05",53.0,SANTA ROSA DE VITERBO,3547601
10906,10906,DRS 13 Ribeirão Preto,"domingo, 02/08",54.8,SANTA ROSA DE VITERBO,3547601
6132,6132,DRS 13 Ribeirão Preto,"domingo, 03/01",51.6,SANTA ROSA DE VITERBO,3547601
13727,13727,DRS 13 Ribeirão Preto,"domingo, 03/05",57.0,SANTA ROSA DE VITERBO,3547601
3311,3311,DRS 13 Ribeirão Preto,"domingo, 04/04",53.6,SANTA ROSA DE VITERBO,3547601
490,490,DRS 13 Ribeirão Preto,"domingo, 04/07",50.0,SANTA ROSA DE VITERBO,3547601
8953,8953,DRS 13 Ribeirão Preto,"domingo, 04/10",51.2,SANTA ROSA DE VITERBO,3547601
14595,14595,DRS 13 Ribeirão Preto,"domingo, 05/04",56.2,SANTA ROSA DE VITERBO,3547601
11774,11774,DRS 13 Ribeirão Preto,"domingo, 05/07",49.4,SANTA ROSA DE VITERBO,3547601
1358,1358,DRS 13 Ribeirão Preto,"domingo, 06/06",52.8,SANTA ROSA DE VITERBO,3547601
9821,9821,DRS 13 Ribeirão Preto,"domingo, 06/09",47.6,SANTA ROSA DE VITERBO,3547601
7000,7000,DRS 13 Ribeirão Preto,"domingo, 06/12",47.6,SANTA ROSA DE VITERBO,3547601
5047,5047,DRS 13 Ribeirão Preto,"domingo, 07/02",49.8,SANTA ROSA DE VITERBO,3547601
4179,4179,DRS 13 Ribeirão Preto,"domingo, 07/03",55.4,SANTA ROSA DE VITERBO,3547601
12642,12642,DRS 13 Ribeirão Preto,"domingo, 07/06",51.0,SANTA ROSA DE VITERBO,3547601
15370,15370,DRS 13 Ribeirão Preto,"domingo, 08/03",38.2,SANTA ROSA DE VITERBO,3547601
7868,7868,DRS 13 Ribeirão Preto,"domingo, 08/11",49.8,SANTA ROSA DE VITERBO,3547601
2226,2226,DRS 13 Ribeirão Preto,"domingo, 09/05",50.0,SANTA ROSA DE VITERBO,3547601
10689,10689,DRS 13 Ribeirão Preto,"domingo, 09/08",49.6,SANTA ROSA DE VITERBO,3547601
5915,5915,DRS 13 Ribeirão Preto,"domingo, 10/01",50.0,SANTA ROSA DE VITERBO,3547601
13510,13510,DRS 13 Ribeirão Preto,"domingo, 10/05",51.6,SANTA ROSA DE VITERBO,3547601
