,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
31644,31644,DRS 07 Campinas,"domingo, 01/03",37.90909090909091,LOUVEIRA,3527306
16423,16423,DRS 07 Campinas,"domingo, 01/11",44.86363636363637,LOUVEIRA,3527306
4957,4957,DRS 07 Campinas,"domingo, 02/05",46.36363636363637,LOUVEIRA,3527306
22151,22151,DRS 07 Campinas,"domingo, 02/08",48.22727272727273,LOUVEIRA,3527306
12454,12454,DRS 07 Campinas,"domingo, 03/01",48.40909090909091,LOUVEIRA,3527306
27884,27884,DRS 07 Campinas,"domingo, 03/05",57.31818181818182,LOUVEIRA,3527306
6721,6721,DRS 07 Campinas,"domingo, 04/04",49.45454545454545,LOUVEIRA,3527306
988,988,DRS 07 Campinas,"domingo, 04/07",45.59090909090909,LOUVEIRA,3527306
18185,18185,DRS 07 Campinas,"domingo, 04/10",43.86363636363637,LOUVEIRA,3527306
29648,29648,DRS 07 Campinas,"domingo, 05/04",56.72727272727273,LOUVEIRA,3527306
23915,23915,DRS 07 Campinas,"domingo, 05/07",48.90909090909091,LOUVEIRA,3527306
2752,2752,DRS 07 Campinas,"domingo, 06/06",45.72727272727273,LOUVEIRA,3527306
19947,19947,DRS 07 Campinas,"domingo, 06/09",43.40909090909091,LOUVEIRA,3527306
14218,14218,DRS 07 Campinas,"domingo, 06/12",43.13636363636363,LOUVEIRA,3527306
10249,10249,DRS 07 Campinas,"domingo, 07/02",44.40909090909091,LOUVEIRA,3527306
8485,8485,DRS 07 Campinas,"domingo, 07/03",48.5,LOUVEIRA,3527306
25679,25679,DRS 07 Campinas,"domingo, 07/06",49.31818181818182,LOUVEIRA,3527306
31214,31214,DRS 07 Campinas,"domingo, 08/03",37.86363636363637,LOUVEIRA,3527306
15982,15982,DRS 07 Campinas,"domingo, 08/11",44.09090909090909,LOUVEIRA,3527306
4516,4516,DRS 07 Campinas,"domingo, 09/05",44.0,LOUVEIRA,3527306
21711,21711,DRS 07 Campinas,"domingo, 09/08",45.81818181818182,LOUVEIRA,3527306
12013,12013,DRS 07 Campinas,"domingo, 10/01",44.68181818181818,LOUVEIRA,3527306
27443,27443,DRS 07 Campinas,"domingo, 10/05",52.81818181818182,LOUVEIRA,3527306
6280,6280,DRS 07 Campinas,"domingo, 11/04",48.04545454545455,LOUVEIRA,3527306
547,547,DRS 07 Campinas,"domingo, 11/07",44.63636363636363,LOUVEIRA,3527306
17744,17744,DRS 07 Campinas,"domingo, 11/10",44.09090909090909,LOUVEIRA,3527306
29207,29207,DRS 07 Campinas,"domingo, 12/04",57.18181818181818,LOUVEIRA,3527306
23474,23474,DRS 07 Campinas,"domingo, 12/07",49.13636363636363,LOUVEIRA,3527306
