,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data
479,RIBEIRA,3542800,3330,139,53,0,192,4.174174174174175,1.5915915915915917,2021-02-21
479,RIBEIRA,3542800,3330,139,120,0,259,4.174174174174175,3.603603603603604,2021-02-22
479,RIBEIRA,3542800,3330,139,122,0,261,4.174174174174175,3.663663663663664,2021-02-23
479,RIBEIRA,3542800,3330,142,87,0,229,4.2642642642642645,2.612612612612613,2021-02-24
479,RIBEIRA,3542800,3330,142,87,0,229,4.2642642642642645,2.612612612612613,2021-02-25
479,RIBEIRA,3542800,3330,142,87,0,229,4.2642642642642645,2.612612612612613,2021-02-26
479,RIBEIRA,3542800,3330,142,87,0,229,4.2642642642642645,2.612612612612613,2021-02-27
479,RIBEIRA,3542800,3330,142,87,0,229,4.2642642642642645,2.612612612612613,2021-02-28
479,RIBEIRA,3542800,3330,142,87,0,229,4.2642642642642645,2.612612612612613,2021-03-01
479,RIBEIRA,3542800,3330,142,31,0,173,4.2642642642642645,0.9309309309309308,2021-03-02
479,RIBEIRA,3542800,3330,184,40,0,224,5.525525525525525,1.2012012012012012,2021-03-03
479,RIBEIRA,3542800,3330,186,41,0,227,5.585585585585585,1.2312312312312312,2021-03-04
479,RIBEIRA,3542800,3330,201,57,0,258,6.036036036036037,1.7117117117117115,2021-03-05
479,RIBEIRA,3542800,3330,201,57,0,258,6.036036036036037,1.7117117117117115,2021-03-06
479,RIBEIRA,3542800,3330,201,57,0,258,6.036036036036037,1.7117117117117115,2021-03-07
479,RIBEIRA,3542800,3330,205,59,0,264,6.156156156156156,1.7717717717717716,2021-03-08
479,RIBEIRA,3542800,3330,239,71,0,310,7.177177177177177,2.1321321321321323,2021-03-09
479,RIBEIRA,3542800,3330,246,79,0,325,7.387387387387386,2.3723723723723724,2021-03-10
479,RIBEIRA,3542800,3330,250,87,0,337,7.5075075075075075,2.612612612612613,2021-03-11
479,RIBEIRA,3542800,3330,250,87,0,337,7.5075075075075075,2.612612612612613,2021-03-12
479,RIBEIRA,3542800,3330,250,87,0,337,7.5075075075075075,2.612612612612613,2021-03-13
479,RIBEIRA,3542800,3330,250,87,0,337,7.5075075075075075,2.612612612612613,2021-03-14
479,RIBEIRA,3542800,3330,260,87,0,347,7.807807807807808,2.612612612612613,2021-03-15
479,RIBEIRA,3542800,3330,271,87,0,358,8.138138138138139,2.612612612612613,2021-03-16
479,RIBEIRA,3542800,3330,276,91,0,367,8.288288288288289,2.7327327327327327,2021-03-17
479,RIBEIRA,3542800,3330,292,99,0,391,8.76876876876877,2.972972972972973,2021-03-18
479,RIBEIRA,3542800,3330,310,100,0,410,9.30930930930931,3.003003003003003,2021-03-19
479,RIBEIRA,3542800,3330,310,100,0,410,9.30930930930931,3.003003003003003,2021-03-20
479,RIBEIRA,3542800,3330,310,0,0,310,9.30930930930931,0.0,2021-03-21
