,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data
169,EMILIANÓPOLIS,3515129,3227,127,117,0,244,3.9355438487759526,3.6256585063526496,2021-02-21
169,EMILIANÓPOLIS,3515129,3227,127,562,0,689,3.9355438487759526,17.415556244189652,2021-02-22
169,EMILIANÓPOLIS,3515129,3227,127,563,0,690,3.9355438487759526,17.44654477843198,2021-02-23
169,EMILIANÓPOLIS,3515129,3227,127,164,0,291,3.9355438487759526,5.082119615742176,2021-02-24
169,EMILIANÓPOLIS,3515129,3227,128,164,0,292,3.9665323830182833,5.082119615742176,2021-02-25
169,EMILIANÓPOLIS,3515129,3227,139,164,0,303,4.307406259683917,5.082119615742176,2021-02-26
169,EMILIANÓPOLIS,3515129,3227,139,164,0,303,4.307406259683917,5.082119615742176,2021-02-27
169,EMILIANÓPOLIS,3515129,3227,139,164,0,303,4.307406259683917,5.082119615742176,2021-02-28
169,EMILIANÓPOLIS,3515129,3227,150,164,0,314,4.648280136349551,5.082119615742176,2021-03-01
169,EMILIANÓPOLIS,3515129,3227,167,56,0,223,5.175085218469167,1.735357917570499,2021-03-02
169,EMILIANÓPOLIS,3515129,3227,179,72,0,251,5.54694762937713,2.2311744654477845,2021-03-03
169,EMILIANÓPOLIS,3515129,3227,179,72,0,251,5.54694762937713,2.2311744654477845,2021-03-04
169,EMILIANÓPOLIS,3515129,3227,207,75,0,282,6.414626588162379,2.3241400681747755,2021-03-05
169,EMILIANÓPOLIS,3515129,3227,207,75,0,282,6.414626588162379,2.3241400681747755,2021-03-06
169,EMILIANÓPOLIS,3515129,3227,207,75,0,282,6.414626588162379,2.3241400681747755,2021-03-07
169,EMILIANÓPOLIS,3515129,3227,220,75,0,295,6.817477533312674,2.3241400681747755,2021-03-08
169,EMILIANÓPOLIS,3515129,3227,235,84,0,319,7.2823055469476285,2.6030368763557483,2021-03-09
169,EMILIANÓPOLIS,3515129,3227,242,97,0,339,7.499225286643941,3.0058878215060427,2021-03-10
169,EMILIANÓPOLIS,3515129,3227,243,97,0,340,7.530213820886273,3.0058878215060427,2021-03-11
169,EMILIANÓPOLIS,3515129,3227,258,98,0,356,7.995041834521227,3.036876355748373,2021-03-12
169,EMILIANÓPOLIS,3515129,3227,258,98,0,356,7.995041834521227,3.036876355748373,2021-03-13
169,EMILIANÓPOLIS,3515129,3227,258,98,0,356,7.995041834521227,3.036876355748373,2021-03-14
169,EMILIANÓPOLIS,3515129,3227,278,99,0,377,8.614812519367835,3.0678648899907035,2021-03-15
169,EMILIANÓPOLIS,3515129,3227,286,99,0,385,8.862720793306476,3.0678648899907035,2021-03-16
169,EMILIANÓPOLIS,3515129,3227,286,99,0,385,8.862720793306476,3.0678648899907035,2021-03-17
169,EMILIANÓPOLIS,3515129,3227,315,99,0,414,9.761388286334055,3.0678648899907035,2021-03-18
169,EMILIANÓPOLIS,3515129,3227,366,99,0,465,11.341803532692904,3.0678648899907035,2021-03-19
169,EMILIANÓPOLIS,3515129,3227,366,99,0,465,11.341803532692904,3.0678648899907035,2021-03-20
169,EMILIANÓPOLIS,3515129,3227,366,0,0,366,11.341803532692904,0.0,2021-03-21
169,EMILIANÓPOLIS,3515129,3227,366,0,0,366,11.341803532692904,0.0,2021-03-22
169,EMILIANÓPOLIS,3515129,3227,366,110,0,476,11.341803532692904,3.408738766656337,2021-03-23
169,EMILIANÓPOLIS,3515129,3227,382,121,0,503,11.83762008057019,3.7496126433219703,2021-03-24
169,EMILIANÓPOLIS,3515129,3227,395,122,0,517,12.240471025720485,3.780601177564301,2021-03-25
169,EMILIANÓPOLIS,3515129,3227,445,149,0,594,13.789897737837,4.61729160210722,2021-03-26
169,EMILIANÓPOLIS,3515129,3227,445,149,0,594,13.789897737837,4.61729160210722,2021-03-27
169,EMILIANÓPOLIS,3515129,3227,445,149,0,594,13.789897737837,4.61729160210722,2021-03-28
169,EMILIANÓPOLIS,3515129,3227,453,166,0,619,14.037806011775643,5.144096684226836,2021-03-29
169,EMILIANÓPOLIS,3515129,3227,454,166,0,620,14.068794546017974,5.144096684226836,2021-03-30
169,EMILIANÓPOLIS,3515129,3227,454,166,0,620,14.068794546017974,5.144096684226836,2021-03-31
169,EMILIANÓPOLIS,3515129,3227,454,166,0,620,14.068794546017974,5.144096684226836,2021-04-01
169,EMILIANÓPOLIS,3515129,3227,454,166,0,620,14.068794546017974,5.144096684226836,2021-04-02
169,EMILIANÓPOLIS,3515129,3227,454,166,0,620,14.068794546017974,5.144096684226836,2021-04-03
169,EMILIANÓPOLIS,3515129,3227,454,166,0,620,14.068794546017974,5.144096684226836,2021-04-04
169,EMILIANÓPOLIS,3515129,3227,472,208,0,680,14.62658816237992,6.445615122404711,2021-04-05
169,EMILIANÓPOLIS,3515129,3227,493,212,0,705,15.277347381468855,6.569569259374032,2021-04-06
169,EMILIANÓPOLIS,3515129,3227,493,212,0,705,15.277347381468855,6.569569259374032,2021-04-07
169,EMILIANÓPOLIS,3515129,3227,493,212,0,705,15.277347381468855,6.569569259374032,2021-04-08
169,EMILIANÓPOLIS,3515129,3227,493,212,0,705,15.277347381468855,6.569569259374032,2021-04-09
169,EMILIANÓPOLIS,3515129,3227,493,212,0,705,15.277347381468855,6.569569259374032,2021-04-10
169,EMILIANÓPOLIS,3515129,3227,493,212,0,705,15.277347381468855,6.569569259374032,2021-04-11
169,EMILIANÓPOLIS,3515129,3227,521,226,0,747,16.145026340254105,7.003408738766656,2021-04-12
169,EMILIANÓPOLIS,3515129,3227,555,285,0,840,17.198636504493336,8.831732259064145,2021-04-13
169,EMILIANÓPOLIS,3515129,3227,569,285,0,854,17.63247598388596,8.831732259064145,2021-04-14
169,EMILIANÓPOLIS,3515129,3227,569,342,0,911,17.63247598388596,10.598078710876974,2021-04-15
169,EMILIANÓPOLIS,3515129,3227,569,362,0,931,17.63247598388596,11.217849395723585,2021-04-16
169,EMILIANÓPOLIS,3515129,3227,569,362,0,931,17.63247598388596,11.217849395723585,2021-04-17
169,EMILIANÓPOLIS,3515129,3227,569,362,0,931,17.63247598388596,11.217849395723585,2021-04-18
169,EMILIANÓPOLIS,3515129,3227,572,370,0,942,17.725441586612952,11.465757669662224,2021-04-19
169,EMILIANÓPOLIS,3515129,3227,618,371,0,989,19.15091416176015,11.496746203904555,2021-04-20
169,EMILIANÓPOLIS,3515129,3227,618,371,0,989,19.15091416176015,11.496746203904555,2021-04-21
169,EMILIANÓPOLIS,3515129,3227,627,371,0,998,19.429810969941123,11.496746203904555,2021-04-22
169,EMILIANÓPOLIS,3515129,3227,635,389,0,1024,19.677719243879764,12.0545398202665,2021-04-23
169,EMILIANÓPOLIS,3515129,3227,637,389,0,1026,19.739696312364423,12.0545398202665,2021-04-24
169,EMILIANÓPOLIS,3515129,3227,637,389,0,1026,19.739696312364423,12.0545398202665,2021-04-25
169,EMILIANÓPOLIS,3515129,3227,647,399,0,1046,20.04958165478773,12.364425162689804,2021-04-26
169,EMILIANÓPOLIS,3515129,3227,660,408,0,1068,20.45243259993802,12.643321970870778,2021-04-27
169,EMILIANÓPOLIS,3515129,3227,660,408,0,1068,20.45243259993802,12.643321970870778,2021-04-28
169,EMILIANÓPOLIS,3515129,3227,676,440,0,1116,20.94824914781531,13.634955066625349,2021-04-29
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,21.25813449023861,13.72792066935234,2021-04-30
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,21.25813449023861,13.72792066935234,2021-05-01
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,21.25813449023861,13.72792066935234,2021-05-02
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,21.25813449023861,13.72792066935234,2021-05-03
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,21.25813449023861,13.72792066935234,2021-05-04
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,21.25813449023861,13.72792066935234,2021-05-05
169,EMILIANÓPOLIS,3515129,3227,692,443,0,1135,21.444065695692597,13.72792066935234,2021-05-06
169,EMILIANÓPOLIS,3515129,3227,692,471,0,1163,21.444065695692597,14.59559962813759,2021-05-07
169,EMILIANÓPOLIS,3515129,3227,720,471,0,1191,22.311744654477845,14.59559962813759,2021-05-08
169,EMILIANÓPOLIS,3515129,3227,720,471,0,1191,22.311744654477845,14.59559962813759,2021-05-09
169,EMILIANÓPOLIS,3515129,3227,788,471,0,1259,24.418964982956307,14.59559962813759,2021-05-10
169,EMILIANÓPOLIS,3515129,3227,814,471,0,1285,25.224666873256897,14.59559962813759,2021-05-11
169,EMILIANÓPOLIS,3515129,3227,814,471,0,1285,25.224666873256897,14.59559962813759,2021-05-12
169,EMILIANÓPOLIS,3515129,3227,855,471,0,1326,26.49519677719244,14.59559962813759,2021-05-13
169,EMILIANÓPOLIS,3515129,3227,870,471,0,1341,26.96002479082739,14.59559962813759,2021-05-14
169,EMILIANÓPOLIS,3515129,3227,870,471,0,1341,26.96002479082739,14.59559962813759,2021-05-15
169,EMILIANÓPOLIS,3515129,3227,880,471,0,1351,27.269910133250697,14.59559962813759,2021-05-16
169,EMILIANÓPOLIS,3515129,3227,883,471,0,1354,27.36287573597769,14.59559962813759,2021-05-17
169,EMILIANÓPOLIS,3515129,3227,905,473,0,1378,28.04462348930896,14.657576696622248,2021-05-18
169,EMILIANÓPOLIS,3515129,3227,930,480,0,1410,28.819336845367214,14.874496436318562,2021-05-19
