,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,2905,1111,0,4016,4335,92.64129181084199,8.27376036000114,3.1642505197801256
1,ADOLFO,3500204,3554,230,91,0,321,391,82.09718670076727,6.471581316826111,2.5604952166572876
2,AGUAÍ,3500303,36648,1201,349,0,1550,2378,65.18082422203533,3.2771228989303647,0.9523029906134031
3,ÁGUAS DA PRATA,3500402,8221,340,64,0,404,874,46.224256292906176,4.135749908770222,0.7784941004743948
4,ÁGUAS DE LINDÓIA,3500501,18808,683,165,0,848,1688,50.23696682464455,3.63143343258188,0.8772862611654615
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,293,106,0,399,550,72.54545454545455,4.796202324439352,1.7351448682272057
6,ÁGUAS DE SÃO PEDRO,3500600,3521,395,73,0,468,644,72.67080745341616,11.218403862539052,2.073274637886964
7,AGUDOS,3500709,37401,2732,930,0,3662,5220,70.15325670498083,7.304617523595626,2.486564530360151
8,ALAMBARI,3500758,6129,202,54,0,256,354,72.31638418079096,3.295806820035895,0.881057268722467
9,ALFREDO MARCONDES,3500808,4184,353,85,0,438,546,80.21978021978022,8.436902485659656,2.0315487571701722
10,ALTAIR,3500907,4186,220,100,0,320,340,94.11764705882352,5.255613951266125,2.388915432393693
11,ALTINÓPOLIS,3501004,16203,798,349,0,1147,1756,65.31890660592255,4.925013886317348,2.1539221131889157
12,ALTO ALEGRE,3501103,4088,202,57,0,259,480,53.95833333333333,4.9412915851272015,1.3943248532289627
13,ALUMÍNIO,3501152,18767,589,176,0,765,842,90.85510688836105,3.1384877710875476,0.9378163798156338
14,ÁLVARES FLORENCE,3501202,3647,191,61,0,252,404,62.37623762376238,5.237181244858788,1.672607622703592
15,ÁLVARES MACHADO,3501301,24998,1252,213,0,1465,1791,81.79787828029033,5.008400672053765,0.8520681654532363
16,ÁLVARO DE CARVALHO,3501400,5274,145,53,0,198,277,71.48014440433214,2.7493363670838074,1.004929844520288
17,ALVINLÂNDIA,3501509,3237,148,67,0,215,220,97.72727272727273,4.57213469261662,2.069817732468335
18,AMERICANA,3501608,242018,10674,3341,0,14015,21845,64.1565575646601,4.410415754200101,1.3804758323761042
19,AMÉRICO BRASILIENSE,3501707,41032,1871,662,0,2533,3445,73.52685050798259,4.559855722363033,1.6133749268863327
20,AMÉRICO DE CAMPOS,3501806,5981,307,122,0,429,541,79.29759704251387,5.132920916234744,2.039792676809898
21,AMPARO,3501905,72677,3967,802,0,4769,7326,65.0969150969151,5.458398117698859,1.1035128032252295
22,ANALÂNDIA,3502002,5056,199,80,0,279,338,82.54437869822485,3.9359177215189876,1.5822784810126582
23,ANDRADINA,3502101,57202,3318,286,0,3604,6215,57.98873692679002,5.800496486136848,0.4999825180937729
24,ANGATUBA,3502200,25479,858,174,0,1032,1537,67.14378659726741,3.367479100435653,0.6829153420463911
25,ANHEMBI,3502309,6819,200,46,0,246,466,52.78969957081545,2.932981375568265,0.674585716380701
26,ANHUMAS,3502408,4144,238,92,0,330,346,95.37572254335261,5.743243243243244,2.2200772200772203
27,APARECIDA,3502507,36185,1300,459,0,1759,2684,65.5365126676602,3.592648887660633,1.2684814149509465
28,APARECIDA D'OESTE,3502606,4158,314,100,0,414,543,76.24309392265194,7.551707551707551,2.405002405002405
29,APIAÍ,3502705,24226,823,277,0,1100,1480,74.32432432432432,3.397176587137786,1.1433996532650872
30,ARAÇARIGUAMA,3502754,22860,535,180,0,715,894,79.97762863534675,2.3403324584426946,0.7874015748031495
