,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,3422,1424,0,4846,5145,94.18853255587949,9.746233374156247,4.055709037053915
1,ADOLFO,3500204,3554,308,133,0,441,443,99.54853273137697,8.666291502532358,3.7422622397298824
2,AGUAÍ,3500303,36648,1494,511,0,2005,2598,77.17474980754426,4.076620825147348,1.3943462126173323
3,ÁGUAS DA PRATA,3500402,8221,546,213,0,759,964,78.7344398340249,6.6415277946721805,2.5909256781413452
4,ÁGUAS DE LINDÓIA,3500501,18808,700,341,0,1041,1869,55.69823434991974,3.721820501914079,1.813058273075287
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,407,126,0,533,602,88.53820598006644,6.662301522344083,2.062530692421018
6,ÁGUAS DE SÃO PEDRO,3500600,3521,447,154,0,601,706,85.12747875354107,12.695257029253055,4.3737574552683895
7,AGUDOS,3500709,37401,2932,1132,0,4064,5700,71.29824561403508,7.839362583888132,3.0266570412555813
8,ALAMBARI,3500758,6129,253,83,0,336,434,77.41935483870968,4.127916462718225,1.354217653777125
9,ALFREDO MARCONDES,3500808,4184,403,145,0,548,656,83.53658536585365,9.631931166347993,3.4655831739961758
10,ALTAIR,3500907,4186,269,101,0,370,392,94.38775510204081,6.426182513139035,2.41280458671763
11,ALTINÓPOLIS,3501004,16203,990,375,0,1365,1898,71.91780821917808,6.109979633401222,2.31438622477319
12,ALTO ALEGRE,3501103,4088,361,69,0,430,590,72.88135593220339,8.830724070450097,1.687866927592955
13,ALUMÍNIO,3501152,18767,634,193,0,827,994,83.19919517102615,3.3782703681994994,1.028400916502371
14,ÁLVARES FLORENCE,3501202,3647,339,100,0,439,504,87.10317460317461,9.29531121469701,2.741979709350151
15,ÁLVARES MACHADO,3501301,24998,1417,382,0,1799,2221,80.99954975236379,5.668453476278102,1.5281222497799825
16,ÁLVARO DE CARVALHO,3501400,5274,184,61,0,245,340,72.05882352941177,3.4888130451270385,1.1566173682214638
17,ALVINLÂNDIA,3501509,3237,196,84,0,280,272,102.94117647058823,6.054989187519308,2.5949953660797034
18,AMERICANA,3501608,242018,12859,4279,0,17138,23400,73.23931623931624,5.313241163880372,1.768050310307498
19,AMÉRICO BRASILIENSE,3501707,41032,2184,757,0,2941,3745,78.53137516688918,5.322674985377267,1.8449015402612594
20,AMÉRICO DE CAMPOS,3501806,5981,442,125,0,567,664,85.39156626506023,7.39006855040963,2.0899515131248956
21,AMPARO,3501905,72677,4753,1535,0,6288,7946,79.13415554996224,6.539895702904633,2.112084978741555
22,ANALÂNDIA,3502002,5056,267,96,0,363,368,98.6413043478261,5.280854430379747,1.89873417721519
