,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,8724,5324,0,14048,13812,101.70865913698233,24.846914072512888,15.163339124490902
1,ADOLFO,3500204,3554,960,577,0,1537,1342,114.5305514157973,27.011817670230727,16.23522791221159
2,AGUAÍ,3500303,36648,5336,3096,0,8432,8439,99.91705178338665,14.56013970748745,8.447937131630647
3,ÁGUAS DA PRATA,3500402,8221,2032,1050,0,3082,3077,100.16249593760156,24.717187690062037,12.77216883590804
4,ÁGUAS DE LINDÓIA,3500501,18808,3751,2138,0,5889,5914,99.57727426445722,19.94364100382816,11.367503190131858
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,1094,700,0,1794,1848,97.07792207792207,17.90800458340154,11.458503846783435
6,ÁGUAS DE SÃO PEDRO,3500600,3521,1162,663,0,1825,1793,101.78471834913552,33.00198807157058,18.829877875603522
7,AGUDOS,3500709,37401,7575,4325,0,11900,12673,93.90041821194666,20.253469158578646,11.563861928825432
8,ALAMBARI,3500758,6129,999,425,0,1424,1428,99.71988795518207,16.299559471365637,6.934247022352749
9,ALFREDO MARCONDES,3500808,4184,1166,731,0,1897,1837,103.26619488296136,27.86806883365201,17.47131931166348
10,ALTAIR,3500907,4186,675,421,0,1096,1040,105.38461538461539,16.12517916865743,10.057333970377448
11,ALTINÓPOLIS,3501004,16203,3405,2070,0,5475,5478,99.94523548740416,21.014626920940565,12.77541196074801
12,ALTO ALEGRE,3501103,4088,1120,640,0,1760,1709,102.98420128730253,27.397260273972602,15.655577299412915
13,ALUMÍNIO,3501152,18767,2292,1255,0,3547,3654,97.07170224411604,12.212926946235413,6.687270208344434
14,ÁLVARES FLORENCE,3501202,3647,978,546,0,1524,1557,97.88053949903662,26.816561557444473,14.971209213051823
15,ÁLVARES MACHADO,3501301,24998,4699,2578,0,7277,7311,99.53494733962522,18.797503800304025,10.31282502600208
16,ÁLVARO DE CARVALHO,3501400,5274,624,385,0,1009,1092,92.3992673992674,11.831626848691695,7.2999620781190755
17,ALVINLÂNDIA,3501509,3237,611,325,0,936,874,107.09382151029749,18.87550200803213,10.040160642570282
18,AMERICANA,3501608,242018,42245,23968,0,66213,69925,94.69145513049696,17.455313241163882,9.903395615202175
19,AMÉRICO BRASILIENSE,3501707,41032,5437,3527,0,8964,9231,97.10757231069223,13.250633651783975,8.595730161824918
20,AMÉRICO DE CAMPOS,3501806,5981,1291,740,0,2031,2112,96.16477272727273,21.58501922755392,12.372512957699382
21,AMPARO,3501905,72677,13399,8347,0,21746,23000,94.54782608695652,18.43636914016814,11.485064050524924
22,ANALÂNDIA,3502002,5056,813,514,0,1327,1411,94.04677533664068,16.07990506329114,10.166139240506329
23,ANDRADINA,3502101,57202,11924,7462,0,19386,19894,97.44646627123757,20.84542498514038,13.04499842662844
24,ANGATUBA,3502200,25479,4403,1963,0,6366,6313,100.83953746237921,17.280897994426784,7.704384002511873
25,ANHEMBI,3502309,6819,1038,491,0,1529,1569,97.45060548119821,15.222173339199296,7.200469277020091
26,ANHUMAS,3502408,4144,781,473,0,1254,1210,103.63636363636364,18.846525096525095,11.414092664092664
27,APARECIDA,3502507,36185,6190,3507,0,9697,9987,97.0962250926204,17.106535857399475,9.691861268481414
28,APARECIDA D'OESTE,3502606,4158,1305,738,0,2043,1798,113.62625139043381,31.38528138528138,17.74891774891775
29,APIAÍ,3502705,24226,3904,2205,0,6109,6148,99.36564736499675,16.114917856848017,9.101791463716669
30,ARAÇARIGUAMA,3502754,22860,2156,1368,0,3524,3679,95.78689861375373,9.431321084864392,5.984251968503937
31,ARAÇATUBA,3502804,198129,41660,24895,0,66555,67537,98.54598220234834,21.02670482362501,12.565046005380335
32,ARAÇOIABA DA SERRA,3502903,34776,4786,2792,0,7578,8449,89.69108770268672,13.76236484932137,8.028525419829768
33,ARAMINA,3503000,5655,1036,584,0,1620,1600,101.25,18.32007073386384,10.327144120247569
34,ARANDU,3503109,6365,1124,615,0,1739,1703,102.11391661773341,17.659073055773764,9.662215239591516
35,ARAPEÍ,3503158,2460,548,299,0,847,760,111.44736842105263,22.276422764227643,12.154471544715447
36,ARARAQUARA,3503208,238339,48858,29074,0,77932,78529,99.23977129468095,20.49937274218655,12.198591082449788
37,ARARAS,3503307,135506,24994,14778,0,39772,38570,103.11641171895256,18.44493970746683,10.905790149513676
38,ARCO-ÍRIS,3503356,1773,592,436,0,1028,1031,99.7090203685742,33.38973491257755,24.591088550479416
39,AREALVA,3503406,8613,2008,1067,0,3075,3078,99.90253411306043,23.31359572738883,12.388250319284802
40,AREIAS,3503505,3896,685,399,0,1084,1118,96.95885509838999,17.582135523613964,10.241273100616016
41,AREIÓPOLIS,3503604,11158,1325,678,0,2003,2195,91.25284738041002,11.874887972754975,6.076357770209715
42,ARIRANHA,3503703,9761,1879,1039,0,2918,2647,110.23800528900642,19.250076836389717,10.644401188402828
43,ARTUR NOGUEIRA,3503802,55340,7334,4200,0,11534,12080,95.48013245033113,13.25262016624503,7.589447054571738
44,ARUJÁ,3503901,91157,11946,6337,0,18283,18763,97.44177370356553,13.104863038494027,6.95174259793543
45,ASPÁSIA,3503950,1818,511,257,0,768,680,112.94117647058823,28.107810781078108,14.136413641364138
46,ASSIS,3504008,105087,21255,11825,0,33080,34947,94.6576244026669,20.22609837563162,11.252581194629212
47,ATIBAIA,3504107,144088,25755,14490,0,40245,43926,91.61999726813276,17.874493365165733,10.056354450058299
48,AURIFLAMA,3504206,15253,2956,1701,0,4657,5113,91.08155681595932,19.379794138857932,11.151904543368518
49,AVAÍ,3504305,5436,1239,864,0,2103,2212,95.07233273056059,22.792494481236204,15.894039735099339
50,AVANHANDAVA,3504404,13859,1670,924,0,2594,2404,107.9034941763727,12.04993145248575,6.6671477018543905
51,AVARÉ,3504503,91232,16281,9615,0,25896,27492,94.19467481449149,17.845712030866363,10.539065240266574
52,BADY BASSITT,3504602,17761,3363,1869,0,5232,4933,106.06122035272654,18.934744665277854,10.523056134226676
53,BALBINOS,3504701,5934,361,133,0,494,532,92.85714285714286,6.083586113919784,2.2413211998651836
54,BÁLSAMO,3504800,9139,2223,1212,0,3435,3045,112.80788177339902,24.324324324324326,13.26184484079221
55,BANANAL,3504909,10993,2052,1335,0,3387,3555,95.27426160337554,18.666424088056036,12.144091694714819
56,BARÃO DE ANTONINA,3505005,3498,718,431,0,1149,1184,97.04391891891892,20.526014865637507,12.321326472269869
57,BARBOSA,3505104,7468,1266,696,0,1962,1968,99.6951219512195,16.95232994108195,9.319764327798607
58,BARIRI,3505203,35558,6782,3868,0,10650,10809,98.52900360810436,19.073063726868778,10.878002137353057
59,BARRA BONITA,3505302,36126,7335,4383,0,11718,11731,99.88918250788508,20.303936223218734,12.132536123567514
60,BARRA DO CHAPÉU,3505351,5760,749,417,0,1166,1376,84.73837209302324,13.003472222222223,7.239583333333334
61,BARRA DO TURVO,3505401,7632,1966,1269,0,3235,3434,94.20500873616774,25.759958071278827,16.62735849056604
62,BARRETOS,3505500,122833,25198,15255,0,40453,44271,91.37584423211584,20.51403124567502,12.419301002173682
63,BARRINHA,3505609,33180,3352,1954,0,5306,5768,91.99029126213593,10.102471368294152,5.889089813140446
64,BARUERI,3505708,276982,38913,23019,0,61932,61584,100.56508183943882,14.04892736712133,8.310648345379844
65,BASTOS,3505807,20953,3995,2066,0,6061,5890,102.90322580645162,19.06648212666444,9.860163222450245
66,BATATAIS,3505906,62980,11293,6214,0,17507,18786,93.19173852869159,17.931089234677675,9.866624325182597
67,BAURU,3506003,379297,75181,42417,0,117598,131959,89.11707424275723,19.82114279838754,11.183057076644424
