,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,21747,7997,632,30376,31212,97.32154299628348,61.937854233715925,24.57634359602404
1,ADOLFO,3500204,3554,2469,1020,79,3568,3220,110.80745341614906,69.47101857062464,30.92290377039955
2,AGUAÍ,3500303,36648,16458,4752,1004,22214,22693,97.88921693914423,44.90831696136215,15.7061776904606
3,ÁGUAS DA PRATA,3500402,8221,4382,1646,194,6222,6843,90.92503288031565,53.30251794185622,22.38170538863885
4,ÁGUAS DE LINDÓIA,3500501,18808,10434,3251,415,14100,16106,87.5450142803924,55.476393024245006,19.491705657167163
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,3433,1119,136,4688,4909,95.4980647789774,56.1957767228679,20.54346046816173
6,ÁGUAS DE SÃO PEDRO,3500600,3521,2378,1140,58,3576,3598,99.38854919399667,67.53763135472877,34.02442487929566
7,AGUDOS,3500709,37401,19283,6801,872,26956,27483,98.08245096969034,51.55744498810192,20.515494238121974
8,ALAMBARI,3500758,6129,2807,900,171,3878,4054,95.65860878145041,45.79866209822157,17.474302496328928
9,ALFREDO MARCONDES,3500808,4184,2672,1012,83,3767,3648,103.26206140350878,63.862332695984705,26.17112810707457
10,ALTAIR,3500907,4186,1774,586,115,2475,2697,91.7686318131257,42.379359770664124,16.74629718107979
11,ALTINÓPOLIS,3501004,16203,8759,3141,379,12279,12515,98.11426288453855,54.057890514102326,21.724372029871013
12,ALTO ALEGRE,3501103,4088,2397,905,100,3402,3531,96.34664401019542,58.63502935420743,24.584148727984346
13,ALUMÍNIO,3501152,18767,7838,2054,508,10400,11013,94.43385090347772,41.76479991474397,13.651622528907122
14,ÁLVARES FLORENCE,3501202,3647,2373,927,75,3375,3785,89.16776750330251,65.06717850287907,27.47463668768851
15,ÁLVARES MACHADO,3501301,24998,12421,3693,601,16715,17453,95.77150060161577,49.68797503800304,17.177374189935197
16,ÁLVARO DE CARVALHO,3501400,5274,2373,1019,101,3493,3253,107.37780510298187,44.99431171786121,21.23625331816458
17,ALVINLÂNDIA,3501509,3237,1531,553,48,2132,2264,94.1696113074205,47.29687982700031,18.566573988260735
18,AMERICANA,3501608,242018,122356,39245,6025,167626,177632,94.36700594487479,50.55657017246651,18.705220272872268
19,AMÉRICO BRASILIENSE,3501707,41032,16430,4835,959,22224,24993,88.9208978513984,40.04191850263209,14.120686293624487
20,AMÉRICO DE CAMPOS,3501806,5981,3167,1219,100,4486,4811,93.24464768239451,52.951011536532356,22.053168366493896
21,AMPARO,3501905,72677,39132,12813,1762,53707,54966,97.70949314121457,53.843719471084384,20.054487664598152
22,ANALÂNDIA,3502002,5056,2359,771,99,3229,3371,95.78760011865916,46.657436708860764,17.207278481012658
23,ANDRADINA,3502101,57202,32200,11692,1315,45207,44575,101.41783510936624,56.29173805111709,22.738715429530437
24,ANGATUBA,3502200,25479,12585,3597,478,16660,16583,100.46433094132546,49.393618273872605,15.993563326661173
25,ANHEMBI,3502309,6819,3158,982,98,4238,4527,93.61608129003756,46.31177592022291,15.838099428068631
26,ANHUMAS,3502408,4144,2044,800,78,2922,2934,99.59100204498978,49.32432432432432,21.187258687258687
27,APARECIDA,3502507,36185,17947,5143,905,23995,24762,96.90251191341572,49.59789968218875,16.714108055824237
28,APARECIDA D'OESTE,3502606,4158,2814,946,78,3838,3661,104.8347446052991,67.67676767676768,24.627224627224628
29,APIAÍ,3502705,24226,11712,3779,510,16001,16548,96.6944645878656,48.34475357054404,17.70411954098902
30,ARAÇARIGUAMA,3502754,22860,9017,2164,577,11758,12701,92.57538776474293,39.44444444444444,11.990376202974629
31,ARAÇATUBA,3502804,198129,104551,36607,4811,145969,155260,94.01584439005539,52.769155449227526,20.904562179186286
32,ARAÇOIABA DA SERRA,3502903,34776,16687,4145,575,21407,24025,89.10301768990635,47.98424200598114,13.572578789970095
33,ARAMINA,3503000,5655,2782,901,129,3812,4060,93.89162561576356,49.195402298850574,18.21396993810787
34,ARANDU,3503109,6365,3373,1012,150,4535,4557,99.51722624533684,52.99293008641005,18.256087981146898
35,ARAPEÍ,3503158,2460,1337,437,0,1774,1800,98.55555555555556,54.349593495934954,17.764227642276424
36,ARARAQUARA,3503208,238339,122961,43899,4204,171064,180543,94.74972721179996,51.59080133759058,20.182597057132906
