,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,23252,9665,879,33796,31212,108.27886710239652,66.22426020335507,30.03047477998348
1,ADOLFO,3500204,3554,2703,1141,79,3923,3220,121.83229813664596,76.05514912774338,34.32751828925154
2,AGUAÍ,3500303,36648,18546,5202,1016,24764,22693,109.12616225267703,50.605762933857235,16.96681947173106
3,ÁGUAS DA PRATA,3500402,8221,4958,1878,194,7030,6843,102.7327195674412,60.308964846125775,25.203746502858532
4,ÁGUAS DE LINDÓIA,3500501,18808,11544,4418,416,16378,16106,101.68881162299763,61.37813696299447,25.70182900893237
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,3624,1387,136,5147,4909,104.84823793033205,59.32231134391881,24.930430512358814
6,ÁGUAS DE SÃO PEDRO,3500600,3521,2592,1254,58,3904,3598,108.5047248471373,73.61545015620563,37.262141437091735
7,AGUDOS,3500709,37401,21273,7740,872,29885,27483,108.73994833169596,56.878158338012355,23.02612229619529
8,ALAMBARI,3500758,6129,3323,908,171,4402,4054,108.5841144548594,54.21765377712514,17.604829499102625
9,ALFREDO MARCONDES,3500808,4184,2949,1164,83,4196,3648,115.02192982456141,70.48279158699809,29.804015296367115
10,ALTAIR,3500907,4186,1980,635,115,2730,2697,101.22358175750834,47.300525561395126,17.9168657429527
11,ALTINÓPOLIS,3501004,16203,9780,3951,385,14116,12515,112.7926488214143,60.3591927420848,26.76047645497747
12,ALTO ALEGRE,3501103,4088,2561,1049,100,3710,3531,105.06938544321723,62.64677103718199,28.10665362035225
13,ALUMÍNIO,3501152,18767,8607,2221,508,11336,11013,102.93289748479071,45.86241807427932,14.541482389300366
14,ÁLVARES FLORENCE,3501202,3647,2546,1099,75,3720,3785,98.28269484808455,69.81080340005484,32.19084178777077
