,Unnamed: 0,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,0,PROMISSÃO,3541604.0,40828.0,1532.0,65.0,0.0,1597.0,3.752326834525325,0.1592044675222886,2021-02-21,16.0,1.0,19.714285714285715,0.7142857142857143,90.31,47.0,0.0
1,1,PROMISSÃO,3541604.0,40828.0,1546.0,153.0,0.0,1699.0,3.786617027530127,0.3747428235524639,2021-02-22,23.0,0.0,19.428571428571427,0.5714285714285714,91.60,38.66666666666666,0.0
2,2,PROMISSÃO,3541604.0,40828.0,1583.0,155.0,0.0,1738.0,3.8772411090428136,0.3796414225531498,2021-02-23,20.0,0.0,19.142857142857142,0.4285714285714285,93.05,39.0,0.0
3,3,PROMISSÃO,3541604.0,40828.0,1586.0,26.0,0.0,1612.0,3.884589007543843,0.0636817870089154,2021-02-24,32.0,1.0,21.571428571428573,0.4285714285714285,94.98,51.5,0.0
4,4,PROMISSÃO,3541604.0,40828.0,1586.0,26.0,0.0,1612.0,3.884589007543843,0.0636817870089154,2021-02-25,24.0,1.0,22.714285714285715,0.4285714285714285,95.51,39.333333333333336,0.0
5,5,PROMISSÃO,3541604.0,40828.0,1590.0,26.0,0.0,1616.0,3.8943862055452136,0.0636817870089154,2021-02-26,40.0,2.0,24.857142857142858,0.7142857142857143,94.34,38.16666666666666,0.0
6,6,PROMISSÃO,3541604.0,40828.0,1606.0,26.0,0.0,1632.0,3.933574997550701,0.0636817870089154,2021-02-27,17.0,1.0,24.571428571428573,0.8571428571428571,96.28,42.5,0.0
7,7,PROMISSÃO,3541604.0,40828.0,1606.0,26.0,0.0,1632.0,3.933574997550701,0.0636817870089154,2021-02-28,31.0,1.0,26.714285714285715,0.8571428571428571,96.35,48.16666666666666,0.0
8,8,PROMISSÃO,3541604.0,40828.0,1799.0,26.0,0.0,1825.0,4.4062898011168805,0.0636817870089154,2021-03-01,49.0,2.0,30.428571428571427,1.1428571428571428,97.46,38.16666666666666,0.0
9,9,PROMISSÃO,3541604.0,40828.0,1896.0,442.0,0.0,2338.0,4.643871852650142,1.0825903791515628,2021-03-02,27.0,0.0,31.428571428571427,1.1428571428571428,95.64,39.66666666666666,0.0
10,10,PROMISSÃO,3541604.0,40828.0,1979.0,443.0,0.0,2422.0,4.847163711178603,1.0850396786519054,2021-03-03,20.0,0.0,29.714285714285715,1.0,94.64,39.16666666666666,0.0
11,11,PROMISSÃO,3541604.0,40828.0,2004.0,443.0,0.0,2447.0,4.908396198687175,1.0850396786519054,2021-03-04,44.0,0.0,32.57142857142857,0.8571428571428571,96.32,39.66666666666666,0.0
12,12,PROMISSÃO,3541604.0,40828.0,2087.0,602.0,0.0,2689.0,5.111688057215636,1.474478299206427,2021-03-05,53.0,1.0,34.42857142857143,0.7142857142857143,94.62,39.5,0.0
13,13,PROMISSÃO,3541604.0,40828.0,2104.0,676.0,0.0,2780.0,5.153326148721465,1.6557264622318018,2021-03-06,40.0,1.0,37.71428571428572,0.7142857142857143,96.42,44.0,0.0
14,14,PROMISSÃO,3541604.0,40828.0,2104.0,676.0,0.0,2780.0,5.153326148721465,1.6557264622318018,2021-03-07,42.0,0.0,39.285714285714285,0.5714285714285714,97.54,49.66666666666666,0.0
15,15,PROMISSÃO,3541604.0,40828.0,2155.0,752.0,0.0,2907.0,5.2782404232389535,1.8418732242578624,2021-03-08,61.0,0.0,41.0,0.2857142857142857,95.27,40.16666666666666,0.0
16,16,PROMISSÃO,3541604.0,40828.0,2279.0,789.0,0.0,3068.0,5.581953561281473,1.9324973057705488,2021-03-09,32.0,2.0,41.71428571428572,0.5714285714285714,98.95,40.5,0.0
17,17,PROMISSÃO,3541604.0,40828.0,2333.0,809.0,0.0,3142.0,5.714215734299991,1.981483295777408,2021-03-10,27.0,2.0,42.71428571428572,0.8571428571428571,98.26,40.333333333333336,0.0
18,18,PROMISSÃO,3541604.0,40828.0,2363.0,826.0,0.0,3189.0,5.787694719310277,2.023121387283237,2021-03-11,18.0,1.0,39.0,1.0,97.97,39.833333333333336,0.0
19,19,PROMISSÃO,3541604.0,40828.0,2397.0,845.0,0.0,3242.0,5.870970902321935,2.069658077789752,2021-03-12,40.0,0.0,37.142857142857146,0.8571428571428571,92.74,39.0,0.0
20,20,PROMISSÃO,3541604.0,40828.0,2397.0,845.0,0.0,3242.0,5.870970902321935,2.069658077789752,2021-03-13,24.0,0.0,34.857142857142854,0.7142857142857143,94.95,43.66666666666666,0.0
21,21,PROMISSÃO,3541604.0,40828.0,2397.0,845.0,0.0,3242.0,5.870970902321935,2.069658077789752,2021-03-14,11.0,1.0,30.428571428571427,0.8571428571428571,96.55,49.66666666666666,0.0
22,22,PROMISSÃO,3541604.0,40828.0,2466.0,943.0,0.0,3409.0,6.039972567845596,2.3096894288233565,2021-03-15,45.0,2.0,28.142857142857142,1.1428571428571428,97.33,42.0,0.0
23,23,PROMISSÃO,3541604.0,40828.0,2564.0,988.0,0.0,3552.0,6.280003918879201,2.419907906338787,2021-03-16,24.0,2.0,27.0,1.1428571428571428,99.33,41.16666666666666,0.0
24,24,PROMISSÃO,3541604.0,40828.0,2710.0,1059.0,0.0,3769.0,6.637601645929264,2.593808170863133,2021-03-17,23.0,2.0,26.428571428571427,1.1428571428571428,96.15,39.833333333333336,0.0
25,25,PROMISSÃO,3541604.0,40828.0,2757.0,1095.0,0.0,3852.0,6.752718722445381,2.6819829528754777,2021-03-18,45.0,1.0,30.285714285714285,1.1428571428571428,93.35,40.66666666666666,0.0
