,Unnamed: 0,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,0,OSASCO,3534401.0,699944.0,15832.0,71.0,0.0,15903.0,2.261895237333272,0.010143668636348,2021-02-21,73.0,6.0,74.42857142857143,5.571428571428571,68.39,42,0.0
1,1,OSASCO,3534401.0,699944.0,16677.0,403.0,0.0,17080.0,2.3826191809630486,0.0575760346542009,2021-02-22,87.0,7.0,75.71428571428571,6.0,70.26,35,0.0
2,2,OSASCO,3534401.0,699944.0,17463.0,405.0,0.0,17868.0,2.494913878824592,0.0578617717988867,2021-02-23,84.0,11.0,80.28571428571429,7.142857142857143,72.04,35,0.0
3,3,OSASCO,3534401.0,699944.0,17999.0,51.0,0.0,18050.0,2.571491433600402,0.0072862971894894,2021-02-24,82.0,4.0,83.28571428571429,6.714285714285714,73.29,43.18181818181818,0.0
4,4,OSASCO,3534401.0,699944.0,18314.0,51.0,0.0,18365.0,2.6164950338884254,0.0072862971894894,2021-02-25,107.0,8.0,87.85714285714286,7.428571428571429,74.11,38.75757575757576,0.0
5,5,OSASCO,3534401.0,699944.0,18716.0,53.0,0.0,18769.0,2.6739281999702835,0.0075720343341753,2021-02-26,92.0,2.0,89.57142857142857,6.714285714285714,75.15,37.96969696969697,0.0
6,6,OSASCO,3534401.0,699944.0,19470.0,53.0,0.0,19523.0,2.7816511035168525,0.0075720343341753,2021-02-27,96.0,4.0,88.71428571428571,6.0,76.85,38,0.0
7,7,OSASCO,3534401.0,699944.0,19470.0,53.0,0.0,19523.0,2.7816511035168525,0.0075720343341753,2021-02-28,142.0,17.0,98.57142857142856,7.571428571428571,78.19,42,0.0
8,8,OSASCO,3534401.0,699944.0,21216.0,53.0,0.0,21269.0,3.031099630827609,0.0075720343341753,2021-03-01,195.0,20.0,114.0,9.428571428571429,79.00,35,0.0
9,9,OSASCO,3534401.0,699944.0,22387.0,5463.0,0.0,27850.0,3.1983987290411804,0.7804910107094282,2021-03-02,147.0,17.0,123.0,10.285714285714286,80.17,38.90909090909091,0.0
10,10,OSASCO,3534401.0,699944.0,23509.0,5937.0,0.0,29446.0,3.358697267209948,0.8482107139999772,2021-03-03,145.0,13.0,132.0,11.571428571428571,81.49,36,0.0
11,11,OSASCO,3534401.0,699944.0,23538.0,5964.0,0.0,29502.0,3.362840455807893,0.8520681654532363,2021-03-04,176.0,12.0,141.85714285714286,12.142857142857142,82.02,38.84848484848485,0.0
12,12,OSASCO,3534401.0,699944.0,26678.0,6705.0,0.0,33383.0,3.8114477729646943,0.9579337775593476,2021-03-05,199.0,13.0,157.14285714285714,13.714285714285714,82.30,38.06060606060606,0.0
13,13,OSASCO,3534401.0,699944.0,27435.0,6809.0,0.0,34244.0,3.919599282228293,0.9727921090830124,2021-03-06,190.0,14.0,170.57142857142858,15.142857142857142,82.88,42,0.0
