,Unnamed: 0,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,0,POMPÉIA,3540002.0,22172.0,1107.0,60.0,0.0,1167.0,4.992783691141981,0.2706115821757171,2021-02-21,2.0,0.0,2.857142857142857,0.0,79.81,43.0,0.0
1,1,POMPÉIA,3540002.0,22172.0,1108.0,224.0,0.0,1332.0,4.997293884178243,1.0102832401226771,2021-02-22,2.0,1.0,2.7142857142857144,0.1428571428571428,80.29,37.25,0.0
2,2,POMPÉIA,3540002.0,22172.0,1114.0,234.0,0.0,1348.0,5.024355042395815,1.0553851704852968,2021-02-23,2.0,0.0,2.857142857142857,0.1428571428571428,80.77,38.25,0.0
3,3,POMPÉIA,3540002.0,22172.0,1119.0,37.0,0.0,1156.0,5.046906007577124,0.1668771423416922,2021-02-24,2.0,0.0,2.7142857142857144,0.1428571428571428,79.81,50.25,0.0
4,4,POMPÉIA,3540002.0,22172.0,1121.0,37.0,0.0,1158.0,5.055926393649648,0.1668771423416922,2021-02-25,3.0,0.0,2.857142857142857,0.1428571428571428,77.03,38.0,0.0
5,5,POMPÉIA,3540002.0,22172.0,1122.0,37.0,0.0,1159.0,5.060436586685911,0.1668771423416922,2021-02-26,3.0,0.0,2.2857142857142856,0.1428571428571428,77.88,36.75,0.0
6,6,POMPÉIA,3540002.0,22172.0,1122.0,37.0,0.0,1159.0,5.060436586685911,0.1668771423416922,2021-02-27,6.0,0.0,2.857142857142857,0.1428571428571428,80.77,39.75,0.0
7,7,POMPÉIA,3540002.0,22172.0,1122.0,37.0,0.0,1159.0,5.060436586685911,0.1668771423416922,2021-02-28,3.0,0.0,3.0,0.1428571428571428,81.34,47.25,0.0
8,8,POMPÉIA,3540002.0,22172.0,1137.0,37.0,0.0,1174.0,5.128089482229839,0.1668771423416922,2021-03-01,3.0,0.0,3.142857142857143,0.0,82.30,37.75,0.0
9,9,POMPÉIA,3540002.0,22172.0,1184.0,363.0,0.0,1547.0,5.340068554934152,1.6372000721630884,2021-03-02,1.0,0.0,3.0,0.0,85.17,39.75,0.0
10,10,POMPÉIA,3540002.0,22172.0,1225.0,381.0,0.0,1606.0,5.524986469420892,1.7183835468158035,2021-03-03,5.0,1.0,3.4285714285714284,0.1428571428571428,86.60,39.5,0.0
11,11,POMPÉIA,3540002.0,22172.0,1227.0,382.0,0.0,1609.0,5.534006855493415,1.7228937398520656,2021-03-04,0.0,0.0,3.0,0.1428571428571428,85.78,39.5,0.0
12,12,POMPÉIA,3540002.0,22172.0,1359.0,673.0,0.0,2032.0,6.129352336279992,3.0353599134042937,2021-03-05,3.0,0.0,3.0,0.1428571428571428,88.04,39.25,0.0
13,13,POMPÉIA,3540002.0,22172.0,1373.0,675.0,0.0,2048.0,6.19249503878766,3.044380299476818,2021-03-06,1.0,0.0,2.2857142857142856,0.1428571428571428,90.05,43.5,0.0
14,14,POMPÉIA,3540002.0,22172.0,1373.0,675.0,0.0,2048.0,6.19249503878766,3.044380299476818,2021-03-07,0.0,0.0,1.8571428571428568,0.1428571428571428,79.45,49.0,0.0
15,15,POMPÉIA,3540002.0,22172.0,1483.0,712.0,0.0,2195.0,6.688616272776475,3.2112574418185096,2021-03-08,3.0,0.0,1.8571428571428568,0.1428571428571428,91.93,39.0,0.0
16,16,POMPÉIA,3540002.0,22172.0,1538.0,744.0,0.0,2282.0,6.936676889770882,3.355583618978893,2021-03-09,2.0,0.0,2.0,0.1428571428571428,93.78,40.0,0.0
17,17,POMPÉIA,3540002.0,22172.0,1670.0,777.0,0.0,2447.0,7.532022370557461,3.504419989175537,2021-03-10,8.0,0.0,2.4285714285714284,0.0,95.15,39.75,0.0
18,18,POMPÉIA,3540002.0,22172.0,1745.0,781.0,0.0,2526.0,7.870286848277106,3.5224607613205845,2021-03-11,0.0,0.0,2.4285714285714284,0.0,95.20,39.0,0.0
19,19,POMPÉIA,3540002.0,22172.0,1794.0,789.0,0.0,2583.0,8.091286307053942,3.5585423056106804,2021-03-12,4.0,0.0,2.571428571428572,0.0,91.74,39.5,0.0
20,20,POMPÉIA,3540002.0,22172.0,1794.0,789.0,0.0,2583.0,8.091286307053942,3.5585423056106804,2021-03-13,2.0,0.0,2.7142857142857144,0.0,93.22,41.75,0.0
21,21,POMPÉIA,3540002.0,22172.0,1794.0,789.0,0.0,2583.0,8.091286307053942,3.5585423056106804,2021-03-14,1.0,0.0,2.857142857142857,0.0,91.60,47.25,0.0
22,22,POMPÉIA,3540002.0,22172.0,1798.0,833.0,0.0,2631.0,8.109327079198989,3.7569907992062057,2021-03-15,2.0,0.0,2.7142857142857144,0.0,96.96,39.75,0.0
23,23,POMPÉIA,3540002.0,22172.0,1948.0,840.0,0.0,2788.0,8.785856034638282,3.78856215046004,2021-03-16,1.0,0.0,2.571428571428572,0.0,96.07,41.0,0.0
24,24,POMPÉIA,3540002.0,22172.0,1961.0,842.0,0.0,2803.0,8.844488544109689,3.797582536532564,2021-03-17,2.0,0.0,1.7142857142857142,0.0,96.96,40.25,0.0
25,25,POMPÉIA,3540002.0,22172.0,2058.0,843.0,0.0,2901.0,9.2819772686271,3.8020927295688254,2021-03-18,4.0,0.0,2.2857142857142856,0.0,94.83,40.0,0.0
26,26,POMPÉIA,3540002.0,22172.0,2296.0,844.0,0.0,3140.0,10.35540321125744,3.8066029226050873,2021-03-19,2.0,0.0,2.0,0.0,95.71,39.5,0.0
27,27,POMPÉIA,3540002.0,22172.0,2297.0,844.0,0.0,3141.0,10.359913404293705,3.8066029226050873,2021-03-20,3.0,0.0,2.142857142857143,0.0,92.70,43.0,0.0
28,28,POMPÉIA,3540002.0,22172.0,2297.0,0.0,0.0,2297.0,10.359913404293705,0.0,2021-03-21,2.0,0.0,2.2857142857142856,0.0,95.76,48.25,0.0
29,29,POMPÉIA,3540002.0,22172.0,2404.0,0.0,0.0,2404.0,10.842504059173733,0.0,2021-03-22,2.0,0.0,2.2857142857142856,0.0,95.73,39.5,0.0
30,30,POMPÉIA,3540002.0,22172.0,2440.0,845.0,0.0,3285.0,11.004871008479162,3.811113115641349,2021-03-23,3.0,0.0,2.571428571428572,0.0,96.65,40.75,0.0
31,31,POMPÉIA,3540002.0,22172.0,2465.0,845.0,0.0,3310.0,11.117625834385713,3.811113115641349,2021-03-24,1.0,0.0,2.4285714285714284,0.0,96.23,39.75,0.0
32,32,POMPÉIA,3540002.0,22172.0,2493.0,845.0,0.0,3338.0,11.243911239401044,3.811113115641349,2021-03-25,1.0,0.0,2.0,0.0,96.67,40.0,0.0
33,33,POMPÉIA,3540002.0,22172.0,2800.0,864.0,0.0,3664.0,12.628540501533466,3.896806783330327,2021-03-26,14.0,0.0,3.7142857142857135,0.0,96.23,39.0,0.0
