,Unnamed: 0,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito
73,73,Santa Adélia,3545605,2020-08-16T00:00:00Z,0.05263157894736842,0.0
74,74,Santa Adélia,3545605,2020-08-17T00:00:00Z,0.0,0.0
75,75,Santa Adélia,3545605,2020-08-18T00:00:00Z,0.10526315789473684,0.0
76,76,Santa Adélia,3545605,2020-08-19T00:00:00Z,0.05263157894736842,0.0
77,77,Santa Adélia,3545605,2020-08-20T00:00:00Z,0.15789473684210525,0.0
78,78,Santa Adélia,3545605,2020-08-21T00:00:00Z,0.15789473684210525,0.0
79,79,Santa Adélia,3545605,2020-08-22T00:00:00Z,0.15789473684210525,0.0
80,80,Santa Adélia,3545605,2020-08-23T00:00:00Z,0.05263157894736842,0.0
81,81,Santa Adélia,3545605,2020-08-24T00:00:00Z,0.10526315789473684,0.0
82,82,Santa Adélia,3545605,2020-08-25T00:00:00Z,0.10526315789473684,0.0
83,83,Santa Adélia,3545605,2020-08-26T00:00:00Z,0.10526315789473684,0.0
84,84,Santa Adélia,3545605,2020-08-27T00:00:00Z,0.10526315789473684,0.0
85,85,Santa Adélia,3545605,2020-08-28T00:00:00Z,0.10526315789473684,0.0
86,86,Santa Adélia,3545605,2020-08-29T00:00:00Z,0.15789473684210525,0.0
87,87,Santa Adélia,3545605,2020-08-30T00:00:00Z,0.15789473684210525,0.0
88,88,Santa Adélia,3545605,2020-09-01T00:00:00Z,0.10526315789473684,0.0
89,89,Santa Adélia,3545605,2020-09-02T00:00:00Z,0.05263157894736842,0.0
90,90,Santa Adélia,3545605,2020-09-03T00:00:00Z,0.15789473684210525,0.25
91,91,Santa Adélia,3545605,2020-09-04T00:00:00Z,0.15789473684210525,0.0
92,92,Santa Adélia,3545605,2020-09-05T00:00:00Z,0.05263157894736842,0.0
93,93,Santa Adélia,3545605,2020-09-06T00:00:00Z,0.15789473684210525,0.0
94,94,Santa Adélia,3545605,2020-09-07T00:00:00Z,0.10526315789473684,0.0
95,95,Santa Adélia,3545605,2020-09-08T00:00:00Z,0.05263157894736842,0.0
96,96,Santa Adélia,3545605,2020-09-09T00:00:00Z,0.10526315789473684,0.0
97,97,Santa Adélia,3545605,2020-09-10T00:00:00Z,0.10526315789473684,0.0
98,98,Santa Adélia,3545605,2020-09-11T00:00:00Z,0.10526315789473684,0.0
99,99,Santa Adélia,3545605,2020-09-12T00:00:00Z,0.10526315789473684,0.0
100,100,Santa Adélia,3545605,2020-09-13T00:00:00Z,0.2631578947368421,0.0
101,101,Santa Adélia,3545605,2020-09-14T00:00:00Z,0.05263157894736842,0.0
102,102,Santa Adélia,3545605,2020-09-15T00:00:00Z,0.05263157894736842,0.0
103,103,Santa Adélia,3545605,2020-09-16T00:00:00Z,0.10526315789473684,0.0
104,104,Santa Adélia,3545605,2020-09-17T00:00:00Z,0.10526315789473684,0.0
