,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,8027,4746,0,12773,12678,100.7493295472472,22.86178120816838,13.517131383327163
1,ADOLFO,3500204,3554,880,538,0,1418,1216,116.61184210526316,24.760832864378166,15.137872819358469
2,AGUAÍ,3500303,36648,4754,2938,0,7692,7548,101.90779014308427,12.97205850251037,8.016808557083605
3,ÁGUAS DA PRATA,3500402,8221,1892,949,0,2841,2811,101.06723585912488,23.014231845274296,11.543607833596885
4,ÁGUAS DE LINDÓIA,3500501,18808,3546,1934,0,5480,5390,101.66975881261595,18.853679285410465,10.28285835814547
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,1026,664,0,1690,1680,100.59523809523809,16.794892781142575,10.869209363234573
6,ÁGUAS DE SÃO PEDRO,3500600,3521,1132,662,0,1794,1705,105.2199413489736,32.14995739846634,18.801476853166715
7,AGUDOS,3500709,37401,6883,3866,0,10749,11735,91.59778440562421,18.40325124996658,10.336622015454132
8,ALAMBARI,3500758,6129,900,419,0,1319,1289,102.32738557020946,14.684287812041116,6.836351770272476
9,ALFREDO MARCONDES,3500808,4184,1162,650,0,1812,1698,106.71378091872792,27.772466539196937,15.535372848948375
10,ALTAIR,3500907,4186,530,390,0,920,952,96.63865546218487,12.661251791686572,9.316770186335404
11,ALTINÓPOLIS,3501004,16203,3201,1883,0,5084,5003,101.61902858285028,19.75560081466395,11.621304696661113
12,ALTO ALEGRE,3501103,4088,999,613,0,1612,1569,102.74059910771192,24.437377690802347,14.995107632093935
13,ALUMÍNIO,3501152,18767,2088,1162,0,3250,3269,99.41878250229428,11.125912505994565,6.1917195076464004
14,ÁLVARES FLORENCE,3501202,3647,944,500,0,1444,1410,102.41134751773049,25.884288456265423,13.709898546750754
15,ÁLVARES MACHADO,3501301,24998,4239,2440,0,6679,6634,100.67832378655413,16.95735658852708,9.760780862468996
16,ÁLVARO DE CARVALHO,3501400,5274,594,367,0,961,994,96.68008048289738,11.262798634812286,6.958665149791429
17,ALVINLÂNDIA,3501509,3237,555,305,0,860,796,108.04020100502511,17.145505097312327,9.422304603027493
18,AMERICANA,3501608,242018,39501,22013,0,61514,63025,97.60253867512891,16.321513275872043,9.095604459172458
19,AMÉRICO BRASILIENSE,3501707,41032,5128,3133,0,8261,8435,97.93716656787196,12.497562877753948,7.635503996880484
20,AMÉRICO DE CAMPOS,3501806,5981,1223,689,0,1912,1915,99.84334203655352,20.448085604413976,11.519812740344424
21,AMPARO,3501905,72677,12767,7932,0,20699,20942,98.83965237322127,17.566768028399633,10.914044333145286
22,ANALÂNDIA,3502002,5056,785,496,0,1281,1285,99.6887159533074,15.526107594936708,9.81012658227848
23,ANDRADINA,3502101,57202,11301,6663,0,17964,18195,98.73042044517724,19.75630222719485,11.648194119086746
24,ANGATUBA,3502200,25479,3804,1800,0,5604,5673,98.783712321523,14.929942305427998,7.0646414694454265
25,ANHEMBI,3502309,6819,986,428,0,1414,1402,100.85592011412268,14.459598181551547,6.276580143716087
26,ANHUMAS,3502408,4144,771,466,0,1237,1103,112.14868540344516,18.605212355212355,11.245173745173744
27,APARECIDA,3502507,36185,5722,3194,0,8916,8951,99.6089822366216,15.813182257841646,8.826861959375432
28,APARECIDA D'OESTE,3502606,4158,1137,708,0,1845,1648,111.95388349514563,27.344877344877343,17.027417027417027
29,APIAÍ,3502705,24226,3768,2191,0,5959,5539,107.58259613648673,15.553537521670933,9.044002311566086
30,ARAÇARIGUAMA,3502754,22860,1988,1350,0,3338,3280,101.76829268292681,8.696412948381452,5.905511811023622
31,ARAÇATUBA,3502804,198129,38266,23494,0,61760,61706,100.08751174926263,19.313679471455465,11.857930943980941
32,ARAÇOIABA DA SERRA,3502903,34776,4456,2612,0,7068,7601,92.9877647677937,12.813434552564987,7.510927076144467
33,ARAMINA,3503000,5655,958,556,0,1514,1442,104.99306518723995,16.940760389036253,9.832007073386384
34,ARANDU,3503109,6365,1072,577,0,1649,1535,107.42671009771986,16.842105263157894,9.065200314218382
35,ARAPEÍ,3503158,2460,478,299,0,777,691,112.44573082489147,19.43089430894309,12.154471544715447
36,ARARAQUARA,3503208,238339,45970,27284,0,73254,71901,101.88175407852465,19.287653300550897,11.4475599880842
37,ARARAS,3503307,135506,23121,13680,0,36801,34923,105.3775448844601,17.062713090195267,10.095493926468201
38,ARCO-ÍRIS,3503356,1773,548,419,0,967,973,99.38335046248716,30.90806542583192,23.632261703327693
39,AREALVA,3503406,8613,1754,950,0,2704,2812,96.15931721194879,20.3645651921514,11.029838616045511
