,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,8263,5215,0,13478,13078,103.05857164704084,23.533935233972258,14.852895104098431
1,ADOLFO,3500204,3554,890,538,0,1428,1256,113.69426751592357,25.042205965109737,15.137872819358469
2,AGUAÍ,3500303,36648,4960,2979,0,7939,7868,100.9023894255211,13.534162846540058,8.1286836935167
3,ÁGUAS DA PRATA,3500402,8221,1895,950,0,2845,2901,98.0696311616684,23.050723756234035,11.555771803916798
4,ÁGUAS DE LINDÓIA,3500501,18808,3547,2072,0,5619,5580,100.6989247311828,18.858996171841767,11.016588685665674
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,1061,672,0,1733,1740,99.59770114942529,17.36781797348175,11.000163692912098
6,ÁGUAS DE SÃO PEDRO,3500600,3521,1162,663,0,1825,1735,105.18731988472622,33.00198807157058,18.829877875603522
7,AGUDOS,3500709,37401,6970,4001,0,10971,12075,90.85714285714286,18.635865351193818,10.697574931151573
8,ALAMBARI,3500758,6129,900,419,0,1319,1339,98.50634802091113,14.684287812041116,6.836351770272476
9,ALFREDO MARCONDES,3500808,4184,1163,660,0,1823,1748,104.29061784897024,27.796367112810707,15.77437858508604
10,ALTAIR,3500907,4186,593,421,0,1014,982,103.25865580448065,14.166268514094602,10.057333970377448
11,ALTINÓPOLIS,3501004,16203,3201,2045,0,5246,5173,101.41117340034795,19.75560081466395,12.621119545763129
12,ALTO ALEGRE,3501103,4088,1002,617,0,1619,1619,100.0,24.510763209393346,15.092954990215265
13,ALUMÍNIO,3501152,18767,2182,1170,0,3352,3409,98.32795541214432,11.626791708850643,6.234347524910747
14,ÁLVARES FLORENCE,3501202,3647,954,503,0,1457,1460,99.79452054794521,26.15848642720044,13.792157938031258
15,ÁLVARES MACHADO,3501301,24998,4267,2484,0,6751,6874,98.21064882164679,17.06936554924394,9.936794943595489
16,ÁLVARO DE CARVALHO,3501400,5274,599,373,0,972,1024,94.921875,11.357603337125521,7.072430792567311
17,ALVINLÂNDIA,3501509,3237,590,305,0,895,826,108.35351089588379,18.226753166512204,9.422304603027493
18,AMERICANA,3501608,242018,41104,23044,0,64148,65545,97.86863986574109,16.983860704575694,9.52160583097125
19,AMÉRICO BRASILIENSE,3501707,41032,5270,3254,0,8524,8725,97.69627507163324,12.843634236693314,7.930395788652758
20,AMÉRICO DE CAMPOS,3501806,5981,1281,690,0,1971,1985,99.29471032745592,21.41782310650393,11.536532352449424
21,AMPARO,3501905,72677,13182,8083,0,21265,21682,98.07674568766718,18.137787745779267,11.121812953203902
22,ANALÂNDIA,3502002,5056,813,496,0,1309,1335,98.05243445692884,16.07990506329114,9.81012658227848
23,ANDRADINA,3502101,57202,11700,6962,0,18662,18805,99.2395639457591,20.453830285654348,12.17090311527569
24,ANGATUBA,3502200,25479,4032,1943,0,5975,5903,101.21971878705742,15.824796891557755,7.6258879861847015
25,ANHEMBI,3502309,6819,1017,458,0,1475,1462,100.8891928864569,14.91421029476463,6.716527350051327
26,ANHUMAS,3502408,4144,781,472,0,1253,1143,109.62379702537184,18.846525096525095,11.389961389961389
27,APARECIDA,3502507,36185,5958,3354,0,9312,9331,99.79637766584504,16.465386209755422,9.269034130164433
28,APARECIDA D'OESTE,3502606,4158,1137,731,0,1868,1698,110.01177856301531,27.344877344877343,17.58056758056758
29,APIAÍ,3502705,24226,3783,2196,0,5979,5759,103.82010765757943,15.615454470403698,9.064641294477008
30,ARAÇARIGUAMA,3502754,22860,2156,1368,0,3524,3430,102.74052478134111,9.431321084864392,5.984251968503937
31,ARAÇATUBA,3502804,198129,39186,24078,0,63264,63806,99.15055010500579,19.77802340899111,12.15268839998183
32,ARAÇOIABA DA SERRA,3502903,34776,4584,2689,0,7273,7901,92.0516390330338,13.18150448585231,7.732344145387623
33,ARAMINA,3503000,5655,987,575,0,1562,1502,103.99467376830893,17.453580901856764,10.167992926613616
34,ARANDU,3503109,6365,1105,587,0,1692,1595,106.08150470219435,17.360565593087195,9.222309505106049
35,ARAPEÍ,3503158,2460,478,299,0,777,711,109.28270042194093,19.43089430894309,12.154471544715447
36,ARARAQUARA,3503208,238339,46695,27793,0,74488,74281,100.27867153107792,19.59184187229115,11.661121343968045
37,ARARAS,3503307,135506,23666,13702,0,37368,36253,103.07560753592806,17.464909302909096,10.1117293699172
38,ARCO-ÍRIS,3503356,1773,562,428,0,990,993,99.69788519637463,31.697687535250985,24.139875916525664
39,AREALVA,3503406,8613,1785,988,0,2773,2902,95.55478980013784,20.72448624172762,11.471032160687333
40,AREIAS,3503505,3896,668,361,0,1029,1060,97.0754716981132,17.145790554414784,9.265913757700206
41,AREIÓPOLIS,3503604,11158,1214,659,0,1873,2049,91.41044411908248,10.88008603692418,5.90607635777021
42,ARIRANHA,3503703,9761,1632,1005,0,2637,2490,105.90361445783132,16.719598401803093,10.296076221698597
43,ARTUR NOGUEIRA,3503802,55340,7218,3623,0,10841,11342,95.5827896314583,13.043006866642573,6.54680159016986
44,ARUJÁ,3503901,91157,11149,5798,0,16947,17488,96.90645013723696,12.230547297519664,6.360455039108351
45,ASPÁSIA,3503950,1818,440,257,0,697,641,108.73634945397816,24.202420242024203,14.136413641364138
46,ASSIS,3504008,105087,19913,11691,0,31604,33045,95.63927977001059,18.949061254008583,11.125067800964915
47,ATIBAIA,3504107,144088,25181,14053,0,39234,41640,94.22190201729107,17.476125700960523,9.753067569818445
48,AURIFLAMA,3504206,15253,2778,1560,0,4338,4830,89.81366459627328,18.212810594637123,10.227496230249788
49,AVAÍ,3504305,5436,1218,817,0,2035,2123,95.85492227979275,22.40618101545254,15.029433406916851
50,AVANHANDAVA,3504404,13859,1508,748,0,2256,2238,100.80428954423593,10.881015946316474,5.397214806263078
51,AVARÉ,3504503,91232,16002,8778,0,24780,25966,95.43248863898944,17.539898281304804,9.6216239915819
52,BADY BASSITT,3504602,17761,3064,1838,0,4902,4653,105.35138620245004,17.25128089634593,10.348516412364168
53,BALBINOS,3504701,5934,361,133,0,494,502,98.40637450199203,6.083586113919784,2.2413211998651836
54,BÁLSAMO,3504800,9139,1918,1212,0,3130,2877,108.79388251651025,20.98697888171572,13.26184484079221
55,BANANAL,3504909,10993,2040,1310,0,3350,3361,99.67271645343646,18.557263713272082,11.916674247248249
56,BARÃO DE ANTONINA,3505005,3498,689,411,0,1100,1116,98.56630824372759,19.696969696969695,11.749571183533448
57,BARBOSA,3505104,7468,1148,695,0,1843,1850,99.62162162162163,15.372254954472417,9.30637386181039
58,BARIRI,3505203,35558,6423,3627,0,10050,10195,98.57773418342325,18.06344563811238,10.200236233758929
59,BARRA BONITA,3505302,36126,7109,4083,0,11192,11043,101.34927103142262,19.678348004207496,11.302109284172063
60,BARRA DO CHAPÉU,3505351,5760,725,376,0,1101,1288,85.48136645962732,12.586805555555555,6.527777777777779
61,BARRA DO TURVO,3505401,7632,1931,1213,0,3144,3305,95.12859304084719,25.301362683438157,15.893605870020963
62,BARRETOS,3505500,122833,24699,14369,0,39068,42158,92.67043028606669,20.107788623578355,11.697996466747536
63,BARRINHA,3505609,33180,3115,1862,0,4977,5395,92.25208526413346,9.388185654008439,5.6118143459915615
64,BARUERI,3505708,276982,36529,22193,0,58722,58065,101.13149057091191,13.188221617289212,8.012434020983312
65,BASTOS,3505807,20953,3802,1995,0,5797,5523,104.96107188122397,18.14537297761657,9.521309597670978
66,BATATAIS,3505906,62980,10838,6060,0,16898,17654,95.7176843774782,17.20863766275008,9.622102254684027
67,BAURU,3506003,379297,71457,41391,0,112848,125366,90.01483655855654,18.839326438121052,10.912556650856716
68,BEBEDOURO,3506102,77555,14848,8834,0,23682,25564,92.63808480675951,19.145122816066017,11.390626007349622
69,BENTO DE ABREU,3506201,3005,419,257,0,676,683,98.97510980966325,13.94342762063228,8.552412645590682
70,BERNARDINO DE CAMPOS,3506300,11158,2406,1421,0,3827,3698,103.48837209302326,21.563004122602617,12.73525721455458
71,BERTIOGA,3506359,64723,7610,4317,0,11927,11816,100.93940419769805,11.757798618729046,6.669962764395965
72,BILAC,3506409,8117,1795,1052,0,2847,2686,105.994043186895,22.114081557225575,12.96045336947148
73,BIRIGUI,3506508,124883,17341,9561,0,26902,31959,84.17660127037767,13.885797106091303,7.655965984161176
74,BIRITIBA MIRIM,3506607,32936,4228,2555,0,6783,6460,105.0,12.83701724556716,7.757469030847705
75,BOA ESPERANÇA DO SUL,3506706,15018,1943,1172,0,3115,3041,102.43341006247945,12.937807963776802,7.803968571048076
76,BOCAINA,3506805,12452,1917,1044,0,2961,2815,105.18650088809946,15.395117250240926,8.384195309990362
77,BOFETE,3506904,11921,1996,1046,0,3042,2953,103.013884185574,16.74356178172972,8.774431675195034
78,BOITUVA,3507001,62170,7842,4314,0,12156,11955,101.68130489335006,12.613800868586134,6.939038121280361
79,BOM JESUS DOS PERDÕES,3507100,25985,3098,1462,0,4560,4753,95.93940669051125,11.922262843948433,5.626322878583799
80,BOM SUCESSO DE ITARARÉ,3507159,3984,374,182,0,556,660,84.24242424242424,9.387550200803213,4.568273092369478
81,BORÁ,3507209,838,187,123,0,310,300,103.33333333333334,22.315035799522672,14.677804295942721
82,BORACÉIA,3507308,4868,853,505,0,1358,1347,100.81662954714179,17.522596548890714,10.373870172555465
83,BORBOREMA,3507407,16164,2914,1672,0,4586,4536,101.10229276895943,18.027715911902995,10.34397426379609
84,BOREBI,3507456,2683,394,182,0,576,662,87.00906344410876,14.68505404398062,6.783451360417443
85,BOTUCATU,3507506,148130,29635,18000,0,47635,49288,96.64624249310177,20.00607574427867,12.151488557348275
86,BRAGANÇA PAULISTA,3507605,170533,30086,18652,0,48738,46831,104.07208900087548,17.642333155459646,10.93747251265151
87,BRAÚNA,3507704,5741,1087,682,0,1769,1778,99.49381327334083,18.933983626545896,11.879463508099635
88,BREJO ALEGRE,3507753,2889,503,358,0,861,886,97.17832957110609,17.410868812737974,12.391831083419868
89,BRODOWSKI,3507803,25277,3880,2401,0,6281,6476,96.98888202594193,15.349922854769158,9.498753807809472
90,BROTAS,3507902,24636,3873,2132,0,6005,5909,101.62464037908276,15.720896249391133,8.654002273096282
91,BURI,3508009,19965,2454,1320,0,3774,4074,92.63622974963181,12.291510142749813,6.6115702479338845
92,BURITAMA,3508108,17281,3118,1792,0,4910,4647,105.65956531095331,18.042937330015622,10.36977026792431
93,BURITIZAL,3508207,4514,899,496,0,1395,1380,101.08695652173914,19.91581745680106,10.988037217545415
94,CABRÁLIA PAULISTA,3508306,4243,759,436,0,1195,1172,101.96245733788396,17.888286589677115,10.275748291303323
95,CABREÚVA,3508405,50429,5042,2311,0,7353,8221,89.44167376231601,9.99821531261774,4.582680600448155
96,CAÇAPAVA,3508504,95018,14081,8599,0,22680,24959,90.86902520133017,14.81929739628281,9.049864236249974
97,CACHOEIRA PAULISTA,3508603,33581,5525,3190,0,8715,9471,92.01773835920177,16.45275602275096,9.499419314493315
98,CACONDE,3508702,19009,3375,1943,0,5318,5528,96.20115774240232,17.754747751065285,10.22147403861329
99,CAFELÂNDIA,3508801,17843,3132,1825,0,4957,5341,92.8103351432316,17.553102056829008,10.22810065571933
100,CAIABU,3508900,4193,759,428,0,1187,1257,94.43118536197295,18.10159790126401,10.207488671595517
101,CAIEIRAS,3509007,102775,12804,6823,0,19627,19303,101.67849557063668,12.458282656288008,6.6387740209194845
102,CAIUÁ,3509106,5946,948,608,0,1556,1767,88.05885681946802,15.943491422805248,10.225361587621931
103,CAJAMAR,3509205,77934,8061,3360,0,11421,12045,94.81942714819426,10.34336746477789,4.311340364924167
104,CAJATI,3509254,28494,3591,2222,0,5813,6152,94.48959687906373,12.602653190145293,7.798132940268126
105,CAJOBI,3509304,10596,1938,1083,0,3021,3067,98.50016302575807,18.28992072480181,10.22083805209513
106,CAJURU,3509403,26393,4227,2598,0,6825,7294,93.57005758157389,16.015610199674157,9.843519114916834
107,CAMPINA DO MONTE ALEGRE,3509452,6057,1014,519,0,1533,1431,107.1278825995807,16.74096087171867,8.568598315998019
108,CAMPINAS,3509502,1213792,198744,123513,0,322257,355254,90.71171612423787,16.373810339827582,10.175796182541983
109,CAMPO LIMPO PAULISTA,3509601,85541,10176,5028,0,15204,16961,89.6409409822534,11.896049847441578,5.877883120375025
110,CAMPOS DO JORDÃO,3509700,52405,7275,4093,0,11368,11164,101.82730204227875,13.882263142829881,7.810323442419616
111,CAMPOS NOVOS PAULISTA,3509809,4997,837,503,0,1340,1313,102.05635948210205,16.75005003001801,10.066039623774264
112,CANANÉIA,3509908,12541,2210,1216,0,3426,3493,98.08187804179788,17.622199186667732,9.696196475560162
113,CANAS,3509957,5204,640,320,0,960,950,101.05263157894737,12.298232129131437,6.149116064565718
114,CÂNDIDO MOTA,3510005,31346,5398,3095,0,8493,8416,100.91492395437263,17.22069801569578,9.873668091622536
115,CÂNDIDO RODRIGUES,3510104,2799,677,383,0,1060,1028,103.11284046692606,24.187209717756343,13.683458377992139
116,CANITAR,3510153,5292,593,341,0,934,890,104.9438202247191,11.205593348450492,6.443688586545729
117,CAPÃO BONITO,3510203,47118,6782,3805,0,10587,10614,99.74561899378179,14.39364998514368,8.075470096353834
118,CAPELA DO ALTO,3510302,20985,2766,1391,0,4157,3889,106.89123167909489,13.18084345961401,6.628544198236836
119,CAPIVARI,3510401,56379,7681,4205,0,11886,12207,97.37036126812485,13.623867042693202,7.458450841625427
120,CARAGUATATUBA,3510500,123389,15257,9275,0,24532,31569,77.70914504735659,12.364959599315984,7.516877517444829
121,CARAPICUÍBA,3510609,403183,45368,23597,0,68965,74505,92.56425743238708,11.252458561000836,5.852677320224315
122,CARDOSO,3510708,12349,2532,1483,0,4015,3935,102.03303684879288,20.503684508867114,12.009069560288282
123,CASA BRANCA,3510807,30520,5155,2971,0,8126,9492,85.60893383902234,16.890563564875492,9.734600262123198
124,CÁSSIA DOS COQUEIROS,3510906,2505,597,310,0,907,831,109.14560770156439,23.832335329341316,12.375249500998004
125,CASTILHO,3511003,21267,3950,1841,0,5791,5867,98.70461905573546,18.57337659284337,8.656604128461936
126,CATANDUVA,3511102,122497,26358,17278,0,43636,43694,99.86725866251659,21.517261647224014,14.104835220454378
127,CATIGUÁ,3511201,7855,1278,716,0,1994,1833,108.7834151663939,16.26989178866964,9.115213239974539
128,CEDRAL,3511300,9346,2089,1197,0,3286,3537,92.90359061351427,22.351808260218277,12.807618232398887
129,CERQUEIRA CÉSAR,3511409,20191,3269,1857,0,5126,5062,101.26432240221257,16.190381853300977,9.1971670546283
130,CERQUILHO,3511508,49802,6893,3637,0,10530,11053,95.26825296299647,13.840809606039919,7.302919561463394
131,CESÁRIO LANGE,3511607,18375,2426,1421,0,3847,3826,100.5488761108207,13.202721088435373,7.733333333333333
132,CHARQUEADA,3511706,17367,2259,1436,0,3695,3708,99.64940668824164,13.007427880462947,8.268555306040192
133,CLEMENTINA,3511904,8757,1147,644,0,1791,1661,107.8266104756171,13.098092954208063,7.3541167066346915
134,COLINA,3512001,18535,3234,1747,0,4981,5044,98.75099127676448,17.448071216617212,9.425411383868356
135,COLÔMBIA,3512100,6216,1070,659,0,1729,1720,100.5232558139535,17.213642213642213,10.601673101673102
136,CONCHAL,3512209,28273,3689,2141,0,5830,5680,102.64084507042253,13.04778410497648,7.572595762741839
137,CONCHAS,3512308,18019,3163,1627,0,4790,4991,95.97275095171308,17.553693323713855,9.02935789999445
138,CORDEIRÓPOLIS,3512407,24826,3291,1698,0,4989,6069,82.20464656450815,13.256263594618545,6.839603641343753
139,COROADOS,3512506,6129,929,525,0,1454,1403,103.63506771204563,15.157448197095775,8.565834557023983
140,CORONEL MACEDO,3512605,4635,916,552,0,1468,1323,110.95993953136811,19.76267529665588,11.909385113268609
141,CORUMBATAÍ,3512704,4064,681,471,0,1152,1096,105.1094890510949,16.75688976377953,11.58956692913386
142,COSMÓPOLIS,3512803,73474,7859,4054,0,11913,12352,96.44591968911918,10.69630073223181,5.517598061899447
143,COSMORAMA,3512902,7298,1646,1013,0,2659,2566,103.62431800467652,22.554124417648673,13.880515209646479
144,COTIA,3513009,253608,29505,13489,0,42994,48596,88.47230224709853,11.634096716191918,5.318838522444087
145,CRAVINHOS,3513108,35579,4979,2731,0,7710,8330,92.55702280912365,13.994210067736587,7.675876219118019
146,CRISTAIS PAULISTA,3513207,8718,1353,786,0,2139,2028,105.47337278106508,15.519614590502409,9.015829318651067
147,CRUZÁLIA,3513306,2046,487,233,0,720,660,109.09090909090908,23.80254154447703,11.388074291300097
148,CRUZEIRO,3513405,82571,13315,7259,0,20574,21085,97.57647616789187,16.12551622240254,8.791222099768683
149,CUBATÃO,3513504,131626,15506,8521,0,24027,25543,94.06491015150922,11.78034734778843,6.473645024539225
150,CUNHA,3513603,21459,3878,2168,0,6046,5970,101.27303182579564,18.07167155971853,10.102987091663172
151,DESCALVADO,3513702,33910,6837,4386,0,11223,9977,112.48872406535031,20.162194043055145,12.93423768799764
152,DIADEMA,3513801,426757,51472,23807,0,75279,81130,92.78811783557254,12.061196418570756,5.578584534055681
153,DIRCE REIS,3513850,1799,404,251,0,655,652,100.46012269938652,22.45692051139522,13.952195664257921
154,DIVINOLÂNDIA,3513900,11086,2758,1759,0,4517,4251,106.25735121147966,24.878224788020926,15.866859101569547
155,DOBRADA,3514007,9010,1013,482,0,1495,1609,92.91485394655066,11.243063263041066,5.349611542730299
156,DOIS CÓRREGOS,3514106,27512,4355,2534,0,6889,6889,100.0,15.829456237278277,9.210526315789473
157,DOLCINÓPOLIS,3514205,2112,522,314,0,836,801,104.36953807740326,24.71590909090909,14.867424242424242
158,DOURADO,3514304,8878,1790,1060,0,2850,2797,101.894887379335,20.162198693399414,11.93962604190133
159,DRACENA,3514403,47043,10582,6061,0,16643,17709,93.98046191202214,22.494313712985992,12.883957230618796
160,DUARTINA,3514502,12433,2981,1771,0,4752,4081,116.44204851752022,23.976514115659935,14.244349714469557
161,DUMONT,3514601,10023,1331,721,0,2052,1929,106.37636080870918,13.279457248328844,7.193455053377232
162,ECHAPORÃ,3514700,6064,1290,807,0,2097,2272,92.2975352112676,21.273087071240106,13.308047493403693
163,ELDORADO,3514809,15544,3952,2180,0,6132,5986,102.4390243902439,25.424601132269686,14.024704065877508
164,ELIAS FAUSTO,3514908,17936,2298,1256,0,3554,3574,99.44040290990486,12.812221231043711,7.002676181980375
165,ELISIÁRIO,3514924,3697,606,391,0,997,916,108.84279475982532,16.391668920746554,10.576142818501488
166,EMBAÚBA,3514957,2449,476,276,0,752,759,99.07773386034255,19.436504695794202,11.269906084115966
167,EMBU DAS ARTES,3515004,276535,28846,14404,0,43250,43248,100.00462449130596,10.431229319977579,5.20874392029942
168,EMBU-GUAÇU,3515103,69901,7498,5112,0,12610,14949,84.35346845942873,10.726599047223932,7.31320009728044
169,EMILIANÓPOLIS,3515129,3227,686,443,0,1129,1001,112.7872127872128,21.25813449023861,13.72792066935234
170,ENGENHEIRO COELHO,3515152,21249,2095,1242,0,3337,3220,103.63354037267081,9.859287495882159,5.844980940279543
171,ESPÍRITO SANTO DO PINHAL,3515186,44471,8539,4989,0,13528,13528,100.0,19.20127723685098,11.218546918216365
172,ESPÍRITO SANTO DO TURVO,3515194,4878,636,334,0,970,908,106.82819383259911,13.038130381303814,6.847068470684707
173,ESTRELA D'OESTE,3515202,8419,1837,1137,0,2974,2826,105.23708421797593,21.819693550302887,13.50516688442808
174,ESTRELA DO NORTE,3515301,2770,488,269,0,757,650,116.46153846153847,17.617328519855597,9.711191335740073
175,EUCLIDES DA CUNHA PAULISTA,3515350,9325,1353,684,0,2037,2193,92.88645690834473,14.509383378016086,7.335120643431635
176,FARTURA,3515400,16070,2967,1780,0,4747,4761,99.70594412938458,18.462974486621032,11.076540136901059
177,FERNANDÓPOLIS,3515509,69402,16158,9638,0,25796,25759,100.14363911642532,23.281749805481113,13.887207861444914
178,FERNANDO PRESTES,3515608,5794,1346,808,0,2154,2229,96.63526244952894,23.23092854677252,13.945460821539523
