,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,10427,5712,0,16139,16797,96.08263380365541,29.697245877360373,16.26840591267694
1,ADOLFO,3500204,3554,1145,586,0,1731,1667,103.8392321535693,32.21722003376477,16.488463702870003
2,AGUAÍ,3500303,36648,6364,3386,0,9750,10589,92.07668335064689,17.365204103907445,9.239249072254967
3,ÁGUAS DA PRATA,3500402,8221,2400,1111,0,3511,3812,92.10388247639034,29.193528767789807,13.514171025422698
4,ÁGUAS DE LINDÓIA,3500501,18808,4632,2349,0,6981,7394,94.41439004598323,24.62781794980859,12.489366227137388
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,1187,772,0,1959,2273,86.18565772107347,19.430348665902766,12.637092813881159
6,ÁGUAS DE SÃO PEDRO,3500600,3521,1415,715,0,2130,2118,100.56657223796034,40.187446748082934,20.306731042317523
7,AGUDOS,3500709,37401,8372,5124,0,13496,15003,89.95534226488036,22.38442822384428,13.700168444693992
8,ALAMBARI,3500758,6129,1297,453,0,1750,1828,95.73304157549234,21.16169032468592,7.391091532060695
9,ALFREDO MARCONDES,3500808,4184,1318,769,0,2087,2192,95.20985401459853,31.50095602294455,18.379541108986615
10,ALTAIR,3500907,4186,754,436,0,1190,1270,93.7007874015748,18.012422360248447,10.415671285236503
11,ALTINÓPOLIS,3501004,16203,4099,2245,0,6344,6773,93.66602687140116,25.297784360920815,13.855458865642165
12,ALTO ALEGRE,3501103,4088,1190,717,0,1907,1984,96.11895161290323,29.10958904109589,17.539138943248535
13,ALUMÍNIO,3501152,18767,2810,1486,0,4296,4679,91.81449027569994,14.973091064101881,7.918154206852454
14,ÁLVARES FLORENCE,3501202,3647,1134,585,0,1719,1872,91.82692307692307,31.09404990403071,16.04058129969838
15,ÁLVARES MACHADO,3501301,24998,5503,2751,0,8254,9031,91.39630162772671,22.013761100888072,11.004880390431234
16,ÁLVARO DE CARVALHO,3501400,5274,765,450,0,1215,1382,87.91606367583212,14.505119453924914,8.532423208191126
17,ALVINLÂNDIA,3501509,3237,690,335,0,1025,1069,95.88400374181478,21.316033364226136,10.349088662341673
18,AMERICANA,3501608,242018,52045,26720,0,78765,87070,90.46169748478235,21.504598831491872,11.040501119751424
19,AMÉRICO BRASILIENSE,3501707,41032,6672,3953,0,10625,11341,93.686623754519,16.26047962565802,9.63394423864301
20,AMÉRICO DE CAMPOS,3501806,5981,1508,820,0,2328,2627,88.61819566044919,25.213175054338738,13.710081926099315
21,AMPARO,3501905,72677,16537,9166,0,25703,28490,90.21762021762022,22.75410377423394,12.611968022895828
22,ANALÂNDIA,3502002,5056,1050,590,0,1640,1736,94.47004608294931,20.76740506329114,11.669303797468354
23,ANDRADINA,3502101,57202,13854,8343,0,22197,23954,92.66510812390415,24.219432886961993,14.585154365231984
24,ANGATUBA,3502200,25479,4849,2107,0,6956,7868,88.4087442806304,19.031359158522704,8.269555320067507
25,ANHEMBI,3502309,6819,1324,558,0,1882,2019,93.21446260525012,19.416336706261916,8.18301803783546
26,ANHUMAS,3502408,4144,1013,517,0,1530,1500,102.0,24.444980694980696,12.475868725868725
27,APARECIDA,3502507,36185,8025,3875,0,11900,12682,93.8337801608579,22.17769794113583,10.708857261296117
