,cod_ibge,data,ocupacao_leitos
122448,3539509,2020-10-08,"49,51"
122240,3539509,2020-10-09,"48,38"
122188,3539509,2020-10-10,"48,05"
119692,3539509,2020-10-11,"47,44"
120238,3539509,2020-10-12,"42,35"
119198,3539509,2020-10-13,"43,24"
121174,3539509,2020-10-14,"49,49"
121538,3539509,2020-10-15,"52,01"
120472,3539509,2020-10-16,"49,66"
120940,3539509,2020-10-17,"47,81"
120628,3539509,2020-10-18,"44,59"
121408,3539509,2020-10-19,"44,30"
119432,3539509,2020-10-20,"38,72"
120290,3539509,2020-10-21,"42,28"
122682,3539509,2020-10-22,"40,48"
122084,3539509,2020-10-23,"39,29"
123098,3539509,2020-10-24,"37,68"
116676,3539509,2020-10-25,"38,55"
118730,3539509,2020-10-26,"40,00"
117612,3539509,2020-10-27,"40,07"
116988,3539509,2020-10-28,"37,46"
118288,3539509,2020-10-29,"36,69"
116286,3539509,2020-10-30,"32,12"
116598,3539509,2020-10-31,"30,66"
118652,3539509,2020-11-01,"30,36"
117664,3539509,2020-11-02,"30,40"
117248,3539509,2020-11-03,"27,54"
118808,3539509,2020-11-04,"30,80"
116520,3539509,2020-11-05,"30,69"
116182,3539509,2020-11-06,"30,94"
116364,3539509,2020-11-07,"25,54"
116728,3539509,2020-11-08,"27,21"
118132,3539509,2020-11-09,"30,26"
117872,3539509,2020-11-10,"32,10"
116780,3539509,2020-11-11,"27,51"
118496,3539509,2020-11-12,"28,52"
117144,3539509,2020-11-13,"29,84"
116910,3539509,2020-11-14,"26,85"
117716,3539509,2020-11-15,"29,57"
117482,3539509,2020-11-16,"24,90"
117456,3539509,2020-11-17,"22,09"
117742,3539509,2020-11-18,"36,41"
116884,3539509,2020-11-19,"34,87"
117222,3539509,2020-11-20,"38,54"
118522,3539509,2020-11-21,"36,22"
118782,3539509,2020-11-22,"35,03"
117950,3539509,2020-11-23,"36,73"
118158,3539509,2020-11-24,"39,59"
115870,3539509,2020-11-25,"34,04"
116494,3539509,2020-11-26,"38,62"
116208,3539509,2020-11-27,"37,63"
116026,3539509,2020-11-28,"36,07"
116234,3539509,2020-11-29,"35,14"
116572,3539509,2020-11-30,"40,00"
116416,3539509,2020-12-01,"36,32"
118106,3539509,2020-12-02,"36,65"
118314,3539509,2020-12-03,"34,03"
118626,3539509,2020-12-04,"36,51"
117846,3539509,2020-12-05,"36,69"
117040,3539509,2020-12-06,"38,69"
117014,3539509,2020-12-07,"41,36"
117768,3539509,2020-12-08,"45,96"
117352,3539509,2020-12-09,"42,50"
117586,3539509,2020-12-10,"39,38"
117300,3539509,2020-12-11,"43,75"
117066,3539509,2020-12-12,"44,03"
118418,3539509,2020-12-13,"40,00"
118704,3539509,2020-12-14,"40,62"
117898,3539509,2020-12-15,"45,24"
118236,3539509,2020-12-16,"43,11"
115844,3539509,2020-12-17,"47,02"
116468,3539509,2020-12-18,"46,39"
116104,3539509,2020-12-19,"47,56"
120420,3539509,2020-12-20,"47,24"
122292,3539509,2020-12-21,"48,43"
122318,3539509,2020-12-22,"48,43"
122578,3539509,2020-12-23,"55,97"
123020,3539509,2020-12-24,"51,61"
122760,3539509,2020-12-25,"50,32"
122162,3539509,2020-12-26,"51,92"
122058,3539509,2020-12-27,"55,77"
122838,3539509,2020-12-28,"55,84"
119718,3539509,2020-12-29,"52,63"
119822,3539509,2020-12-30,"56,77"
120004,3539509,2020-12-31,"58,33"
120186,3539509,2021-01-01,"57,74"
119588,3539509,2021-01-02,"52,07"
119016,3539509,2021-01-03,"53,29"
119276,3539509,2021-01-04,"54,91"
119458,3539509,2021-01-05,"62,07"
121200,3539509,2021-01-06,"63,79"
121304,3539509,2021-01-07,"65,50"
121486,3539509,2021-01-08,"69,95"
121642,3539509,2021-01-09,"70,65"
121070,3539509,2021-01-10,"72,54"
120550,3539509,2021-01-11,"76,65"
120680,3539509,2021-01-12,"71,50"
120810,3539509,2021-01-13,"71,57"
119614,3539509,2021-01-14,"64,50"
120992,3539509,2021-01-15,"66,38"
120914,3539509,2021-01-16,"76,53"
120836,3539509,2021-01-17,"70,91"
120732,3539509,2021-01-18,"73,87"
120576,3539509,2021-01-19,"72,32"
120706,3539509,2021-01-20,"76,57"
121746,3539509,2021-01-21,"74,69"
121590,3539509,2021-01-22,"79,44"
121434,3539509,2021-01-23,"82,40"
121330,3539509,2021-01-24,"81,75"
121226,3539509,2021-01-25,"82,86"
121798,3539509,2021-01-26,"82,33"
119536,3539509,2021-01-27,"82,33"
