,cod_ibge,data,ocupacao_leitos
124356,3530805,2020-10-08,"42,06"
126336,3530805,2020-10-09,"40,94"
124856,3530805,2020-10-10,"37,30"
125276,3530805,2020-10-11,"34,13"
124936,3530805,2020-10-12,"36,15"
126396,3530805,2020-10-13,"37,69"
125996,3530805,2020-10-14,"34,92"
123636,3530805,2020-10-15,"36,51"
124456,3530805,2020-10-16,"40,48"
124096,3530805,2020-10-17,"36,22"
128696,3530805,2020-10-18,"35,43"
127896,3530805,2020-10-19,"37,01"
127456,3530805,2020-10-20,"35,16"
128376,3530805,2020-10-21,"33,59"
127856,3530805,2020-10-22,"34,11"
126876,3530805,2020-10-23,"28,68"
128476,3530805,2020-10-24,"29,84"
127116,3530805,2020-10-25,"36,36"
127676,3530805,2020-10-26,"31,40"
128676,3530805,2020-10-27,"29,75"
127296,3530805,2020-10-28,"29,75"
128596,3530805,2020-10-29,"30,58"
124236,3530805,2020-10-30,"28,33"
123596,3530805,2020-10-31,"29,17"
126536,3530805,2020-11-01,"37,27"
124836,3530805,2020-11-02,"34,86"
125496,3530805,2020-11-03,"34,55"
126556,3530805,2020-11-04,"30,91"
124436,3530805,2020-11-05,"30,00"
124016,3530805,2020-11-06,"30,00"
124516,3530805,2020-11-07,"26,13"
123296,3530805,2020-11-08,"30,28"
123496,3530805,2020-11-09,"29,66"
125756,3530805,2020-11-10,"32,73"
126376,3530805,2020-11-11,"27,27"
125016,3530805,2020-11-12,"22,73"
124896,3530805,2020-11-13,"22,32"
125296,3530805,2020-11-14,"24,78"
125316,3530805,2020-11-15,"20,54"
125476,3530805,2020-11-16,"23,01"
124756,3530805,2020-11-17,"24,78"
124956,3530805,2020-11-18,"26,55"
125636,3530805,2020-11-19,"25,66"
126296,3530805,2020-11-20,"25,66"
126476,3530805,2020-11-21,"24,56"
125676,3530805,2020-11-22,"22,12"
125916,3530805,2020-11-23,"20,72"
125616,3530805,2020-11-24,"27,43"
123736,3530805,2020-11-25,"27,43"
123716,3530805,2020-11-26,"26,05"
123796,3530805,2020-11-27,"23,53"
124476,3530805,2020-11-28,"30,09"
124596,3530805,2020-11-29,"25,47"
123936,3530805,2020-11-30,"27,43"
124116,3530805,2020-12-01,"31,86"
128316,3530805,2020-12-02,"34,26"
127996,3530805,2020-12-03,"27,78"
127256,3530805,2020-12-04,"24,04"
127236,3530805,2020-12-05,"23,15"
127596,3530805,2020-12-06,"23,36"
127556,3530805,2020-12-07,"25,00"
127436,3530805,2020-12-08,"25,00"
126836,3530805,2020-12-09,"27,78"
128876,3530805,2020-12-10,"36,11"
128436,3530805,2020-12-11,"33,33"
128156,3530805,2020-12-12,"32,41"
126996,3530805,2020-12-13,"33,96"
127696,3530805,2020-12-14,"40,74"
127536,3530805,2020-12-15,"35,19"
126656,3530805,2020-12-16,"36,11"
127076,3530805,2020-12-17,"37,04"
128756,3530805,2020-12-18,"36,11"
128516,3530805,2020-12-19,"36,70"
128236,3530805,2020-12-20,"38,53"
128036,3530805,2020-12-21,"38,10"
128816,3530805,2020-12-22,"41,28"
127016,3530805,2020-12-23,"33,33"
126916,3530805,2020-12-24,"38,74"
127796,3530805,2020-12-25,"45,87"
