,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
405,PARDINHO,209.894,6508,26.59,98.3,727,37.38,3.364.232.737,2.880.340.729,47454.61
406,PARIQUERA-AÇU,359.414,19723,51.34,97.1,736,6.47,4.757.706.273,427.937.438,25926.61
407,PARISI,84.737,2169,24.04,99.6,721,51.28,1.767.099.827,1.466.202.813,31045.8
408,PATROCÍNIO PAULISTA,602.848,14807,21.56,97.8,730,19.51,6.047.920.741,4.691.510.802,60792.11
409,PAULICÉIA,374.091,7454,16.97,94.0,711,8.55,3.238.808.958,2.994.355.696,20705.29
410,PAULÍNIA,138.777,112003,592.17,97.9,795,6.12,148.923.868.636,118.481.035.885,306163.17
411,PAULISTÂNIA,256.178,1834,6.93,97.5,718,47.62,1.631.783.815,1.422.611.792,22430.93
412,PAULO DE FARIA,737.986,8959,11.63,98.5,725,24.69,4.055.542.368,3.391.073.375,30110.56
413,PEDERNEIRAS,727.482,47111,56.92,98.3,739,9.42,13.125.501.306,11.779.819.984,47430.98
414,PEDRA BELA,158.587,6110,36.45,95.8,677,14.49,1.983.618.553,188.082.233,13782.13
415,PEDRANÓPOLIS,260.101,2481,9.83,100.0,742,34.48,2.116.627.033,1.580.577.599,25672.04
416,PEDREGULHO,712.604,16811,22.03,98.4,715,4.63,5.204.867.802,443.100.593,52418.86
417,PEDREIRA,108.817,48463,382.7,98.1,769,6.24,1.374.026.991,12.470.724.961,26471.59
418,PEDRINHAS PAULISTA,152.309,3101,19.28,97.3,774,37.04,1.965.697.603,1.696.378.292,44364.89
419,PEDRO DE TOLEDO,670.440,11421,15.22,99.3,696,25.42,3.470.398.334,3.102.067.674,12787.4
420,PENÁPOLIS,711.315,63757,82.31,98.7,759,13.17,17.661.952.902,16.209.610.449,26395.81
421,PEREIRA BARRETO,974.247,25677,25.5,98.1,766,3.83,9.581.424.479,8.271.309.802,29553.41
422,PEREIRAS,223.136,8773,33.38,96.8,736,19.05,2.705.368.325,2.347.577.323,23954.99
423,PERUÍBE,326.216,69001,184.4,98.6,749,17.26,24.730.703.255,22.494.907.246,22538.1
424,PIACATU,232.488,6038,22.75,97.5,732,61.54,2.198.423.647,1.923.673.174,15498.37
425,PIEDADE,746.868,55542,69.82,95.6,716,13.68,12.253.349.585,11.029.826.169,21916.31
426,PILAR DO SUL,681.248,29402,38.77,93.8,690,18.04,7.353.353.137,6.526.658.378,23370.06
427,PINDAMONHANGABA,731.355,170132,201.39,98.2,773,13.84,4.372.657.743,3.985.650.337,51761.18
428,PINDORAMA,184.825,17216,81.37,97.5,737,6.29,4.675.149.637,4.131.001.861,22081.72
429,PINHALZINHO,154.529,15388,84.81,97.8,725,13.33,3.796.140.892,3.375.481.331,17475.49
430,PIQUEROBI,482.769,3699,7.33,99.4,711,52.63,1.903.692.464,1.569.345.974,15089.43
431,PIQUETE,175.996,13575,80.16,98.8,757,19.48,297.223.304,2.543.765.315,11973.44
432,PIRACAIA,385.568,27462,65.15,98.0,739,2.74,8.166.970.253,7.059.298.437,17540.72
433,PIRACICABA,1.378.069,407252,264.47,97.5,785,8.98,161.867.727.203,152.917.760.687,65896.34
434,PIRAJU,504.591,29869,56.44,98.3,758,7.81,8.801.455.865,8.033.940.458,24936.58
435,PIRAJUÍ,823.758,25719,27.55,97.3,749,14.65,6.479.156.603,5.550.857.773,18702.35
436,PIRANGI,215.809,11471,49.3,97.8,756,15.50,3.535.515.179,2.958.445.405,29289.51
437,PIRAPORA DO BOM JESUS,108.489,19178,144.98,97.5,727,15.09,5.801.785.572,538.756.971,24587.66
438,PIRAPOZINHO,477.673,27754,51.66,98.8,776,17.86,7.378.301.617,6.625.808.534,34839.45
439,PIRASSUNUNGA,727.118,76877,96.38,98.2,801,13.68,22.245.669.896,21.399.723.691,36765.67
440,PIRATININGA,402.409,13765,30.0,98.4,779,11.30,4.592.428.939,3.660.663.632,17432.02
441,PITANGUEIRAS,430.638,40080,81.99,99.0,723,8.42,11.885.489.297,10.347.789.997,27053.73
442,PLANALTO,289.825,5304,15.38,99.2,719,33.90,2.693.760.005,2.254.537.217,30164.36
443,PLATINA,327.480,3578,9.77,98.5,719,21.74,1.877.785.413,1.615.193.922,26801.38
444,POÁ,17.264,118349,6141.05,97.6,771,18.19,44.633.287.975,3.945.058.237,39992.89
445,POLONI,135.120,6113,40.4,99.5,766,14.49,255.094.264,194.140.428,21985.92
446,POMPÉIA,784.674,22172,25.46,98.6,786,19.23,877.315.226,7.394.540.026,56951.86
447,PONGAÍ,183.399,3400,18.99,97.4,755,33.33,17.231.881,1.546.844.883,23673.17
448,PONTAL,356.371,50852,112.94,94.5,725,5.36,9.177.976.343,9.150.481.147,23772.76
449,PONTALINDA,209.525,4674,19.38,98.3,702,54.55,2.041.978.372,1.865.277.949,17009.93
450,PONTES GESTAL,217.505,2577,11.58,97.8,732,29.41,258.332.794,2.241.752.102,60563.97
451,POPULINA,315.938,4152,13.37,99.6,714,25.00,2.391.386.681,2.175.022.199,22982.84
