,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
581,SOROCABA,450.382,687357,1304.18,98.1,798,9.71,290.461.770.346,241.115.068.528,52169.13
582,SUD MENNUCCI,594.744,7728,12.57,98.3,747,9.43,3.696.941.725,3.483.406.856,21694.14
583,SUMARÉ,153.465,286211,1572.04,97.7,762,8.88,69.737.801.979,59.415.462.105,51832.02
584,SUZANO,206.236,300559,1272.93,96.7,765,10.75,75.454.529.123,60.056.875.131,37835.81
585,SUZANÁPOLIS,330.587,4014,10.24,99.8,699,27.03,2.763.255.855,2.302.492.817,64171.13
586,TABAPUÃ,345.792,12485,32.88,98.4,735,17.86,3.894.930.441,3.420.520.659,19073.08
587,TABATINGA,368.604,16644,39.74,96.5,704,14.15,4.272.524.708,3.600.723.217,15488.05
588,TABOÃO DA SERRA,20.388,293652,11994.31,96.9,769,13.30,79.920.332.595,68.760.938.547,29340.9
589,TACIBA,607.267,6329,9.41,99.3,723,12.35,40.441.753,3.417.234.895,25011.83
590,TAGUAÍ,145.332,14141,74.51,97.3,709,21.62,3.477.455.964,3.144.380.012,19998.06
591,TAIAÇU,107.059,6320,55.27,97.8,710,37.04,2.320.197.518,1.852.071.058,15473.51
592,TAIÚVA,132.459,5564,41.12,97.8,760,34.48,2.084.196.812,1.911.440.334,20486.83
593,TAMBAÚ,561.788,23232,39.88,97.7,731,13.20,8.478.278.536,7.003.354.986,24209.88
594,TANABI,747.218,26101,32.25,99.0,748,04.02,7.793.768.822,6.488.793.619,35899.14
595,TAPIRAÍ,755.100,7766,10.61,98.3,681,33.71,2.903.222.377,2.254.915.523,18028.56
596,TAPIRATIBA,221.891,12950,57.23,98.2,751,6.94,4.624.360.329,3.638.266.474,25093.84
597,TAQUARAL,53.892,2813,50.58,98.2,759,31.25,1.522.967.138,1.332.540.252,13710.81
598,TAQUARITINGA,594.335,57364,90.95,98.2,748,11.01,19.572.986.329,17.250.013.688,27561.71
599,TAQUARITUBA,448.515,23256,49.71,97.8,701,17.36,7.937.934.748,6.714.529.949,29717.12
600,TAQUARIVAÍ,231.792,5911,22.22,99.4,679,10.53,2.402.300.551,2.177.357.811,37750.95
601,TARABAI,201.385,7540,32.78,99.2,726,10.42,2.213.979.281,2.100.502.729,15509.65
602,TARUMÃ,302.913,15183,42.5,99.0,753,14.35,6.826.510.796,5.273.548.111,52291.48
603,TATUÍ,523.749,122967,205.03,97.6,752,12.99,33.521.954.724,29.401.376.822,33202.74
604,TAUBATÉ,625.003,317915,445.98,98.1,800,12.53,115.001.020.818,108.850.718.946,55369.58
605,TEJUPÁ,296.189,4491,16.23,98.4,668,16.39,2.038.466.136,1.702.499.747,17508.61
606,TEODORO SAMPAIO,1.555.803,23273,13.74,97.1,741,14.08,7.386.055.533,6.584.112.864,19004.83
607,TERRA ROXA,221.541,9437,38.39,98.9,749,10.31,285.977.748,2.372.592.671,15136.01
608,TIETÊ,404.396,42517,91.09,97.1,778,9.42,14.695.439.967,13.382.402.054,43859.26
609,TIMBURI,196.790,2652,13.45,99.7,710,47.62,1.781.613.234,1.564.012.207,16512.98
610,TORRE DE PEDRA,71.348,2422,31.59,98.4,714,40.00,1.340.793.487,118.465.287,12505.12
611,TORRINHA,315.267,10056,29.59,96.4,744,19.42,2.705.147.801,220.238.828,20407.61
612,TRABIJU,63.421,1738,24.35,98.4,722,142.86,1.319.932.883,1.094.536.461,23765.75
613,TREMEMBÉ,191.094,47714,214.17,97.8,785,11.95,11.543.878.802,11.371.491.882,16194.84
614,TRÊS FRONTEIRAS,151.594,5832,35.9,98.8,753,12.50,2.028.116.732,1.719.962.123,18493.07
615,TUIUTI,126.731,6977,46.8,97.3,728,18.87,2.104.998.575,1.814.940.958,20003.02
616,TUPÃ,627.986,65570,100.99,97.3,771,15.03,15.810.832.831,14.530.654.681,27412.94
617,TUPI PAULISTA,244.770,15583,58.16,99.4,769,18.18,4.586.682.798,3.895.097.427,17786.01
618,TURIÚBA,153.235,2020,12.6,100.0,751,71.43,1.713.843.291,1.559.311.808,20889.9
619,TURMALINA,147.797,1696,13.37,97.1,736,90.91,1.665.498.595,1.456.755.513,31849.8
620,UBARANA,209.861,6400,25.23,99.7,700,10.87,2.700.748.148,2.417.093.582,50883.11
621,UBATUBA,708.105,91824,108.87,97.7,751,14.15,31.508.335.965,29.815.669.047,23826.8
622,UBIRAJARA,282.179,4804,15.68,98.9,727,11.63,2.043.785.761,1.656.292.581,19662.0
623,UCHOA,252.434,10151,37.51,98.2,721,10.64,4.144.311.356,3.690.101.191,22187.55
624,UNIÃO PAULISTA,79.056,1865,20.21,96.8,749,90.91,1.479.532.857,1.219.537.474,24943.12
625,URÂNIA,209.262,9120,42.29,100.0,746,10.53,2.593.831.201,2.228.244.791,23635.22
626,URU,146.901,1153,8.51,95.1,712,90.91,1.508.053.182,128.089.538,35143.93
627,URUPÊS,323.916,13888,39.27,99.1,745,6.90,4.232.188.297,3.802.705.381,28591.76
628,VALENTIM GENTIL,149.741,13532,73.72,98.8,735,10.93,4.149.125.856,3.359.752.379,24770.24
629,VALINHOS,148.538,131210,718.7,97.2,819,7.18,55.122.333.114,46.500.677.039,48768.26
630,VALPARAÍSO,857.661,26822,26.33,98.0,725,15.53,819.810.777,7.631.353.161,33427.0
631,VARGEM,142.595,10692,61.71,98.1,699,17.54,2.355.212.652,2.127.149.876,12706.02
632,VARGEM GRANDE DO SUL,267.178,43110,146.94,98.8,737,10.79,10.600.373.403,9.927.163.142,22882.07
633,VARGEM GRANDE PAULISTA,42.489,53468,1012.1,97.2,770,8.11,16.189.361.096,14.051.841.277,40282.68
634,VÁRZEA PAULISTA,35.120,123071,3049.14,96.9,759,15.17,27.888.558.835,23.574.621.113,23585.08
635,VERA CRUZ,247.716,10823,43.41,99.0,754,09.01,2.910.265.535,2.598.575.064,13148.65
636,VINHEDO,81.604,80111,779.51,97.5,817,9.50,46.851.238.042,41.835.627.866,119996.43
637,VIRADOURO,217.726,19017,79.44,98.4,739,8.97,5.929.368.816,5.160.634.254,18419.26
638,VISTA ALEGRE DO ALTO,95.429,8989,72.5,100.0,744,12.20,3.751.317.079,3.137.457.874,40055.36
639,VITÓRIA BRASIL,49.832,1846,34.95,98.5,725,66.67,1.349.808.908,1.119.787.992,19590.64
640,VOTORANTIM,183.517,123599,591.04,97.8,767,13.64,36.692.473.451,34.541.468.654,25495.29
641,VOTUPORANGA,420.703,95338,201.15,98.8,790,8.61,30.345.350.469,27.205.423.556,31244.0
642,ZACARIAS,319.056,2752,7.32,98.6,729,32.26,2.474.474.691,1.871.416.876,32979.59
643,CHAVANTES,188.727,12418,64.4,98.6,729,5.29,3.853.801.922,3.434.323.006,16706.08
644,ESTIVA GERBI,74.144,11407,135.35,98.6,740,7.87,4.072.784.327,3.542.287.636,29883.47
