,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
566,SÃO SEBASTIÃO,3550704,90328,6405,2319,0,8724,8790,99.24914675767918,7.0908245505269685,2.5673102470994595
567,SÃO SEBASTIÃO DA GRAMA,3550803,12159,1345,406,0,1751,2251,77.78764993336294,11.061764947775309,3.3390903857225105
568,SÃO SIMÃO,3550902,15385,1623,497,0,2120,3042,69.69099276791584,10.549236269093273,3.230419239519012
569,SÃO VICENTE,3551009,368355,33744,10626,0,44370,50816,87.31501889168766,9.160728101966853,2.884717188581667
570,SARAPUÍ,3551108,10390,1062,200,0,1262,1366,92.3865300146413,10.221366698748797,1.9249278152069296
571,SARUTAIÁ,3551207,3630,484,192,0,676,718,94.15041782729804,13.333333333333334,5.289256198347108
572,SEBASTIANÓPOLIS DO SUL,3551306,3554,474,153,0,627,675,92.88888888888889,13.337084974676422,4.3050084411930225
573,SERRA AZUL,3551405,14981,969,473,0,1442,1694,85.12396694214877,6.468193044523063,3.157332621320339
574,SERRANA,3551504,45644,28101,14999,0,43100,60684,71.02366356865072,61.56559460170011,32.86083603540443
575,SERRA NEGRA,3551603,29452,4168,1184,0,5352,6347,84.32330234756577,14.15184028249355,4.0201005025125625
576,SERTÃOZINHO,3551702,127142,10497,3899,0,14396,18630,77.27321524422973,8.256123074987022,3.0666498875273316
577,SETE BARRAS,3551801,12780,1293,405,0,1698,2004,84.73053892215569,10.117370892018778,3.169014084507042
578,SEVERÍNIA,3551900,17661,1224,436,0,1660,1973,84.13583375570197,6.9305248853405805,2.468716380725893
579,SILVEIRAS,3552007,6339,741,266,0,1007,1129,89.19397697077059,11.689540937056318,4.19624546458432
580,SOCORRO,3552106,41352,5598,1195,0,6793,8678,78.27840516247984,13.53743470690656,2.8898239504739793
581,SOROCABA,3552205,687357,62733,20271,0,83004,111447,74.4784516406902,9.126698353257478,2.949122508390836
582,SUD MENNUCCI,3552304,7728,990,342,0,1332,1492,89.27613941018767,12.81055900621118,4.425465838509317
583,SUMARÉ,3552403,286211,22074,6557,0,28631,33847,84.58947617218661,7.712491832948419,2.2909671536034604
584,SUZANO,3552502,300559,24703,6737,0,31440,26069,120.60301507537687,8.219018562079325,2.2414900235893787
585,SUZANÁPOLIS,3552551,4014,418,90,0,508,669,75.93423019431988,10.413552566018934,2.242152466367713
586,TABAPUÃ,3552601,12485,1597,581,0,2178,2422,89.92568125516102,12.791349619543452,4.653584301161394
587,TABATINGA,3552700,16644,1673,461,0,2134,2399,88.95373072113381,10.051670271569334,2.7697668829608264
588,TABOÃO DA SERRA,3552809,293652,20486,7488,0,27974,39977,69.97523576056233,6.976284854181139,2.5499570920681625
589,TACIBA,3552908,6329,715,181,0,896,1036,86.48648648648648,11.297203349660293,2.859851477326592
590,TAGUAÍ,3553005,14141,1157,321,0,1478,1707,86.58465143526655,8.181882469415177,2.2699950498550314
591,TAIAÇU,3553104,6320,805,298,0,1103,1260,87.53968253968254,12.7373417721519,4.715189873417722
592,TAIÚVA,3553203,5564,919,324,0,1243,1274,97.56671899529043,16.516894320632638,5.823148813803019
593,TAMBAÚ,3553302,23232,2486,870,0,3356,4298,78.08282922289436,10.700757575757576,3.7448347107438016
594,TANABI,3553401,26101,3524,1254,0,4778,5466,87.41309915843397,13.501398413853874,4.80441362399908
595,TAPIRAÍ,3553500,7766,797,223,0,1020,1383,73.7527114967462,10.262683492145248,2.8714911151171774
596,TAPIRATIBA,3553609,12950,1457,524,0,1981,2402,82.4729392173189,11.250965250965251,4.046332046332046
597,TAQUARAL,3553658,2813,331,116,0,447,460,97.17391304347827,11.766797013864203,4.123711340206185
598,TAQUARITINGA,3553708,57364,7163,2351,0,9514,12169,78.1822664146602,12.486925597935988,4.0983892336657135
599,TAQUARITUBA,3553807,23256,2731,867,0,3598,4168,86.32437619961613,11.743206054351566,3.7280701754385963
600,TAQUARIVAÍ,3553856,5911,349,97,0,446,646,69.04024767801857,5.904246320419556,1.6410082896295044
601,TARABAI,3553906,7540,717,257,0,974,1058,92.06049149338375,9.509283819628648,3.4084880636604775
602,TARUMÃ,3553955,15183,1227,452,0,1679,1834,91.54852780806979,8.081406836593558,2.9770137653955078
603,TATUÍ,3554003,122967,12754,4293,0,17047,20707,82.32481769449944,10.37188839282084,3.49118056063822
604,TAUBATÉ,3554102,317915,31133,6591,0,37724,54954,68.64650434909197,9.792869163141091,2.073195665508076
605,TEJUPÁ,3554201,4491,410,95,0,505,610,82.78688524590164,9.129369850812736,2.115341794700512
606,TEODORO SAMPAIO,3554300,23273,2213,572,0,2785,3226,86.32982021078736,9.5088729428952,2.457783697847291
607,TERRA ROXA,3554409,9437,1155,456,0,1611,1530,105.29411764705883,12.239059022994596,4.832044081805659
608,TIETÊ,3554508,42517,4366,1162,0,5528,7096,77.90304396843291,10.268833643013382,2.73302443728391
609,TIMBURI,3554607,2652,438,106,0,544,604,90.06622516556291,16.515837104072396,3.996983408748114
610,TORRE DE PEDRA,3554656,2422,377,130,0,507,567,89.41798941798942,15.565648224607761,5.367464905037159
611,TORRINHA,3554706,10056,1344,437,0,1781,1966,90.59003051881994,13.365155131264917,4.345664280031822
612,TRABIJU,3554755,1738,206,74,0,280,320,87.5,11.852704257767549,4.25776754890679
613,TREMEMBÉ,3554805,47714,4639,1979,0,6618,8574,77.18684394681596,9.722513308462926,4.14762962652471
614,TRÊS FRONTEIRAS,3554904,5832,835,274,0,1109,1394,79.55523672883787,14.317558299039781,4.698216735253772
615,TUIUTI,3554953,6977,970,206,0,1176,1333,88.22205551387847,13.90282356313602,2.952558406191773
616,TUPÃ,3555000,65570,10979,3494,0,14473,18186,79.58319586495107,16.743937776422143,5.32865639774287
617,TUPI PAULISTA,3555109,15583,2478,833,0,3311,4073,81.29143137736312,15.90194442661875,5.3455688891741
618,TURIÚBA,3555208,2020,314,126,0,440,497,88.53118712273643,15.544554455445544,6.237623762376238
619,TURMALINA,3555307,1696,399,137,0,536,567,94.53262786596119,23.525943396226413,8.077830188679245
620,UBARANA,3555356,6400,508,150,0,658,738,89.15989159891599,7.9375,2.34375
621,UBATUBA,3555406,91824,7510,2670,0,10180,11026,92.32722655541448,8.178689667189404,2.9077365394668058
622,UBIRAJARA,3555505,4804,540,198,0,738,854,86.41686182669788,11.240632805995004,4.121565362198168
623,UCHOA,3555604,10151,1537,514,0,2051,2209,92.84744228157538,15.141365382720915,5.063540537878042
624,UNIÃO PAULISTA,3555703,1865,217,93,0,310,324,95.67901234567901,11.63538873994638,4.986595174262734
625,URÂNIA,3555802,9120,1453,528,0,1981,2238,88.5165326184093,15.93201754385965,5.7894736842105265
626,URU,3555901,1153,234,70,0,304,314,96.81528662420382,20.294882914137034,6.071118820468343
627,URUPÊS,3556008,13888,1717,614,0,2331,2979,78.24773413897282,12.363191244239632,4.421082949308755
628,VALENTIM GENTIL,3556107,13532,1239,349,0,1588,1878,84.5580404685836,9.156074490097547,2.57907182973692
629,VALINHOS,3556206,131210,11531,4381,0,15912,21250,74.88,8.78820211874095,3.338922338236415
630,VALPARAÍSO,3556305,26822,2506,825,0,3331,4659,71.49602919081349,9.343076578927747,3.0758332711952874
631,VARGEM,3556354,10692,978,245,0,1223,2139,57.17625058438522,9.14702581369248,2.2914328469884024
632,VARGEM GRANDE DO SUL,3556404,43110,5216,2652,0,7868,7868,100.0,12.099280909301786,6.151704940848991
633,VARGEM GRANDE PAULISTA,3556453,53468,3251,1053,0,4304,6530,65.91117917304747,6.080272312411162,1.9694022592952793
634,VÁRZEA PAULISTA,3556503,123071,7639,2000,0,9639,12996,74.16897506925207,6.206986211211415,1.6250782068887064
635,VERA CRUZ,3556602,10823,1650,506,0,2156,2479,86.97055264219443,15.24531091194678,4.67522867966368
636,VINHEDO,3556701,80111,7668,2687,0,10355,13398,77.28765487386177,9.571719239555117,3.3540961915342464
637,VIRADOURO,3556800,19017,1965,488,0,2453,2690,91.18959107806691,10.33286007256665,2.5661250460114635
638,VISTA ALEGRE DO ALTO,3556909,8989,730,251,0,981,1005,97.61194029850746,8.121036822783402,2.7923017020803202
639,VITÓRIA BRASIL,3556958,1846,261,76,0,337,393,85.75063613231552,14.138678223185266,4.117009750812568
640,VOTORANTIM,3557006,123599,6888,2515,0,9403,17208,54.64318921431892,5.572860621849691,2.0348061068455245
641,VOTUPORANGA,3557105,95338,14577,4985,0,19562,22966,85.17808934947313,15.2898109882733,5.228765025488262
642,ZACARIAS,3557154,2752,307,81,0,388,511,75.92954990215264,11.155523255813954,2.943313953488372
643,CHAVANTES,3557204,12418,1350,375,0,1725,1970,87.56345177664974,10.87131583185698,3.019809953293606
644,ESTIVA GERBI,3557303,11407,891,245,0,1136,1316,86.32218844984803,7.81099324975892,2.1478039800122732
