,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
35774,LIMEIRA,3526902,308482,SP,"domingo, 01/03",30%
35541,LIMEIRA,3526902,308482,SP,"domingo, 01/11",40%
35359,LIMEIRA,3526902,308482,SP,"domingo, 02/05",38%
35632,LIMEIRA,3526902,308482,SP,"domingo, 02/08",50%
35478,LIMEIRA,3526902,308482,SP,"domingo, 03/01",45%
35723,LIMEIRA,3526902,308482,SP,"domingo, 03/05",51%
35387,LIMEIRA,3526902,308482,SP,"domingo, 04/04",42%
35296,LIMEIRA,3526902,308482,SP,"domingo, 04/07",39%
35569,LIMEIRA,3526902,308482,SP,"domingo, 04/10",40%
35751,LIMEIRA,3526902,308482,SP,"domingo, 05/04",53%
35660,LIMEIRA,3526902,308482,SP,"domingo, 05/07",46%
35324,LIMEIRA,3526902,308482,SP,"domingo, 06/06",40%
35597,LIMEIRA,3526902,308482,SP,"domingo, 06/09",39%
35506,LIMEIRA,3526902,308482,SP,"domingo, 06/12",37%
35443,LIMEIRA,3526902,308482,SP,"domingo, 07/02",40%
35415,LIMEIRA,3526902,308482,SP,"domingo, 07/03",42%
35688,LIMEIRA,3526902,308482,SP,"domingo, 07/06",46%
35773,LIMEIRA,3526902,308482,SP,"domingo, 08/03",30%
35534,LIMEIRA,3526902,308482,SP,"domingo, 08/11",42%
35352,LIMEIRA,3526902,308482,SP,"domingo, 09/05",40%
35625,LIMEIRA,3526902,308482,SP,"domingo, 09/08",44%
35471,LIMEIRA,3526902,308482,SP,"domingo, 10/01",40%
35716,LIMEIRA,3526902,308482,SP,"domingo, 10/05",46%
35380,LIMEIRA,3526902,308482,SP,"domingo, 11/04",40%
35289,LIMEIRA,3526902,308482,SP,"domingo, 11/07",38%
35562,LIMEIRA,3526902,308482,SP,"domingo, 11/10",38%
35744,LIMEIRA,3526902,308482,SP,"domingo, 12/04",51%
35653,LIMEIRA,3526902,308482,SP,"domingo, 12/07",46%
35317,LIMEIRA,3526902,308482,SP,"domingo, 13/06",42%
35590,LIMEIRA,3526902,308482,SP,"domingo, 13/09",40%
35499,LIMEIRA,3526902,308482,SP,"domingo, 13/12",36%
35436,LIMEIRA,3526902,308482,SP,"domingo, 14/02",41%
35408,LIMEIRA,3526902,308482,SP,"domingo, 14/03",43%
35681,LIMEIRA,3526902,308482,SP,"domingo, 14/06",46%
35527,LIMEIRA,3526902,308482,SP,"domingo, 15/11",38%
35345,LIMEIRA,3526902,308482,SP,"domingo, 16/05",39%
35618,LIMEIRA,3526902,308482,SP,"domingo, 16/08",40%
35464,LIMEIRA,3526902,308482,SP,"domingo, 17/01",40%
35709,LIMEIRA,3526902,308482,SP,"domingo, 17/05",48%
35373,LIMEIRA,3526902,308482,SP,"domingo, 18/04",42%
35282,LIMEIRA,3526902,308482,SP,"domingo, 18/07",40%
35555,LIMEIRA,3526902,308482,SP,"domingo, 18/10",38%
35737,LIMEIRA,3526902,308482,SP,"domingo, 19/04",53%
35646,LIMEIRA,3526902,308482,SP,"domingo, 19/07",46%
35310,LIMEIRA,3526902,308482,SP,"domingo, 20/06",41%
35583,LIMEIRA,3526902,308482,SP,"domingo, 20/09",40%
35492,LIMEIRA,3526902,308482,SP,"domingo, 20/12",39%
35429,LIMEIRA,3526902,308482,SP,"domingo, 21/02",40%
35401,LIMEIRA,3526902,308482,SP,"domingo, 21/03",42%
