,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
25480,INDAIATUBA,3520509,256223,SP,"quarta-feira, 07/10",38%
25662,INDAIATUBA,3520509,256223,SP,"quarta-feira, 08/04",52%
25571,INDAIATUBA,3520509,256223,SP,"quarta-feira, 08/07",46%
25235,INDAIATUBA,3520509,256223,SP,"quarta-feira, 09/06",39%
25508,INDAIATUBA,3520509,256223,SP,"quarta-feira, 09/09",41%
25417,INDAIATUBA,3520509,256223,SP,"quarta-feira, 09/12",38%
25354,INDAIATUBA,3520509,256223,SP,"quarta-feira, 10/02",38%
25326,INDAIATUBA,3520509,256223,SP,"quarta-feira, 10/03",39%
25599,INDAIATUBA,3520509,256223,SP,"quarta-feira, 10/06",46%
25687,INDAIATUBA,3520509,256223,SP,"quarta-feira, 11/03",35%
25445,INDAIATUBA,3520509,256223,SP,"quarta-feira, 11/11",39%
25263,INDAIATUBA,3520509,256223,SP,"quarta-feira, 12/05",39%
25536,INDAIATUBA,3520509,256223,SP,"quarta-feira, 12/08",42%
25382,INDAIATUBA,3520509,256223,SP,"quarta-feira, 13/01",39%
25627,INDAIATUBA,3520509,256223,SP,"quarta-feira, 13/05",49%
25291,INDAIATUBA,3520509,256223,SP,"quarta-feira, 14/04",40%
25200,INDAIATUBA,3520509,256223,SP,"quarta-feira, 14/07",40%
25473,INDAIATUBA,3520509,256223,SP,"quarta-feira, 14/10",40%
25655,INDAIATUBA,3520509,256223,SP,"quarta-feira, 15/04",52%
25564,INDAIATUBA,3520509,256223,SP,"quarta-feira, 15/07",46%
25228,INDAIATUBA,3520509,256223,SP,"quarta-feira, 16/06",37%
25501,INDAIATUBA,3520509,256223,SP,"quarta-feira, 16/09",40%
25410,INDAIATUBA,3520509,256223,SP,"quarta-feira, 16/12",40%
25347,INDAIATUBA,3520509,256223,SP,"quarta-feira, 17/02",38%
25319,INDAIATUBA,3520509,256223,SP,"quarta-feira, 17/03",41%
25592,INDAIATUBA,3520509,256223,SP,"quarta-feira, 17/06",47%
