,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
23672,GUARULHOS,3518800,1392121,SP,"domingo, 01/03",33%
23439,GUARULHOS,3518800,1392121,SP,"domingo, 01/11",42%
23257,GUARULHOS,3518800,1392121,SP,"domingo, 02/05",41%
23530,GUARULHOS,3518800,1392121,SP,"domingo, 02/08",48%
23376,GUARULHOS,3518800,1392121,SP,"domingo, 03/01",47%
23621,GUARULHOS,3518800,1392121,SP,"domingo, 03/05",63%
23285,GUARULHOS,3518800,1392121,SP,"domingo, 04/04",45%
23194,GUARULHOS,3518800,1392121,SP,"domingo, 04/07",42%
23467,GUARULHOS,3518800,1392121,SP,"domingo, 04/10",43%
23649,GUARULHOS,3518800,1392121,SP,"domingo, 05/04",61%
23558,GUARULHOS,3518800,1392121,SP,"domingo, 05/07",48%
23222,GUARULHOS,3518800,1392121,SP,"domingo, 06/06",43%
23495,GUARULHOS,3518800,1392121,SP,"domingo, 06/09",42%
23404,GUARULHOS,3518800,1392121,SP,"domingo, 06/12",40%
23341,GUARULHOS,3518800,1392121,SP,"domingo, 07/02",41%
23313,GUARULHOS,3518800,1392121,SP,"domingo, 07/03",44%
23586,GUARULHOS,3518800,1392121,SP,"domingo, 07/06",51%
23671,GUARULHOS,3518800,1392121,SP,"domingo, 08/03",33%
23432,GUARULHOS,3518800,1392121,SP,"domingo, 08/11",45%
23250,GUARULHOS,3518800,1392121,SP,"domingo, 09/05",41%
23523,GUARULHOS,3518800,1392121,SP,"domingo, 09/08",45%
23369,GUARULHOS,3518800,1392121,SP,"domingo, 10/01",42%
23614,GUARULHOS,3518800,1392121,SP,"domingo, 10/05",57%
23278,GUARULHOS,3518800,1392121,SP,"domingo, 11/04",44%
23187,GUARULHOS,3518800,1392121,SP,"domingo, 11/07",42%
23460,GUARULHOS,3518800,1392121,SP,"domingo, 11/10",42%
23642,GUARULHOS,3518800,1392121,SP,"domingo, 12/04",63%
23551,GUARULHOS,3518800,1392121,SP,"domingo, 12/07",48%
23215,GUARULHOS,3518800,1392121,SP,"domingo, 13/06",42%
23488,GUARULHOS,3518800,1392121,SP,"domingo, 13/09",43%
23397,GUARULHOS,3518800,1392121,SP,"domingo, 13/12",39%
23334,GUARULHOS,3518800,1392121,SP,"domingo, 14/02",43%
23306,GUARULHOS,3518800,1392121,SP,"domingo, 14/03",44%
23579,GUARULHOS,3518800,1392121,SP,"domingo, 14/06",50%
23425,GUARULHOS,3518800,1392121,SP,"domingo, 15/11",41%
23243,GUARULHOS,3518800,1392121,SP,"domingo, 16/05",43%
23516,GUARULHOS,3518800,1392121,SP,"domingo, 16/08",46%
23362,GUARULHOS,3518800,1392121,SP,"domingo, 17/01",41%
23607,GUARULHOS,3518800,1392121,SP,"domingo, 17/05",52%
23271,GUARULHOS,3518800,1392121,SP,"domingo, 18/04",45%
23180,GUARULHOS,3518800,1392121,SP,"domingo, 18/07",41%
23453,GUARULHOS,3518800,1392121,SP,"domingo, 18/10",43%
23635,GUARULHOS,3518800,1392121,SP,"domingo, 19/04",63%
23544,GUARULHOS,3518800,1392121,SP,"domingo, 19/07",48%
23208,GUARULHOS,3518800,1392121,SP,"domingo, 20/06",42%
23481,GUARULHOS,3518800,1392121,SP,"domingo, 20/09",43%
23390,GUARULHOS,3518800,1392121,SP,"domingo, 20/12",39%
23327,GUARULHOS,3518800,1392121,SP,"domingo, 21/02",42%
23299,GUARULHOS,3518800,1392121,SP,"domingo, 21/03",45%
23572,GUARULHOS,3518800,1392121,SP,"domingo, 21/06",49%
23663,GUARULHOS,3518800,1392121,SP,"domingo, 22/03",56%
23418,GUARULHOS,3518800,1392121,SP,"domingo, 22/11",41%
23236,GUARULHOS,3518800,1392121,SP,"domingo, 23/05",43%
23509,GUARULHOS,3518800,1392121,SP,"domingo, 23/08",45%
23355,GUARULHOS,3518800,1392121,SP,"domingo, 24/01",42%
23600,GUARULHOS,3518800,1392121,SP,"domingo, 24/05",53%
23264,GUARULHOS,3518800,1392121,SP,"domingo, 25/04",43%
23446,GUARULHOS,3518800,1392121,SP,"domingo, 25/10",43%
23628,GUARULHOS,3518800,1392121,SP,"domingo, 26/04",62%
23537,GUARULHOS,3518800,1392121,SP,"domingo, 26/07",49%
23201,GUARULHOS,3518800,1392121,SP,"domingo, 27/06",41%
23474,GUARULHOS,3518800,1392121,SP,"domingo, 27/09",41%
23383,GUARULHOS,3518800,1392121,SP,"domingo, 27/12",44%
23320,GUARULHOS,3518800,1392121,SP,"domingo, 28/02",42%
