,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
61040,SÃO PAULO,3550308,12325232,SP,"domingo, 01/03",39%
60799,SÃO PAULO,3550308,12325232,SP,"domingo, 01/11",48%
60617,SÃO PAULO,3550308,12325232,SP,"domingo, 02/05",47%
60890,SÃO PAULO,3550308,12325232,SP,"domingo, 02/08",51%
60736,SÃO PAULO,3550308,12325232,SP,"domingo, 03/01",51%
60981,SÃO PAULO,3550308,12325232,SP,"domingo, 03/05",58%
60645,SÃO PAULO,3550308,12325232,SP,"domingo, 04/04",50%
60554,SÃO PAULO,3550308,12325232,SP,"domingo, 04/07",45%
60827,SÃO PAULO,3550308,12325232,SP,"domingo, 04/10",49%
61009,SÃO PAULO,3550308,12325232,SP,"domingo, 05/04",59%
60918,SÃO PAULO,3550308,12325232,SP,"domingo, 05/07",52%
60582,SÃO PAULO,3550308,12325232,SP,"domingo, 06/06",46%
60855,SÃO PAULO,3550308,12325232,SP,"domingo, 06/09",48%
60764,SÃO PAULO,3550308,12325232,SP,"domingo, 06/12",46%
60701,SÃO PAULO,3550308,12325232,SP,"domingo, 07/02",47%
60673,SÃO PAULO,3550308,12325232,SP,"domingo, 07/03",50%
60946,SÃO PAULO,3550308,12325232,SP,"domingo, 07/06",53%
61034,SÃO PAULO,3550308,12325232,SP,"domingo, 08/03",38%
60792,SÃO PAULO,3550308,12325232,SP,"domingo, 08/11",47%
60610,SÃO PAULO,3550308,12325232,SP,"domingo, 09/05",45%
60883,SÃO PAULO,3550308,12325232,SP,"domingo, 09/08",48%
60729,SÃO PAULO,3550308,12325232,SP,"domingo, 10/01",48%
60974,SÃO PAULO,3550308,12325232,SP,"domingo, 10/05",54%
60638,SÃO PAULO,3550308,12325232,SP,"domingo, 11/04",49%
60547,SÃO PAULO,3550308,12325232,SP,"domingo, 11/07",45%
60820,SÃO PAULO,3550308,12325232,SP,"domingo, 11/10",47%
61002,SÃO PAULO,3550308,12325232,SP,"domingo, 12/04",58%
60911,SÃO PAULO,3550308,12325232,SP,"domingo, 12/07",52%
60575,SÃO PAULO,3550308,12325232,SP,"domingo, 13/06",46%
60848,SÃO PAULO,3550308,12325232,SP,"domingo, 13/09",49%
60757,SÃO PAULO,3550308,12325232,SP,"domingo, 13/12",45%
60694,SÃO PAULO,3550308,12325232,SP,"domingo, 14/02",48%
60666,SÃO PAULO,3550308,12325232,SP,"domingo, 14/03",49%
60939,SÃO PAULO,3550308,12325232,SP,"domingo, 14/06",54%
60785,SÃO PAULO,3550308,12325232,SP,"domingo, 15/11",45%
60603,SÃO PAULO,3550308,12325232,SP,"domingo, 16/05",47%
60876,SÃO PAULO,3550308,12325232,SP,"domingo, 16/08",53%
60722,SÃO PAULO,3550308,12325232,SP,"domingo, 17/01",46%
60967,SÃO PAULO,3550308,12325232,SP,"domingo, 17/05",56%
60631,SÃO PAULO,3550308,12325232,SP,"domingo, 18/04",49%
60540,SÃO PAULO,3550308,12325232,SP,"domingo, 18/07",45%
60813,SÃO PAULO,3550308,12325232,SP,"domingo, 18/10",49%
60995,SÃO PAULO,3550308,12325232,SP,"domingo, 19/04",58%
60904,SÃO PAULO,3550308,12325232,SP,"domingo, 19/07",52%
60568,SÃO PAULO,3550308,12325232,SP,"domingo, 20/06",46%
60841,SÃO PAULO,3550308,12325232,SP,"domingo, 20/09",50%
60750,SÃO PAULO,3550308,12325232,SP,"domingo, 20/12",44%
60687,SÃO PAULO,3550308,12325232,SP,"domingo, 21/02",46%
60659,SÃO PAULO,3550308,12325232,SP,"domingo, 21/03",51%
60932,SÃO PAULO,3550308,12325232,SP,"domingo, 21/06",53%
61023,SÃO PAULO,3550308,12325232,SP,"domingo, 22/03",56%
60778,SÃO PAULO,3550308,12325232,SP,"domingo, 22/11",47%
60596,SÃO PAULO,3550308,12325232,SP,"domingo, 23/05",47%
60869,SÃO PAULO,3550308,12325232,SP,"domingo, 23/08",52%
60715,SÃO PAULO,3550308,12325232,SP,"domingo, 24/01",47%
60960,SÃO PAULO,3550308,12325232,SP,"domingo, 24/05",57%
60624,SÃO PAULO,3550308,12325232,SP,"domingo, 25/04",48%
60806,SÃO PAULO,3550308,12325232,SP,"domingo, 25/10",49%
60988,SÃO PAULO,3550308,12325232,SP,"domingo, 26/04",58%
60897,SÃO PAULO,3550308,12325232,SP,"domingo, 26/07",52%
60561,SÃO PAULO,3550308,12325232,SP,"domingo, 27/06",45%
60834,SÃO PAULO,3550308,12325232,SP,"domingo, 27/09",48%
60743,SÃO PAULO,3550308,12325232,SP,"domingo, 27/12",50%
60680,SÃO PAULO,3550308,12325232,SP,"domingo, 28/02",47%
60652,SÃO PAULO,3550308,12325232,SP,"domingo, 28/03",50%
60925,SÃO PAULO,3550308,12325232,SP,"domingo, 28/06",53%
61016,SÃO PAULO,3550308,12325232,SP,"domingo, 29/03",59%
60771,SÃO PAULO,3550308,12325232,SP,"domingo, 29/11",45%
60589,SÃO PAULO,3550308,12325232,SP,"domingo, 30/05",47%
60862,SÃO PAULO,3550308,12325232,SP,"domingo, 30/08",50%
60708,SÃO PAULO,3550308,12325232,SP,"domingo, 31/01",47%
60953,SÃO PAULO,3550308,12325232,SP,"domingo, 31/05",55%
61013,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 01/04",56%
60922,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 01/07",46%
60586,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 02/06",39%
60859,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 02/09",42%
60768,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 02/12",39%
60705,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 03/02",38%
60677,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 03/03",39%
60950,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 03/06",49%
61037,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 04/03",31%
60796,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 04/11",40%
60614,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 05/05",39%
60887,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 05/08",43%
60733,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 06/01",42%
60978,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 06/05",47%
60642,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 07/04",42%
60551,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 07/07",38%
60824,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 07/10",40%
61006,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 08/04",51%
60915,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 08/07",45%
60579,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 09/06",38%
60852,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 09/09",42%
60761,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 09/12",38%
60698,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 10/02",38%
60670,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 10/03",41%
60943,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 10/06",48%
61031,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 11/03",31%
60789,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 11/11",40%
60607,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 12/05",39%
60880,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 12/08",42%
60726,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 13/01",40%
60971,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 13/05",48%
60635,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 14/04",41%
60544,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 14/07",38%
60817,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 14/10",41%
60999,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 15/04",50%
60908,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 15/07",46%
60572,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 16/06",38%
60845,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 16/09",42%
60754,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 16/12",39%
60691,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 17/02",38%
60663,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 17/03",43%
60936,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 17/06",47%
61027,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 18/03",40%
60782,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 18/11",40%
60600,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 19/05",39%
60873,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 19/08",43%
60719,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 20/01",40%
60964,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 20/05",51%
60628,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 21/04",48%
60810,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 21/10",41%
60992,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 22/04",48%
60901,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 22/07",43%
60565,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 23/06",38%
60838,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 23/09",42%
60747,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 23/12",39%
60684,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 24/02",40%
60656,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 24/03",42%
60929,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 24/06",47%
61020,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 25/03",55%
60775,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 25/11",40%
61044,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 26/02",36%
60593,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 26/05",39%
60866,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 26/08",43%
60712,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 27/01",38%
60957,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 27/05",49%
60621,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 28/04",40%
60803,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 28/10",40%
60985,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 29/04",48%
60894,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 29/07",44%
60558,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 30/06",38%
60831,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 30/09",41%
60740,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 30/12",40%
60649,SÃO PAULO,3550308,12325232,SP,"quarta-feira, 31/03",43%
60648,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 01/04",43%
60557,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 01/07",38%
60830,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 01/10",41%
61012,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 02/04",56%
60921,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 02/07",46%
60585,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 03/06",43%
60858,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 03/09",42%
60767,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 03/12",39%
60704,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 04/02",38%
60676,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 04/03",39%
60949,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 04/06",49%
61036,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 05/03",30%
60795,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 05/11",39%
60613,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 06/05",38%
60886,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 06/08",42%
60732,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 07/01",41%
60977,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 07/05",48%
60641,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 08/04",41%
60550,SÃO PAULO,3550308,12325232,SP,"quinta-feira, 08/07",37%
